question,stage,dataset,model,family,job_id,parent_job_id,run_phase,setting_key,setting_label,base_rank,base_tag,seed_id,runtime_seed,gpu_id,status,selection_rule,valid_score,test_score,best_valid_mrr20,test_mrr20,checkpoint_file,result_path,base_result_json,log_path,elapsed_sec,error,timestamp_utc,best_valid_mean,test_mean,best_valid_seen_mean,test_seen_mean,best_valid_seen_mrr20,test_seen_mrr20,test_seen_hit10,test_seen_ndcg20,avg_n_eff
a07,a07,beauty,featured_moe_n3,route,A07_BEAUTY_DENSE_GLOBAL_R01_S3,,A07_BEAUTY_DENSE_GLOBAL_R01_S3,dense_global,Dense (k=0),1,beauty_top01_rfmoe,3,860001,resume,ok,overall_seen_target,0.1848953186966748,0.15885622649510384,0.1304,0.1123,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a07_beauty_dense_global_r01_s3_20260418_190538_552493_pid682524.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a07/beauty/featured_moe_n3/route/A07_BEAUTY_DENSE_GLOBAL_R01_S3.log,711.7881529331207,,2026-04-19T02:51:14.855209Z,0.1848888888888889,0.15885555555555558,0.1848953186966748,0.15885622649510384,0.13043114807492087,0.11227936890613058,0.23267216402941832,0.15528237534733003,0.0
a07,a07,beauty,featured_moe_n3,route,A07_BEAUTY_DENSE_GLOBAL_R02_S3,,A07_BEAUTY_DENSE_GLOBAL_R02_S3,dense_global,Dense (k=0),2,beauty_top02_rfmoe,3,860008,resume,ok,overall_seen_target,0.1873326758158479,0.15392888162026885,0.1353,0.1114,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a07_beauty_dense_global_r02_s3_20260418_190538_687518_pid682532.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r23_20260418_045819_003908_pid58490.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a07/beauty/featured_moe_n3/route/A07_BEAUTY_DENSE_GLOBAL_R02_S3.log,611.4212663173676,,2026-04-19T02:51:14.862018Z,0.18732222222222222,0.15392222222222224,0.1873326758158479,0.15392888162026885,0.1353185223061929,0.11139791880607446,0.22063739692444842,0.15172816342411632,0.0
a07,a07,beauty,featured_moe_n3,route,A07_BEAUTY_DENSE_GLOBAL_R03_S3,,A07_BEAUTY_DENSE_GLOBAL_R03_S3,dense_global,Dense (k=0),3,beauty_top03_rfmoe,3,860015,resume,ok,overall_seen_target,0.18235602174236384,0.1577,0.1313,0.1163,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a07_beauty_dense_global_r03_s3_20260418_191716_084103_pid682836.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r03_20260418_035848_046060_pid31801.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a07/beauty/featured_moe_n3/route/A07_BEAUTY_DENSE_GLOBAL_R03_S3.log,501.48478412628174,,2026-04-19T02:51:14.868329Z,0.18235555555555555,0.1577,0.18235602174236384,0.1576865529353462,0.13129511929331694,0.11630656243911533,0.2221974593269445,0.15595591687295335,0.0
a07,a07,beauty,featured_moe_n3,route,A07_BEAUTY_GLOBAL_TOP2_R01_S3,,A07_BEAUTY_GLOBAL_TOP2_R01_S3,global_top2,Global Top-2,1,beauty_top01_rfmoe,3,860004,resume,ok,overall_seen_target,0.17965555555555554,0.1562222222222222,0.1251,0.1103,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a07_beauty_global_top2_r01_s3_20260418_190538_732533_pid682525.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a07/beauty/featured_moe_n3/route/A07_BEAUTY_GLOBAL_TOP2_R01_S3.log,516.3123788833618,,2026-04-19T02:51:14.858195Z,0.17965555555555554,0.1562222222222222,0.1796517914055552,0.15621166633110364,0.12506953485605787,0.1102537552398325,0.22955203922442613,0.1522887467587475,0.0
a07,a07,beauty,featured_moe_n3,route,A07_BEAUTY_GLOBAL_TOP2_R02_S3,,A07_BEAUTY_GLOBAL_TOP2_R02_S3,global_top2,Global Top-2,2,beauty_top02_rfmoe,3,860011,resume,ok,overall_seen_target,0.18713606141333342,0.15620985687034733,0.1335,0.1106,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a07_beauty_global_top2_r02_s3_20260418_191501_529607_pid682750.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r23_20260418_045819_003908_pid58490.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a07/beauty/featured_moe_n3/route/A07_BEAUTY_GLOBAL_TOP2_R02_S3.log,606.2284882068634,,2026-04-19T02:51:14.864629Z,0.18713333333333332,0.1562,0.18713606141333342,0.15620985687034733,0.13352269748092419,0.11060604010485503,0.22643191441943392,0.15300626326821443,0.0
a07,a07,beauty,featured_moe_n3,route,A07_BEAUTY_GLOBAL_TOP2_R03_S3,,A07_BEAUTY_GLOBAL_TOP2_R03_S3,global_top2,Global Top-2,3,beauty_top03_rfmoe,3,860018,resume,ok,overall_seen_target,0.1821222222222222,0.15941843252451096,0.1299,0.1149,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a07_beauty_global_top2_r03_s3_20260418_192429_484135_pid682925.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r03_20260418_035848_046060_pid31801.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a07/beauty/featured_moe_n3/route/A07_BEAUTY_GLOBAL_TOP2_R03_S3.log,499.70873284339905,,2026-04-19T02:51:14.870952Z,0.1821222222222222,0.1594111111111111,0.18211920787464686,0.15941843252451096,0.12985117532348225,0.1148911473111517,0.22643191441943392,0.15631667051505002,0.0
a07,a07,beauty,featured_moe_n3,route,A07_BEAUTY_GLOBAL_TOP4_R01_S3,,A07_BEAUTY_GLOBAL_TOP4_R01_S3,global_top4,Global Top-4,1,beauty_top01_rfmoe,3,860003,resume,ok,overall_seen_target,0.18520891522227442,0.15786486762726792,0.1333,0.1146,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a07_beauty_global_top4_r01_s3_20260418_190538_860305_pid682527.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a07/beauty/featured_moe_n3/route/A07_BEAUTY_GLOBAL_TOP4_R01_S3.log,646.0958878993988,,2026-04-19T02:51:14.857245Z,0.1852,0.15785555555555555,0.18520891522227442,0.15786486762726792,0.13333059958968957,0.11456147208062636,0.22620904836193448,0.15492619947014127,0.0
a07,a07,beauty,featured_moe_n3,route,A07_BEAUTY_GLOBAL_TOP4_R02_S3,,A07_BEAUTY_GLOBAL_TOP4_R02_S3,global_top4,Global Top-4,2,beauty_top02_rfmoe,3,860010,resume,ok,overall_seen_target,0.18641188410013004,0.157,0.1322,0.1107,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a07_beauty_global_top4_r02_s3_20260418_191449_137958_pid682729.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r23_20260418_045819_003908_pid58490.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a07/beauty/featured_moe_n3/route/A07_BEAUTY_GLOBAL_TOP4_R02_S3.log,646.4771375656128,,2026-04-19T02:51:14.863762Z,0.18641111111111114,0.157,0.18641188410013004,0.15698434517966103,0.13221672599583967,0.11066280763097322,0.22977490528192557,0.15363725645254683,0.0
a07,a07,beauty,featured_moe_n3,route,A07_BEAUTY_GLOBAL_TOP4_R03_S3,,A07_BEAUTY_GLOBAL_TOP4_R03_S3,global_top4,Global Top-4,3,beauty_top03_rfmoe,3,860017,resume,ok,overall_seen_target,0.18150000000000002,0.15234444444444445,0.1327,0.1118,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a07_beauty_global_top4_r03_s3_20260418_192419_636162_pid682905.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r03_20260418_035848_046060_pid31801.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a07/beauty/featured_moe_n3/route/A07_BEAUTY_GLOBAL_TOP4_R03_S3.log,472.46291303634644,,2026-04-19T02:51:14.870082Z,0.18150000000000002,0.15234444444444445,0.1814834980521604,0.15233150837606757,0.1326714994408338,0.11177247806931886,0.2155114776019612,0.14901323247213577,0.0
a07,a07,beauty,featured_moe_n3,route,A07_BEAUTY_GLOBAL_TOP8_R01_S3,,A07_BEAUTY_GLOBAL_TOP8_R01_S3,global_top8,Global Top-8,1,beauty_top01_rfmoe,3,860002,resume,ok,overall_seen_target,0.1851014343490616,0.15702222222222226,0.133,0.113,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a07_beauty_global_top8_r01_s3_20260418_190538_850493_pid682530.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a07/beauty/featured_moe_n3/route/A07_BEAUTY_GLOBAL_TOP8_R01_S3.log,697.1589543819427,,2026-04-19T02:51:14.856281Z,0.18510000000000001,0.15702222222222226,0.1851014343490616,0.15701310582673178,0.1330486772006588,0.112971254617992,0.2257633162469356,0.1536224260610755,0.0
a07,a07,beauty,featured_moe_n3,route,A07_BEAUTY_GLOBAL_TOP8_R02_S3,,A07_BEAUTY_GLOBAL_TOP8_R02_S3,global_top8,Global Top-8,2,beauty_top02_rfmoe,3,860009,resume,ok,overall_seen_target,0.18578230393613882,0.15254444444444445,0.133,0.109,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a07_beauty_global_top8_r02_s3_20260418_191415_125792_pid682708.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r23_20260418_045819_003908_pid58490.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a07/beauty/featured_moe_n3/route/A07_BEAUTY_GLOBAL_TOP8_R02_S3.log,604.4263727664948,,2026-04-19T02:51:14.862886Z,0.18576666666666664,0.15254444444444445,0.18578230393613882,0.15254327880857774,0.13300560158617133,0.10897411853789035,0.22019166480944952,0.14985084329120082,0.0
