question,stage,dataset,model,family,job_id,parent_job_id,run_phase,setting_key,setting_label,base_rank,base_tag,seed_id,runtime_seed,gpu_id,status,selection_rule,valid_score,test_score,best_valid_mrr20,test_mrr20,checkpoint_file,result_path,base_result_json,log_path,elapsed_sec,error,timestamp_utc,best_valid_mean,test_mean,best_valid_seen_mean,test_seen_mean,best_valid_seen_mrr20,test_seen_mrr20,test_seen_hit10,test_seen_ndcg20
a06,a06,beauty,featured_moe_n3,route,A06_BEAUTY_FLAT_RANDOM_R01_S3,,A06_BEAUTY_FLAT_RANDOM_R01_S3,flat_random,Flattened Scalar Bag,1,beauty_top01_rfmoe,3,860004,resume,ok,overall_seen_target,0.18500557389233896,0.15784821537594806,0.1328,0.1142,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a06_beauty_flat_random_r01_s3_20260418_183450_376970_pid681945.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a06/beauty/featured_moe_n3/route/A06_BEAUTY_FLAT_RANDOM_R01_S3.log,724.5527141094208,,2026-04-19T02:51:13.948905Z,0.18497777777777777,0.15784444444444445,0.18500557389233896,0.15784821537594806,0.1328384777180677,0.11417072158408957,0.22821484287942947,0.1545511238195595
a06,a06,beauty,featured_moe_n3,route,A06_BEAUTY_FLAT_RANDOM_R02_S3,,A06_BEAUTY_FLAT_RANDOM_R02_S3,flat_random,Flattened Scalar Bag,2,beauty_top02_rfmoe,3,860012,resume,ok,overall_seen_target,0.18847777777777774,0.15653725478616332,0.1358,0.1124,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a06_beauty_flat_random_r02_s3_20260418_184548_557309_pid682181.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r23_20260418_045819_003908_pid58490.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a06/beauty/featured_moe_n3/route/A06_BEAUTY_FLAT_RANDOM_R02_S3.log,561.1712772846222,,2026-04-19T02:51:13.956442Z,0.18847777777777774,0.1565222222222222,0.18847175748032555,0.15653725478616332,0.13578209062560917,0.11242359998761106,0.22643191441943392,0.15309459929453495
a06,a06,beauty,featured_moe_n3,route,A06_BEAUTY_FLAT_RANDOM_R03_S3,,A06_BEAUTY_FLAT_RANDOM_R03_S3,flat_random,Flattened Scalar Bag,3,beauty_top03_rfmoe,3,860020,resume,ok,overall_seen_target,0.18135107968944686,0.15256666666666668,0.1323,0.112,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a06_beauty_flat_random_r03_s3_20260418_185609_981557_pid682378.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r03_20260418_035848_046060_pid31801.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a06/beauty/featured_moe_n3/route/A06_BEAUTY_FLAT_RANDOM_R03_S3.log,444.8252639770508,,2026-04-19T02:51:13.964068Z,0.18134444444444445,0.15256666666666668,0.18135107968944686,0.1525643250346848,0.13230528324807098,0.11196192043619856,0.21528861154446177,0.1493995394570168
a06,a06,beauty,featured_moe_n3,route,A06_BEAUTY_FULL_SEMANTIC_R01_S3,,A06_BEAUTY_FULL_SEMANTIC_R01_S3,full_semantic,Family Prior Intact,1,beauty_top01_rfmoe,3,860001,resume,ok,overall_seen_target,0.1848953186966748,0.15885622649510384,0.1304,0.1123,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a06_beauty_full_semantic_r01_s3_20260418_183450_233498_pid681938.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a06/beauty/featured_moe_n3/route/A06_BEAUTY_FULL_SEMANTIC_R01_S3.log,719.9591197967529,,2026-04-19T02:51:13.945914Z,0.1848888888888889,0.15885555555555558,0.1848953186966748,0.15885622649510384,0.13043114807492087,0.11227936890613058,0.23267216402941832,0.15528237534733003
a06,a06,beauty,featured_moe_n3,route,A06_BEAUTY_FULL_SEMANTIC_R02_S3,,A06_BEAUTY_FULL_SEMANTIC_R02_S3,full_semantic,Family Prior Intact,2,beauty_top02_rfmoe,3,860009,resume,ok,overall_seen_target,0.18843333333333334,0.15566666666666668,0.1359,0.1121,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a06_beauty_full_semantic_r02_s3_20260418_184517_543765_pid682126.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r23_20260418_045819_003908_pid58490.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a06/beauty/featured_moe_n3/route/A06_BEAUTY_FULL_SEMANTIC_R02_S3.log,634.0698900222778,,2026-04-19T02:51:13.953706Z,0.18843333333333334,0.15566666666666668,0.1884207685392587,0.15565587887946586,0.13585606723223476,0.1121081316344239,0.22487185201693782,0.15236500857042157
a06,a06,beauty,featured_moe_n3,route,A06_BEAUTY_FULL_SEMANTIC_R03_S3,,A06_BEAUTY_FULL_SEMANTIC_R03_S3,full_semantic,Family Prior Intact,3,beauty_top03_rfmoe,3,860017,resume,ok,overall_seen_target,0.18150000000000002,0.15234444444444445,0.1327,0.1118,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a06_beauty_full_semantic_r03_s3_20260418_185509_830860_pid682317.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r03_20260418_035848_046060_pid31801.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a06/beauty/featured_moe_n3/route/A06_BEAUTY_FULL_SEMANTIC_R03_S3.log,466.4176113605499,,2026-04-19T02:51:13.961149Z,0.18150000000000002,0.15234444444444445,0.1814834980521604,0.15233150837606757,0.1326714994408338,0.11177247806931886,0.2155114776019612,0.14901323247213577
a06,a06,beauty,featured_moe_n3,route,A06_BEAUTY_REDUCED_FAMILY_R01_S3,,A06_BEAUTY_REDUCED_FAMILY_R01_S3,reduced_family,Fewer Semantic Family Groups,1,beauty_top01_rfmoe,3,860002,resume,ok,overall_seen_target,0.1851014343490616,0.15702222222222226,0.133,0.113,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a06_beauty_reduced_family_r01_s3_20260418_183450_233626_pid681944.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a06/beauty/featured_moe_n3/route/A06_BEAUTY_REDUCED_FAMILY_R01_S3.log,706.7320301532745,,2026-04-19T02:51:13.947031Z,0.18510000000000001,0.15702222222222226,0.1851014343490616,0.15701310582673178,0.1330486772006588,0.112971254617992,0.2257633162469356,0.1536224260610755
a06,a06,beauty,featured_moe_n3,route,A06_BEAUTY_REDUCED_FAMILY_R02_S3,,A06_BEAUTY_REDUCED_FAMILY_R02_S3,reduced_family,Fewer Semantic Family Groups,2,beauty_top02_rfmoe,3,860010,resume,ok,overall_seen_target,0.18727036968284996,0.1566570563034233,0.1338,0.1127,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a06_beauty_reduced_family_r02_s3_20260418_184520_697541_pid682136.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r23_20260418_045819_003908_pid58490.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a06/beauty/featured_moe_n3/route/A06_BEAUTY_REDUCED_FAMILY_R02_S3.log,673.1313922405243,,2026-04-19T02:51:13.954660Z,0.18726666666666666,0.15665555555555552,0.18727036968284996,0.1566570563034233,0.1337684266015283,0.11271514158163752,0.22710051259193226,0.15370662895294668
a06,a06,beauty,featured_moe_n3,route,A06_BEAUTY_REDUCED_FAMILY_R03_S3,,A06_BEAUTY_REDUCED_FAMILY_R03_S3,reduced_family,Fewer Semantic Family Groups,3,beauty_top03_rfmoe,3,860018,resume,ok,overall_seen_target,0.1836,0.15599750294361503,0.1319,0.1129,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a06_beauty_reduced_family_r03_s3_20260418_185547_022267_pid682338.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r03_20260418_035848_046060_pid31801.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a06/beauty/featured_moe_n3/route/A06_BEAUTY_REDUCED_FAMILY_R03_S3.log,415.7965955734253,,2026-04-19T02:51:13.962090Z,0.1836,0.15598888888888887,0.18359750005753261,0.15599750294361503,0.1318728404587281,0.11286429550431475,0.22331178961444173,0.15303778530482276
a06,a06,beauty,featured_moe_n3,route,A06_BEAUTY_SHUFFLED_FAMILY_R01_S3,,A06_BEAUTY_SHUFFLED_FAMILY_R01_S3,shuffled_family,Family Groups Shuffled,1,beauty_top01_rfmoe,3,860003,resume,ok,overall_seen_target,0.18520891522227442,0.15786486762726792,0.1333,0.1146,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/best_model_state.pth,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment_ablation/beauty_FeaturedMoE_N3_a06_beauty_shuffled_family_r01_s3_20260418_183450_367562_pid681946.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/final_experiment_ablation/a06/beauty/featured_moe_n3/route/A06_BEAUTY_SHUFFLED_FAMILY_R01_S3.log,652.648992061615,,2026-04-19T02:51:13.947972Z,0.1852,0.15785555555555555,0.18520891522227442,0.15786486762726792,0.13333059958968957,0.11456147208062636,0.22620904836193448,0.15492619947014127
