early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1864,0.1607,1
True,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0803,ok,0.1872,0.1612,2
True,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0802,ok,0.1886,0.1616,3
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793,ok,0.1857,0.1606,4
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0797,ok,0.1854,0.16,5
True,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0803,ok,0.1882,0.1615,6
True,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0802,ok,0.1871,0.1611,7
True,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0803,ok,0.1883,0.1615,8
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0802,ok,0.1886,0.1616,9
True,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068,ok,0.1641,0.1208,10
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,ok,0.186,0.1603,11
True,42,1.0,1.0,0.0,0.053189197832667894,0.0,1.593074667005618,0.31520453095436096,0.1670105755329132,0.0,0.016699847478963248,0.5497532383018489,1.9994424943930644,0.5059948497316357,3.9724809518551236,5.983073615161585,3.9724809518551236,0.0,1.0,0.0,1.0,0.0,1.0,0.0015625741391121339,0.9984386460442329,0.0008476743290214484,0.9991526914544225,0.0024076964833692283,0.9975951996929713,0.0,0.0,7.250210835728601,3.9724809518551236,0.28890499746066267,0.0804,ok,0.1879,0.1614,12
True,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0804,ok,0.1867,0.1614,13
True,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0801,ok,0.189,0.1614,14
True,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0743,ok,0.1702,0.1362,15
True,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0802,ok,0.1886,0.1617,16
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0798,ok,0.1856,0.1602,17
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0797,ok,0.1855,0.16,18
True,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0804,ok,0.1878,0.1616,19
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1845,0.16,20
