dataset,setting_key,setting_label,variant_order,status,best_valid_seen_mrr20,test_ndcg20,test_hit10,test_ndcg_20,test_hr10
KuaiRecLargeStrictPosV2_0.2,full,Full cues,1,ok,0.019176,0.353800,0.369900,0.353800,0.369900
KuaiRecLargeStrictPosV2_0.2,portable_core,Sequence-only cues,2,ok,0.018519,0.353596,0.365894,0.353596,0.365894
KuaiRecLargeStrictPosV2_0.2,remove_time,No time cues,3,ok,0.018557,0.351911,0.364763,0.351911,0.364763
KuaiRecLargeStrictPosV2_0.2,remove_category,No group cues,4,ok,0.019069,0.349156,0.367073,0.349156,0.367073
KuaiRecLargeStrictPosV2_0.2,baseline_best,Baseline best,5,ok,0.019000,0.339900,0.360600,0.339900,0.360600
foursquare,full,Full cues,1,ok,0.203816,0.218400,0.321500,0.218400,0.321500
foursquare,portable_core,Sequence-only cues,2,ok,0.202839,0.213427,0.316926,0.213427,0.316926
foursquare,remove_time,No time cues,3,ok,0.202220,0.212930,0.317920,0.212930,0.317920
foursquare,remove_category,No group cues,4,ok,0.204658,0.216660,0.320307,0.216660,0.320307
foursquare,baseline_best,Baseline best,5,ok,0.201000,0.216900,0.313700,0.216900,0.313700
