dataset,variant_label,variant_order,status,best_valid_seen_mrr20,test_ndcg20,test_hit10
KuaiRecLargeStrictPosV2_0.2,Behavior-guided,5,ok,0.019800,0.353800,0.369900
KuaiRecLargeStrictPosV2_0.2,Hidden only,2,ok,0.019568,0.345933,0.356800
KuaiRecLargeStrictPosV2_0.2,Mixed,4,ok,0.019651,0.346300,0.356433
KuaiRecLargeStrictPosV2_0.2,Fusion bias,3,ok,0.018223,0.307967,0.323567
KuaiRecLargeStrictPosV2_0.2,Shared FFN,1,ok,0.019519,0.283333,0.315400
foursquare,Behavior-guided,5,ok,0.207000,0.218400,0.321500
foursquare,Hidden only,2,ok,0.206505,0.217567,0.320933
foursquare,Mixed,4,ok,0.206657,0.218033,0.321367
foursquare,Fusion bias,3,ok,0.203093,0.213600,0.316700
foursquare,Shared FFN,1,ok,0.206637,0.213333,0.310800
