dataset,variant_label,variant_order,status,best_valid_seen_mrr20,test_ndcg20,test_hit10
KuaiRecLargeStrictPosV2_0.2,Hierarchical sparse,3,ok,0.019800,0.353800,0.369900
KuaiRecLargeStrictPosV2_0.2,Flat dense,2,ok,0.019610,0.353300,0.368723
KuaiRecLargeStrictPosV2_0.2,Flat sparse,1,ok,0.019582,0.352800,0.367190
KuaiRecLargeStrictPosV2_0.2,Hierarchical dense,4,ok,0.019118,0.353267,0.365323
foursquare,Hierarchical sparse,3,ok,0.207000,0.218400,0.321500
foursquare,Flat dense,2,ok,0.206445,0.217533,0.318700
foursquare,Flat sparse,1,ok,0.208201,0.215733,0.316967
foursquare,Hierarchical dense,4,ok,0.206450,0.217700,0.319367
