abs_spearman,diag_metric,n_pairs,pearson,phase_title,source_phase,spearman,split,target_metric
0.7428222026421776,diag_top1_max_frac,63,0.67012139225066,Aux Loss Concept Study,P9,0.7428222026421776,wide,best_valid_mrr20
0.7218410104932155,diag_family_top_expert_mean_share,63,0.5600255773277122,Aux Loss Concept Study,P9,0.7218410104932155,wide,best_valid_mrr20
0.6770087061010012,diag_cv_usage,63,0.5901682557625384,Aux Loss Concept Study,P9,0.6770087061010012,wide,best_valid_mrr20
0.6770087061010012,diag_n_eff,63,-0.6878110656430608,Aux Loss Concept Study,P9,-0.6770087061010012,wide,best_valid_mrr20
0.5611859036105409,diag_entropy_mean,63,-0.530175295949315,Aux Loss Concept Study,P9,-0.5611859036105409,wide,best_valid_mrr20
0.5553769143676183,diag_route_jitter_adjacent,63,-0.4565145133959839,Aux Loss Concept Study,P9,-0.5553769143676183,wide,best_valid_mrr20
0.5355090014170397,diag_route_consistency_intra_group_knn_mean_score,63,-0.5910771314318302,Aux Loss Concept Study,P9,-0.5355090014170397,wide,best_valid_mrr20
0.17485320650232378,diag_route_consistency_knn_score,63,-0.18321032847885962,Aux Loss Concept Study,P9,-0.17485320650232378,wide,best_valid_mrr20
0.13988737811698432,diag_route_consistency_group_knn_score,63,-0.24155792938583012,Aux Loss Concept Study,P9,-0.13988737811698432,wide,best_valid_mrr20
0.7261424731182796,diag_cv_usage,63,-0.6063978063948834,Aux Loss Concept Study,P9,-0.7261424731182796,wide,cold_item_mrr20
0.7261424731182796,diag_n_eff,63,0.6830331649642642,Aux Loss Concept Study,P9,0.7261424731182796,wide,cold_item_mrr20
0.6744431643625192,diag_family_top_expert_mean_share,63,-0.5754874983665447,Aux Loss Concept Study,P9,-0.6744431643625192,wide,cold_item_mrr20
0.6715149769585254,diag_entropy_mean,63,0.5346763502674668,Aux Loss Concept Study,P9,0.6715149769585254,wide,cold_item_mrr20
0.6383928571428571,diag_route_consistency_intra_group_knn_mean_score,63,0.5938138493620405,Aux Loss Concept Study,P9,0.6383928571428571,wide,cold_item_mrr20
0.5047583616718324,diag_top1_max_frac,63,-0.611001179520706,Aux Loss Concept Study,P9,-0.5047583616718324,wide,cold_item_mrr20
0.4102342549923195,diag_route_consistency_group_knn_score,63,0.18773190467395753,Aux Loss Concept Study,P9,0.4102342549923195,wide,cold_item_mrr20
0.40711405529953915,diag_route_consistency_knn_score,63,0.11481430595862334,Aux Loss Concept Study,P9,0.40711405529953915,wide,cold_item_mrr20
0.28088744760298917,diag_route_jitter_adjacent,63,0.33878332152093393,Aux Loss Concept Study,P9,0.28088744760298917,wide,cold_item_mrr20
0.813508064516129,diag_cv_usage,63,-0.6808320925971998,Aux Loss Concept Study,P9,-0.813508064516129,wide,sess_3_5_mrr20
0.813508064516129,diag_n_eff,63,0.77418440465353,Aux Loss Concept Study,P9,0.813508064516129,wide,sess_3_5_mrr20
