col_count,exists,key,kind,path,row_count,timestamp_utc
58,1,diag_special_join,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/data/phase8_9/diag_special_join.csv,261,2026-03-26T09:16:23.478364+00:00
17,1,family_expert_pca_points,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/data/phase8_9/family_expert_pca_points.csv,11520,2026-03-26T09:16:23.509907+00:00
30,1,intent_vs_observed_summary,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/data/phase10_13/intent_vs_observed_summary.csv,22,2026-03-26T09:16:23.675363+00:00
,1,master_handoff_md,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/FMOE_N3_KuaiRec_Strict_Master_Handoff.md,,2026-03-26T09:16:23.675532+00:00
,1,phase10_13_verif_md,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/results/phase10_13_verification.md,,2026-03-26T09:16:23.675502+00:00
,1,phase10_13_verif_plan_md,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/plans/phase_10_13_verification.md,,2026-03-26T09:16:23.675838+00:00
,1,phase10_13_wide_md,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/results/phase10_13_wide.md,,2026-03-26T09:16:23.675465+00:00
,1,phase10_plan_md,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/plans/phase_10_13_specified/phase10_feature_portability.md,,2026-03-26T09:16:23.675667+00:00
,1,phase11_plan_md,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/plans/phase_10_13_specified/phase11_stage_semantics.md,,2026-03-26T09:16:23.675704+00:00
,1,phase12_plan_md,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/plans/phase_10_13_specified/phase12_layout_composition.md,,2026-03-26T09:16:23.675733+00:00
,1,phase13_plan_md,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/plans/phase_10_13_specified/phase13_feature_sanity.md,,2026-03-26T09:16:23.675785+00:00
58,1,phase9_2_main,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/data/phase8_9/phase9_2_main.csv,47,2026-03-26T09:16:23.475955+00:00
58,1,phase9_2_pending,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/data/phase8_9/phase9_2_pending.csv,17,2026-03-26T09:16:23.476174+00:00
57,1,phase9_main,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/data/phase8_9/phase9_main.csv,63,2026-03-26T09:16:23.475343+00:00
,1,phase9_plan_md,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/plans/phase9_auxloss.md,,2026-03-26T09:16:23.675616+00:00
,1,phase9_result_md,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/results/phase9_auxloss_and_verification.md,,2026-03-26T09:16:23.675432+00:00
19,1,router_family_expert_long,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/data/phase10_13/router_family_expert_long.csv,8832,2026-03-26T09:16:23.546458+00:00
19,1,router_position_expert_long,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/data/phase10_13/router_position_expert_long.csv,44160,2026-03-26T09:16:23.674981+00:00
54,1,router_stage_scalar,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/data/phase10_13/router_stage_scalar.csv,200,2026-03-26T09:16:23.519884+00:00
73,1,verification_all_dedup,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/data/phase10_13/verification_all_dedup.csv,192,2026-03-26T09:16:23.516049+00:00
73,1,verification_main_h3_n20,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/data/phase10_13/verification_main_h3_n20.csv,96,2026-03-26T09:16:23.518059+00:00
73,1,wide_all_dedup,input,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/data/phase10_13/wide_all_dedup.csv,100,2026-03-26T09:16:23.512025+00:00
,1,diag_corr_by_phase,output,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/final/data/phase9_13_wrapup/diag_corr_by_phase.csv,,2026-03-26T09:16:23.676022+00:00
,1,diag_quantile_profile,output,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/final/data/phase9_13_wrapup/diag_quantile_profile.csv,,2026-03-26T09:16:23.676044+00:00
,1,diag_special_long_9_13,output,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/final/data/phase9_13_wrapup/diag_special_long_9_13.csv,,2026-03-26T09:16:23.676000+00:00
,1,family_pca_points_9_13,output,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/final/data/phase9_13_wrapup/family_pca_points_9_13.csv,,2026-03-26T09:16:23.676138+00:00
,1,intent_claim_evidence_map_9_13,output,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/final/data/phase9_13_wrapup/intent_claim_evidence_map_9_13.csv,,2026-03-26T09:16:23.676160+00:00
,1,legacy_timeline_pre9_summary,output,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/final/data/phase9_13_wrapup/legacy_timeline_pre9_summary.csv,,2026-03-26T09:16:23.676182+00:00
,1,router_family_long_10_13,output,/workspace/jy1559/FMoE/experiments/run/fmoe_n3/docs/final/data/phase9_13_wrapup/router_family_long_10_13.csv,,2026-03-26T09:16:23.676088+00:00
