run	end_count	oom_hits	mtime	last_nonempty
PAIR60_V4_REVISED_DBEAUTY_MBSAREC_P005_C2_S1_REV1			2026-04-15 11:50:06.790252192 +0000	[RUN_STATUS] END status=normal pid=1190486 start=2026-04-15T11:47:52 end=2026-04-15T11:50:06
PAIR60_V4_REVISED_DBEAUTY_MDIFSR_P007_C2_S1_REV1			2026-04-15 11:48:23.903335562 +0000	[RUN_STATUS] END status=normal pid=1190685 start=2026-04-15T11:48:11 end=2026-04-15T11:48:23
PAIR60_V4_REVISED_DBEAUTY_MFAME_P008_C1_S1_REV1			2026-04-15 11:53:10.932430584 +0000	[RUN_STATUS] END status=normal pid=1190780 start=2026-04-15T11:48:28 end=2026-04-15T11:53:10
PAIR60_V4_REVISED_DBEAUTY_MGRU4REC_P002_C1_S1_REV1			2026-04-15 11:50:51.090263886 +0000	[RUN_STATUS] END status=normal pid=1191031 start=2026-04-15T11:50:11 end=2026-04-15T11:50:51
PAIR60_V4_REVISED_DFOURSQUARE_MBSAREC_P035_C2_S1_REV1			2026-04-15 11:54:22.553570825 +0000	[RUN_STATUS] END status=normal pid=1191106 start=2026-04-15T11:50:55 end=2026-04-15T11:54:22
PAIR60_V4_REVISED_DFOURSQUARE_MFAME_P038_C1_S1_REV1			2026-04-15 12:19:03.888896356 +0000	[RUN_STATUS] END status=normal pid=1191273 start=2026-04-15T11:52:11 end=2026-04-15T12:19:03
PAIR60_V4_REVISED_DFOURSQUARE_MGRU4REC_P032_C2_S1_REV1			2026-04-15 12:02:53.191382276 +0000	[RUN_STATUS] END status=normal pid=1191339 start=2026-04-15T11:52:54 end=2026-04-15T12:02:53
PAIR60_V4_REVISED_DKUAIRECLARGESTRICTPOSV2_0_2_MTISASREC_P023_C1_S1_REV1			2026-04-15 12:22:05.628353937 +0000	[3/6] learning_rate=0.0001245
PAIR60_V4_REVISED_DLASTFM0_03_MTISASREC_P053_C2_S1_REV1			2026-04-15 11:47:52.244400431 +0000	[1/6] learning_rate=0.0002059
PAIR60_V4_REVISED_DMOVIELENS1M_MTISASREC_P043_C2_S1_REV1			2026-04-15 11:47:52.224400479 +0000	[1/6] learning_rate=0.009806
PAIR60_V4_REVISED_DRETAIL_ROCKET_MDIFSR_P017_C1_S1_REV1			2026-04-15 11:52:50.017395563 +0000	[RUN_STATUS] END status=normal pid=1190483 start=2026-04-15T11:47:52 end=2026-04-15T11:52:50
PAIR60_V4_REVISED_DRETAIL_ROCKET_MDIFSR_P017_C2_S1_REV1			2026-04-15 11:57:35.068057415 +0000	[RUN_STATUS] END status=normal pid=1190484 start=2026-04-15T11:47:52 end=2026-04-15T11:57:35
PAIR60_V4_REVISED_DRETAIL_ROCKET_MFDSA_P019_C1_S1_REV1			2026-04-15 11:48:06.743368060 +0000	[RUN_STATUS] END status=normal pid=1190485 start=2026-04-15T11:47:52 end=2026-04-15T11:48:06
PAIR60_V4_REVISED_DRETAIL_ROCKET_MFDSA_P019_C2_S1_REV1			2026-04-15 11:52:06.803333325 +0000	[RUN_STATUS] END status=normal pid=1190487 start=2026-04-15T11:47:51 end=2026-04-15T11:52:06
PAIR60_V4_REVISED_DRETAIL_ROCKET_MTISASREC_P013_C2_S1_REV1			2026-04-15 12:11:53.991953237 +0000	[2/6] learning_rate=0.00316
