=== foursquare ===
foursquare	8	8	P4XD_XD_FOURSQUARE_F16_H5_LEN25_REFINE_S1	0.17	0.3201
foursquare	12	12	P4XD_XD_FOURSQUARE_F03_H5_LEN25_TRANSFER_S1	0.1698	0.3229
foursquare	12	12	P4XD_XD_FOURSQUARE_F10_DROPOUT_ZERO_PROBE_S1	0.1693	0.3221
foursquare	8	8	P4XD_XD_FOURSQUARE_F18_H6_DIMWIDE_PROBE_S1	0.1692	0.3245
foursquare	8	8	P4XD_XD_FOURSQUARE_F15_H7_FEAT32_REFINE_S1	0.1689	0.3177
foursquare	8	8	P4XD_XD_FOURSQUARE_F20_H3_MIDAUX_PROBE_S1	0.1688	0.3205
foursquare	8	8	P4XD_XD_FOURSQUARE_F13_H2_ZERO_DROP_REFINE_S1	0.1683	0.3177
foursquare	9	9	P4XD_XD_FOURSQUARE_F12_FEAT32_EXPLORE_S1	0.1683	0.3161
foursquare	8	8	P4XD_XD_FOURSQUARE_F19_H7_WIDEREXPERT_PROBE_S1	0.1681	0.3145
foursquare	8	8	P4XD_XD_FOURSQUARE_F14_H15_AUXLIGHT_REFINE_S1	0.1663	0.3149
foursquare	12	12	P4XD_XD_FOURSQUARE_F11_AUXLIGHT_PROBE_S1	0.1662	0.3122
foursquare	12	12	P4XD_XD_FOURSQUARE_F09_H15_LRHI_S1	0.1659	0.3133
foursquare	12	12	P4XD_XD_FOURSQUARE_F07_H1_REG_BACKUP_S1	0.1641	0.3141
foursquare	8	8	P4XD_XD_FOURSQUARE_F17_H8_HIGHAUX_PROBE_S1	0.1634	0.3129
foursquare	10	10	P4XD_XD_FOURSQUARE_F09_H15_LRHI_S1	0.1169	0.2213

=== retail_rocket ===
retail_rocket	6	6	P4XD_XD_RETAIL_ROCKET_R10_H13_WIDTH_REFINE_S1	0.3737	0.5612
retail_rocket	8	8	P4XD_XD_RETAIL_ROCKET_R03_H13_WIDTH_UP_S1	0.3717	0.5605
retail_rocket	6	6	P4XD_XD_RETAIL_ROCKET_R07_H3_XFER_REFINE_S1	0.3707	0.5615
retail_rocket	8	8	P4XD_XD_RETAIL_ROCKET_R06_H3_XFER_PROBE_S1	0.3703	0.5618
retail_rocket	8	8	P4XD_XD_RETAIL_ROCKET_R02_H6_REGULARIZED_S1	0.3693	0.5567
retail_rocket	6	6	P4XD_XD_RETAIL_ROCKET_R09_H15_SHORT_REFINE_S1	0.369	0.5621
retail_rocket	6	6	P4XD_XD_RETAIL_ROCKET_R14_H7_WIDEREXPERT_PROBE_S1	0.3685	0.5591
retail_rocket	8	8	P4XD_XD_RETAIL_ROCKET_R04_H15_SHORT_HI_S1	0.3683	0.5622
retail_rocket	6	6	P4XD_XD_RETAIL_ROCKET_R08_H6_REGULARIZED_REFINE_S1	0.3681	0.5563
retail_rocket	6	6	P4XD_XD_RETAIL_ROCKET_R12_H6_DIMWIDE_PROBE_S1	0.3662	0.5582
retail_rocket	6	6	P4XD_XD_RETAIL_ROCKET_R13_H2_FASTADAPT_PROBE_S1	0.3651	0.559
retail_rocket	8	8	P4XD_XD_RETAIL_ROCKET_R01_H2_V3_ANCHOR_S1	0.3646	0.5568
retail_rocket	8	8	P4XD_XD_RETAIL_ROCKET_R05_H2_REG_RELIEF_S1	0.3641	0.5557

=== movielens1m ===
movielens1m	9	9	P4XD_XD_MOVIELENS1M_M01_H1_V3_ANCHOR_S1	0.0621	0.1617
movielens1m	9	9	P4XD_XD_MOVIELENS1M_M02_H1_LRLO_STABLE_S1	0.0598	0.1547
movielens1m	9	9	P4XD_XD_MOVIELENS1M_M05_H6_E2_COMPACT_S1	0.0594	0.1575
movielens1m	9	9	P4XD_XD_MOVIELENS1M_M03_H5_LEN25_TRANSFER_S1	0.0589	0.1557
movielens1m	9	9	P4XD_XD_MOVIELENS1M_M06_H14_CAPACITY_PROBE_S1	0.0586	0.1441
movielens1m	9	9	P4XD_XD_MOVIELENS1M_M04_H10_LEN25_CONTEXT_S1	0.0573	0.152

