stage,dataset,model,runs,trials,early_stop_ratio,mean_epochs_run,mean_tune_epochs,mean_best_valid
A,lastfm0.03,SASRec,6,36,0.389,33.58,36.00,0.2137
A,lastfm0.03,GRU4Rec,6,36,0.444,25.19,36.00,0.1285
A,lastfm0.03,DuoRec,6,24,0.542,20.67,24.00,0.1983
A,lastfm0.03,DIFSR,6,36,0.361,28.72,36.00,0.1775
A,lastfm0.03,FAME,6,30,1.000,21.23,32.00,0.1460
A,amazon_beauty,SASRec,6,36,0.833,18.61,36.00,0.1204
A,amazon_beauty,GRU4Rec,6,36,1.000,8.86,36.00,0.0029
A,amazon_beauty,DuoRec,6,24,1.000,6.46,24.00,0.1067
A,amazon_beauty,DIFSR,6,36,1.000,6.44,36.00,0.0996
A,amazon_beauty,FAME,6,30,1.000,9.20,32.00,0.0094
B,lastfm0.03,SASRec,7,37,0.216,37.11,38.95,0.1936
B,lastfm0.03,GRU4Rec,6,36,0.167,39.64,40.00,0.1853
B,lastfm0.03,DuoRec,6,24,0.167,26.75,28.00,0.2063
B,lastfm0.03,DIFSR,6,36,0.417,34.39,40.00,0.1934
B,lastfm0.03,FAME,6,30,0.867,24.03,34.00,0.2101
B,amazon_beauty,SASRec,10,40,0.775,22.52,36.10,0.1109
B,amazon_beauty,GRU4Rec,6,36,1.000,12.92,40.00,0.0056
B,amazon_beauty,DuoRec,6,24,0.875,12.21,28.00,0.1094
B,amazon_beauty,DIFSR,6,36,1.000,7.78,40.00,0.1003
B,amazon_beauty,FAME,6,30,1.000,10.53,34.00,0.0128
C,lastfm0.03,SASRec,12,72,0.556,38.54,44.00,0.2249
C,lastfm0.03,GRU4Rec,12,72,0.514,41.06,44.00,0.1909
C,lastfm0.03,DuoRec,12,48,0.312,29.33,30.00,0.1935
C,lastfm0.03,DIFSR,12,72,0.514,40.79,44.00,0.2295
C,lastfm0.03,FAME,12,60,0.867,27.60,36.00,0.2100
C,amazon_beauty,SASRec,16,76,0.816,28.11,41.74,0.1148
C,amazon_beauty,GRU4Rec,12,72,1.000,11.01,44.00,0.0054
C,amazon_beauty,DuoRec,12,48,0.979,10.56,30.00,0.1068
C,amazon_beauty,DIFSR,12,72,1.000,7.38,44.00,0.0991
C,amazon_beauty,FAME,12,60,1.000,10.58,36.00,0.0102
