dataset,model,A_best_valid,A_best_test,B_best_valid,B_best_test,C_best_valid,C_best_test,delta_A_to_C
lastfm0.03,SASRec,0.2247,0.2267,0.2307,0.2311,0.2321,0.2299,+0.0074
lastfm0.03,GRU4Rec,0.1897,0.1905,0.1974,0.1988,0.2032,0.2013,+0.0135
lastfm0.03,DuoRec,0.2164,0.2135,0.2247,0.2231,0.2249,0.2245,+0.0085
lastfm0.03,DIFSR,0.2267,0.2290,0.2344,0.2345,0.2369,0.2404,+0.0102
lastfm0.03,FAME,0.2150,0.2171,0.2178,0.2206,0.2192,0.2209,+0.0042
amazon_beauty,SASRec,0.1232,0.0927,0.1232,0.0905,0.1264,0.0882,+0.0032
amazon_beauty,GRU4Rec,0.0088,0.0035,0.0144,0.0022,0.0101,0.0059,+0.0013
amazon_beauty,DuoRec,0.1137,0.0883,0.1168,0.0877,0.1226,0.0973,+0.0089
amazon_beauty,DIFSR,0.1018,0.0800,0.1040,0.0802,0.1018,0.0833,+0.0000
amazon_beauty,FAME,0.0190,0.0093,0.0193,0.0139,0.0211,0.0107,+0.0021
