run	end_count	oom_hits	last_nonempty
PAIR60_V4_REVISED_DBEAUTY_MBSAREC_P005_C2_S1_REV1	1	0	[RUN_STATUS] END status=normal pid=1190486 start=2026-04-15T11:47:52 end=2026-04-15T11:50:06
PAIR60_V4_REVISED_DBEAUTY_MDIFSR_P007_C2_S1_REV1	1	12	[RUN_STATUS] END status=normal pid=1190685 start=2026-04-15T11:48:11 end=2026-04-15T11:48:23
PAIR60_V4_REVISED_DBEAUTY_MFAME_P008_C1_S1_REV1	1	0	[RUN_STATUS] END status=normal pid=1190780 start=2026-04-15T11:48:28 end=2026-04-15T11:53:10
PAIR60_V4_REVISED_DBEAUTY_MGRU4REC_P002_C1_S1_REV1	1	0	[RUN_STATUS] END status=normal pid=1191031 start=2026-04-15T11:50:11 end=2026-04-15T11:50:51
PAIR60_V4_REVISED_DFOURSQUARE_MBSAREC_P035_C2_S1_REV1	1	0	[RUN_STATUS] END status=normal pid=1191106 start=2026-04-15T11:50:55 end=2026-04-15T11:54:22
PAIR60_V4_REVISED_DFOURSQUARE_MFAME_P038_C1_S1_REV1	1	0	[RUN_STATUS] END status=normal pid=1191273 start=2026-04-15T11:52:11 end=2026-04-15T12:19:03
PAIR60_V4_REVISED_DFOURSQUARE_MGRU4REC_P032_C2_S1_REV1	1	0	[RUN_STATUS] END status=normal pid=1191339 start=2026-04-15T11:52:54 end=2026-04-15T12:02:53
PAIR60_V4_REVISED_DKUAIRECLARGESTRICTPOSV2_0_2_MTISASREC_P023_C1_S1_REV1	0	0	[3/6] learning_rate=0.0001245
PAIR60_V4_REVISED_DLASTFM0_03_MTISASREC_P053_C2_S1_REV1	0	0	[1/6] learning_rate=0.0002059
PAIR60_V4_REVISED_DMOVIELENS1M_MTISASREC_P043_C2_S1_REV1	0	0	[1/6] learning_rate=0.009806
PAIR60_V4_REVISED_DRETAIL_ROCKET_MDIFSR_P017_C1_S1_REV1	1	24	[RUN_STATUS] END status=normal pid=1190483 start=2026-04-15T11:47:52 end=2026-04-15T11:52:50
PAIR60_V4_REVISED_DRETAIL_ROCKET_MDIFSR_P017_C2_S1_REV1	1	15	[RUN_STATUS] END status=normal pid=1190484 start=2026-04-15T11:47:52 end=2026-04-15T11:57:35
PAIR60_V4_REVISED_DRETAIL_ROCKET_MFDSA_P019_C1_S1_REV1	1	12	[RUN_STATUS] END status=normal pid=1190485 start=2026-04-15T11:47:52 end=2026-04-15T11:48:06
PAIR60_V4_REVISED_DRETAIL_ROCKET_MFDSA_P019_C2_S1_REV1	1	18	[RUN_STATUS] END status=normal pid=1190487 start=2026-04-15T11:47:51 end=2026-04-15T11:52:06
PAIR60_V4_REVISED_DRETAIL_ROCKET_MTISASREC_P013_C2_S1_REV1	0	0	[2/6] learning_rate=0.00316
