family,n_trials,valid_mean,valid_max,test_mean,test_max,delta_vs_sasrec_valid
A_anchor_dim_layout,35,0.07888857142857142,0.0811,0.15933142857142857,0.1622,0.002600000000000005
L_layer_layout,44,0.07843636363636364,0.0807,0.15738181818181818,0.1621,0.0021999999999999936
