dataset,model,rank,score,a,l,test_mrr20,test_ndcg20,test_hr20,file
amazon_beauty,SASRec,5,0.02978845088268226,25,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/amazon_beauty/SASRec/amazon_beauty_SASRec_abcd_v1_a_damazon_beauty_msasrec_a025_l06_s1_20260413_164514_188808_pid735018_special_metrics.json
amazon_beauty,TiSASRec,1,0.05660377358490566,21,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/amazon_beauty/TiSASRec/amazon_beauty_TiSASRec_abcd_v1_a_damazon_beauty_mtisasrec_a021_l06_s1_20260413_164834_408334_pid739592_special_metrics.json
amazon_beauty,TiSASRec,2,0.05471698120939282,22,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/amazon_beauty/TiSASRec/amazon_beauty_TiSASRec_abcd_v1_a_damazon_beauty_mtisasrec_a022_l06_s1_20260413_164848_411885_pid739873_special_metrics.json
amazon_beauty,TiSASRec,3,0.02885220136563733,21,5,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/amazon_beauty/TiSASRec/amazon_beauty_TiSASRec_abcd_v1_a_damazon_beauty_mtisasrec_a021_l05_s1_20260413_164834_210519_pid739590_special_metrics.json
amazon_beauty,TiSASRec,4,0.022567517668852267,7,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/amazon_beauty/TiSASRec/amazon_beauty_TiSASRec_abcd_v1_a_damazon_beauty_mtisasrec_a007_l06_s1_20260413_164654_606013_pid737162_special_metrics.json
amazon_beauty,TiSASRec,5,0.022012578710070195,22,4,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/amazon_beauty/TiSASRec/amazon_beauty_TiSASRec_abcd_v1_a_damazon_beauty_mtisasrec_a022_l04_s1_20260413_164840_599297_pid739684_special_metrics.json
beauty,GRU4Rec,1,0.03215391089043549,25,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/beauty/GRU4Rec/beauty_GRU4Rec_abcd_v1_a_dbeauty_mgru4rec_a025_l06_s1_20260413_170253_966053_pid758041_special_metrics.json
beauty,GRU4Rec,2,0.03115171301022671,6,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/beauty/GRU4Rec/beauty_GRU4Rec_abcd_v1_a_dbeauty_mgru4rec_a006_l06_s1_20260413_165946_496947_pid754571_special_metrics.json
beauty,GRU4Rec,3,0.030607102091232557,24,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/beauty/GRU4Rec/beauty_GRU4Rec_abcd_v1_a_dbeauty_mgru4rec_a024_l06_s1_20260413_170242_265276_pid757814_special_metrics.json
beauty,GRU4Rec,4,0.025881141929202482,5,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/beauty/GRU4Rec/beauty_GRU4Rec_abcd_v1_a_dbeauty_mgru4rec_a005_l06_s1_20260413_165935_074241_pid754395_special_metrics.json
