rank	run_phase	best_seen_mrr20	test_seen_mrr20	best_main_mrr20	test_main_mrr20	valid_filter	test_filter	path
1	P4S2_S2_KUAIRECLARGESTRICTPOSV2_0_2_X12_H7_FEAT32_S1	0.019776	0.338777	0.014900	0.111800	0	0	/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s2_s2_kuaireclargestrictposv2_0_2_x12_h7_feat32_s1_20260415_065044_674538_pid114183.json
2	P4S2_S2_KUAIRECLARGESTRICTPOSV2_0_2_E02_H6_E2_CORE_S1	0.019637	0.337158	0.014800	0.111300	0	0	/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s2_s2_kuaireclargestrictposv2_0_2_e02_h6_e2_core_s1_20260415_061705_243747_pid108192.json
3	P4S2_S2_KUAIRECLARGESTRICTPOSV2_0_2_E01_H14HI_E4_S1	0.019508	0.339417	0.014700	0.112000	0	0	/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s2_s2_kuaireclargestrictposv2_0_2_e01_h14hi_e4_s1_20260415_061705_212698_pid108191.json
4	P4S2_S2_KUAIRECLARGESTRICTPOSV2_0_2_X09_H4_TINY_S1	0.019314	0.337051	0.014600	0.111200	0	0	/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s2_s2_kuaireclargestrictposv2_0_2_x09_h4_tiny_s1_20260415_064154_091436_pid111601.json
5	P4S2_S2_KUAIRECLARGESTRICTPOSV2_0_2_X10_H9_ULTRACOMPACT_S1	0.019276	0.317472	0.014500	0.104800	0	0	/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s2_s2_kuaireclargestrictposv2_0_2_x10_h9_ultracompact_s1_20260415_064344_924383_pid112291.json
6	P4S2_S2_KUAIRECLARGESTRICTPOSV2_0_2_X13_H10_LEN25_F24_S1	0.019126	0.339403	0.014400	0.112000	0	0	/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s2_s2_kuaireclargestrictposv2_0_2_x13_h10_len25_f24_s1_20260415_065111_361564_pid114393.json
7	P4S2_S2_KUAIRECLARGESTRICTPOSV2_0_2_X15_H6_EXPERT1_S1	0.019125	0.313527	0.014400	0.103500	0	0	/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s2_s2_kuaireclargestrictposv2_0_2_x15_h6_expert1_s1_20260415_065504_409852_pid115794.json
8	P4S2_S2_KUAIRECLARGESTRICTPOSV2_0_2_E04_H7_FEAT24_S1	0.018692	0.339048	0.014100	0.111900	0	0	/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s2_s2_kuaireclargestrictposv2_0_2_e04_h7_feat24_s1_20260415_061705_078233_pid108194.json
9	P4S2_S2_KUAIRECLARGESTRICTPOSV2_0_2_E03_H11_E2_FAST_S1	0.018637	0.336810	0.014100	0.111100	0	0	/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s2_s2_kuaireclargestrictposv2_0_2_e03_h11_e2_fast_s1_20260415_061705_247141_pid108193.json
10	P4S2_S2_KUAIRECLARGESTRICTPOSV2_0_2_E05_H7_LRHI_S1	0.018433	0.323702	0.013900	0.106800	0	0	/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s2_s2_kuaireclargestrictposv2_0_2_e05_h7_lrhi_s1_20260415_061705_274548_pid108195.json
11	P4S2_S2_KUAIRECLARGESTRICTPOSV2_0_2_E08_H3_COMPACT_S1	0.018388	0.320205	0.013900	0.105700	0	0	/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s2_s2_kuaireclargestrictposv2_0_2_e08_h3_compact_s1_20260415_061705_203464_pid108198.json
12	P4S2_S2_KUAIRECLARGESTRICTPOSV2_0_2_E06_H10_LEN30_S1	0.018354	0.335196	0.013800	0.110600	0	0	/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s2_s2_kuaireclargestrictposv2_0_2_e06_h10_len30_s1_20260415_061705_167657_pid108196.json
13	P4S2_S2_KUAIRECLARGESTRICTPOSV2_0_2_X16_H5_LEN35_F12_S1	0.018305	0.340503	0.013800	0.112400	0	0	/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s2_s2_kuaireclargestrictposv2_0_2_x16_h5_len35_f12_s1_20260415_065601_671813_pid116141.json
14	P4S2_S2_KUAIRECLARGESTRICTPOSV2_0_2_X14_H14_EXPERT5_S1	0.018157	0.340655	0.013700	0.112400	0	0	/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s2_s2_kuaireclargestrictposv2_0_2_x14_h14_expert5_s1_20260415_065438_088167_pid115648.json
15	P4S2_S2_KUAIRECLARGESTRICTPOSV2_0_2_E07_H14_LO_TEST_S1	0.018102	0.343026	0.013700	0.113200	0	0	/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s2_s2_kuaireclargestrictposv2_0_2_e07_h14_lo_test_s1_20260415_061705_020849_pid108197.json
16	P4S2_S2_KUAIRECLARGESTRICTPOSV2_0_2_X11_H12_MICROTINY_S1	0.017749	0.249181	0.013400	0.082200	0	0	/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p4s2_s2_kuaireclargestrictposv2_0_2_x11_h12_microtiny_s1_20260415_064508_813709_pid112657.json
