dataset,model,n_runs,top1_score,median_score,bottom_score
KuaiRecLargeStrictPosV2_0.2,GRU4Rec,180,0.01396978984018093,0.005220971197192245,0.00413683574475299
KuaiRecLargeStrictPosV2_0.2,SASRec,180,0.014825342997597708,0.013154854250592176,0.007687758232745555
KuaiRecLargeStrictPosV2_0.2,TiSASRec,72,0.014462581756635201,0.013370710786269134,0.007180380596369122
amazon_beauty,GRU4Rec,263,0.010652515756071738,0.0005896226415094339,0.0
amazon_beauty,SASRec,180,0.03594639141745162,0.014150943396226415,0.009433962264150943
amazon_beauty,TiSASRec,24,0.05660377358490566,0.015578450845941057,0.0031446541817683094
beauty,GRU4Rec,180,0.03215391089043549,0.0021931137711380085,0.0
beauty,SASRec,180,0.06518109521844931,0.040035965135009094,0.00017721070484681562
beauty,TiSASRec,24,0.07493411370536737,0.030323951892804298,0.005146491916128323
foursquare,GRU4Rec,180,0.11030233904690546,0.009380370624892227,0.003698865373023996
foursquare,SASRec,180,0.14769209336280592,0.1311073217724106,0.01892541749755245
foursquare,TiSASRec,24,0.1512603645980177,0.13196040995036312,0.030247360615029383
lastfm0.03,GRU4Rec,180,0.22963695796985498,0.12497691233326956,0.000733363008161292
lastfm0.03,SASRec,157,0.2654219960903055,0.21599524989972582,0.07393133108459866
retail_rocket,GRU4Rec,180,0.28262828274531976,0.09487208834456817,0.001982678241407798
retail_rocket,SASRec,180,0.33181074126230053,0.2955368510296422,0.12967514839324357
retail_rocket,TiSASRec,24,0.3177021003788747,0.2861876888576035,0.166301852880043
