context,n_runs,valid_mean,valid_max,test_mean,test_max,delta_vs_sasrec_valid
X2,4,0.08007500000000001,0.0802,0.1582,0.1584,0.0016999999999999932
X1,5,0.0706,0.0812,0.13913999999999999,0.162,0.002699999999999994
