layout_option,n_runs,valid_mean,valid_max,test_mean,test_max,run_id,best_valid_mrr20,best_valid_test_mrr20,delta_vs_sasrec_valid
S1_flat_standard,6,0.08105,0.0813,0.16161666666666666,0.162,p3s1_05_20260316_040932_600847_pid489221,0.0813,0.1602,0.002799999999999997
S2_factored_group,5,0.08102000000000001,0.0811,0.1619,0.162,p3s2_02_20260315_145121_507105_pid408315,0.0811,0.1618,0.002600000000000005
S3_feature_source,1,0.0809,0.0809,0.1621,0.1621,p3s3_01_20260315_145121_618681_pid408317,0.0809,0.1621,0.0023999999999999994
S4_deep_prefix,1,0.0804,0.0804,0.1609,0.1609,p3s4_01_20260315_173010_132186_pid408819,0.0804,0.1609,0.001899999999999999
