path_type,n_runs,valid_mean,valid_max,test_mean,test_max,run_id,best_valid_mrr20,best_valid_test_mrr20,delta_vs_sasrec_valid
hidden_plus_feature_router,1,0.0813,0.0813,0.1622,0.1622,f_feat_full_c1_20260317_024302_639648_pid55543,0.0813,0.1622,0.002799999999999997
feature_only_router,1,0.0807,0.0807,0.162,0.162,f_feat_feature_only_c4_20260317_032511_638577_pid78050,0.0807,0.162,0.0021999999999999936
injection_only,1,0.0806,0.0806,0.1616,0.1616,f_feat_injection_only_c3_20260317_035417_654766_pid89434,0.0806,0.1616,0.0021000000000000046
hidden_only_router,1,0.0792,0.0792,0.1602,0.1602,f_feat_hidden_only_c2_20260317_024343_242750_pid55988,0.0792,0.1602,0.0007000000000000062
