ratio	score	dataset	model	run_phase	path
0.027576	0.009100	KuaiRecLargeStrictPosV2_0.2	GRU4Rec	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MGRU4REC_P002_C2_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_pair60_v4_dkuaireclargestrictposv2_0_2_mgru4rec_p002_c2_s1_20260415_050658_412256_pid1144444.json
0.043081	0.003300	beauty	BSARec	PAIR60_V4_DBEAUTY_MBSAREC_P005_C2_S1	experiments/run/artifacts/results/baseline_2/beauty_BSARec_pair60_v4_dbeauty_mbsarec_p005_c2_s1_20260415_051058_975874_pid1145679.json
0.065274	0.005000	beauty	FAME	PAIR60_V4_DBEAUTY_MFAME_P008_C2_S1	experiments/run/artifacts/results/baseline_2/beauty_FAME_pair60_v4_dbeauty_mfame_p008_c2_s1_20260415_051215_576227_pid1146024.json
0.065274	0.005000	beauty	DIFSR	PAIR60_V4_REVISED_DBEAUTY_MDIFSR_P007_C2_S1_REV1	experiments/run/artifacts/results/baseline_2/beauty_DIFSR_pair60_v4_revised_dbeauty_mdifsr_p007_c2_s1_rev1_20260415_133303_602197_pid1206523.json
0.067885	0.005200	beauty	FAME	PAIR60_V4_DBEAUTY_MFAME_P008_C1_S1	experiments/run/artifacts/results/baseline_2/beauty_FAME_pair60_v4_dbeauty_mfame_p008_c1_s1_20260415_051204_987920_pid1145931.json
0.074797	0.023000	lastfm0.03	BSARec	PAIR60_V4_DLASTFM0_03_MBSAREC_P055_C2_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_BSARec_pair60_v4_dlastfm0_03_mbsarec_p055_c2_s1_20260415_100041_823043_pid1176879.json
0.077023	0.005900	beauty	GRU4Rec	PAIR60_V4_DBEAUTY_MGRU4REC_P002_C2_S1	experiments/run/artifacts/results/baseline_2/beauty_GRU4Rec_pair60_v4_dbeauty_mgru4rec_p002_c2_s1_20260415_050911_859520_pid1145319.json
0.077023	0.005900	beauty	DuoRec	PAIR60_V4_DBEAUTY_MDUOREC_P004_C1_S1	experiments/run/artifacts/results/baseline_2/beauty_DuoRec_pair60_v4_dbeauty_mduorec_p004_c1_s1_20260415_050911_896573_pid1145322.json
0.113171	0.034800	lastfm0.03	DIFSR	PAIR60_V4_DLASTFM0_03_MDIFSR_P057_C2_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_DIFSR_pair60_v4_dlastfm0_03_mdifsr_p057_c2_s1_20260415_101301_147025_pid1179268.json
0.125182	0.008600	movielens1m	DIFSR	PAIR60_V4_DMOVIELENS1M_MDIFSR_P047_C2_S1	experiments/run/artifacts/results/baseline_2/movielens1m_DIFSR_pair60_v4_dmovielens1m_mdifsr_p047_c2_s1_20260415_084354_993505_pid1173847.json
0.206364	0.068100	KuaiRecLargeStrictPosV2_0.2	GRU4Rec	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MGRU4REC_P022_C1_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_pair60_v4_dkuaireclargestrictposv2_0_2_mgru4rec_p022_c1_s1_20260415_064147_920395_pid1157878.json
0.217036	0.037200	foursquare	DIFSR	PAIR60_V4_DFOURSQUARE_MDIFSR_P037_C2_S1	experiments/run/artifacts/results/baseline_2/foursquare_DIFSR_pair60_v4_dfoursquare_mdifsr_p037_c2_s1_20260415_073858_313386_pid1164140.json
0.255875	0.019600	beauty	GRU4Rec	PAIR60_V4_DBEAUTY_MGRU4REC_P002_C1_S1	experiments/run/artifacts/results/baseline_2/beauty_GRU4Rec_pair60_v4_dbeauty_mgru4rec_p002_c1_s1_20260415_050912_037429_pid1145316.json
0.450408	0.077200	foursquare	BSARec	PAIR60_V4_REVISED_DFOURSQUARE_MBSAREC_P035_C2_S1_REV1	experiments/run/artifacts/results/baseline_2/foursquare_BSARec_pair60_v4_revised_dfoursquare_mbsarec_p035_c2_s1_rev1_20260415_133618_732943_pid1207412.json
0.487165	0.083500	foursquare	FAME	PAIR60_V4_REVISED_DFOURSQUARE_MFAME_P038_C1_S1_REV1	experiments/run/artifacts/results/baseline_2/foursquare_FAME_pair60_v4_revised_dfoursquare_mfame_p038_c1_s1_rev1_20260415_115211_836973_pid1191273.json
0.507833	0.038900	beauty	TiSASRec	PAIR60_V4_DBEAUTY_MTISASREC_P003_C2_S1	experiments/run/artifacts/results/baseline_2/beauty_TiSASRec_pair60_v4_dbeauty_mtisasrec_p003_c2_s1_20260415_050912_004140_pid1145320.json
0.518195	0.035600	movielens1m	TiSASRec	PAIR60_V4_REVISED_DMOVIELENS1M_MTISASREC_P043_C2_S1_REV1	experiments/run/artifacts/results/baseline_2/movielens1m_TiSASRec_pair60_v4_revised_dmovielens1m_mtisasrec_p043_c2_s1_rev1_20260415_114752_224364_pid1190480.json
0.550758	0.094400	foursquare	FAME	PAIR60_V4_DFOURSQUARE_MFAME_P038_C2_S1	experiments/run/artifacts/results/baseline_2/foursquare_FAME_pair60_v4_dfoursquare_mfame_p038_c2_s1_20260415_074012_032608_pid1164506.json
0.550909	0.181800	KuaiRecLargeStrictPosV2_0.2	GRU4Rec	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MGRU4REC_P022_C2_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_pair60_v4_dkuaireclargestrictposv2_0_2_mgru4rec_p022_c2_s1_20260415_064208_924735_pid1157947.json
0.567095	0.097200	foursquare	BSARec	PAIR60_V4_DFOURSQUARE_MBSAREC_P035_C1_S1	experiments/run/artifacts/results/baseline_2/foursquare_BSARec_pair60_v4_dfoursquare_mbsarec_p035_c1_s1_20260415_072933_133752_pid1162450.json
0.567576	0.187300	KuaiRecLargeStrictPosV2_0.2	FDSA	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MFDSA_P029_C1_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FDSA_pair60_v4_dkuaireclargestrictposv2_0_2_mfdsa_p029_c1_s1_20260415_070812_991082_pid1160356.json
0.583431	0.100000	foursquare	GRU4Rec	PAIR60_V4_REVISED_DFOURSQUARE_MGRU4REC_P032_C2_S1_REV1	experiments/run/artifacts/results/baseline_2/foursquare_GRU4Rec_pair60_v4_revised_dfoursquare_mgru4rec_p032_c2_s1_rev1_20260415_115255_203428_pid1191339.json
0.585181	0.100300	foursquare	FAME	PAIR60_V4_DFOURSQUARE_MFAME_P038_C1_S1	experiments/run/artifacts/results/baseline_2/foursquare_FAME_pair60_v4_dfoursquare_mfame_p038_c1_s1_20260415_074002_684435_pid1164458.json
0.616061	0.203300	KuaiRecLargeStrictPosV2_0.2	GRU4Rec	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MGRU4REC_P002_C1_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_pair60_v4_dkuaireclargestrictposv2_0_2_mgru4rec_p002_c1_s1_20260415_050658_564806_pid1144446.json
0.625438	0.107200	foursquare	GRU4Rec	PAIR60_V4_DFOURSQUARE_MGRU4REC_P032_C1_S1	experiments/run/artifacts/results/baseline_2/foursquare_GRU4Rec_pair60_v4_dfoursquare_mgru4rec_p032_c1_s1_20260415_071646_960338_pid1161203.json
0.636523	0.109100	foursquare	GRU4Rec	PAIR60_V4_DFOURSQUARE_MGRU4REC_P032_C2_S1	experiments/run/artifacts/results/baseline_2/foursquare_GRU4Rec_pair60_v4_dfoursquare_mgru4rec_p032_c2_s1_20260415_071948_600059_pid1161442.json
