ratio	score	dataset	model	run_phase	path
0.923252	0.283900	lastfm0.03	BSARec	PAIR60_V4_DLASTFM0_03_MBSAREC_P055_C1_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_BSARec_pair60_v4_dlastfm0_03_mbsarec_p055_c1_s1_20260415_095357_375945_pid1176857.json
0.928821	0.159200	foursquare	TiSASRec	PAIR60_V4_DFOURSQUARE_MTISASREC_P033_C1_S1	experiments/run/artifacts/results/baseline_2/foursquare_TiSASRec_pair60_v4_dfoursquare_mtisasrec_p033_c1_s1_20260415_072150_051020_pid1161855.json
0.929815	0.347100	retail_rocket	BSARec	PAIR60_V4_DRETAIL_ROCKET_MBSAREC_P015_C1_S1	experiments/run/artifacts/results/baseline_2/retail_rocket_BSARec_pair60_v4_dretail_rocket_mbsarec_p015_c1_s1_20260415_051848_215042_pid1147358.json
0.930606	0.307100	KuaiRecLargeStrictPosV2_0.2	DuoRec	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MDUOREC_P024_C1_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_DuoRec_pair60_v4_dkuaireclargestrictposv2_0_2_mduorec_p024_c1_s1_20260415_064947_818521_pid1158578.json
0.932762	0.348200	retail_rocket	FEARec	PAIR60_V4_DRETAIL_ROCKET_MFEAREC_P016_C1_S1	experiments/run/artifacts/results/baseline_2/retail_rocket_FEARec_pair60_v4_dretail_rocket_mfearec_p016_c1_s1_20260415_053439_210316_pid1149433.json
0.938387	0.350300	retail_rocket	TiSASRec	PAIR60_V4_REVISED_DRETAIL_ROCKET_MTISASREC_P013_C2_S1_REV1	experiments/run/artifacts/results/baseline_2/retail_rocket_TiSASRec_pair60_v4_revised_dretail_rocket_mtisasrec_p013_c2_s1_rev1_20260415_114752_100579_pid1190482.json
0.941602	0.351500	retail_rocket	FEARec	PAIR60_V4_DRETAIL_ROCKET_MFEAREC_P016_C2_S1	experiments/run/artifacts/results/baseline_2/retail_rocket_FEARec_pair60_v4_dretail_rocket_mfearec_p016_c2_s1_20260415_054832_537058_pid1151531.json
0.942138	0.351700	retail_rocket	DIFSR	PAIR60_V4_REVISED_OOMRERUN_DRETAIL_ROCKET_MDIFSR_P017_C1_S1_REV1	experiments/run/artifacts/results/baseline_2/retail_rocket_DIFSR_pair60_v4_revised_oomrerun_dretail_rocket_mdifsr_p017_c1_s1_rev1_20260415_130838_921485_pid1201482.json
0.946667	0.291100	lastfm0.03	FEARec	PAIR60_V4_DLASTFM0_03_MFEAREC_P056_C1_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_FEARec_pair60_v4_dlastfm0_03_mfearec_p056_c1_s1_20260415_100331_546410_pid1176901.json
0.946908	0.162300	foursquare	DuoRec	PAIR60_V4_DFOURSQUARE_MDUOREC_P034_C1_S1	experiments/run/artifacts/results/baseline_2/foursquare_DuoRec_pair60_v4_dfoursquare_mduorec_p034_c1_s1_20260415_072444_235013_pid1162106.json
0.950569	0.292300	lastfm0.03	FDSA	PAIR60_V4_DLASTFM0_03_MFDSA_P059_C1_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_FDSA_pair60_v4_dlastfm0_03_mfdsa_p059_c1_s1_20260415_103557_386490_pid1181160.json
0.950992	0.163000	foursquare	FeaturedMoE_N3	PAIR60_V4_DFOURSQUARE_MFEATURED_MOE_N3_P040_C1_S1	experiments/run/artifacts/results/baseline_2/foursquare_FeaturedMoE_N3_pair60_v4_dfoursquare_mfeatured_moe_n3_p040_c1_s1_20260415_074204_393194_pid1164965.json
0.954492	0.163600	foursquare	TiSASRec	PAIR60_V4_DFOURSQUARE_MTISASREC_P033_C2_S1	experiments/run/artifacts/results/baseline_2/foursquare_TiSASRec_pair60_v4_dfoursquare_mtisasrec_p033_c2_s1_20260415_072339_046022_pid1161998.json
0.956061	0.315500	KuaiRecLargeStrictPosV2_0.2	DuoRec	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MDUOREC_P024_C2_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_DuoRec_pair60_v4_dkuaireclargestrictposv2_0_2_mduorec_p024_c2_s1_20260415_065400_808514_pid1158947.json
0.956970	0.315800	KuaiRecLargeStrictPosV2_0.2	SASRec	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MSASREC_P021_C2_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_SASRec_pair60_v4_dkuaireclargestrictposv2_0_2_msasrec_p021_c2_s1_20260415_063350_109417_pid1156627.json
0.957787	0.065800	movielens1m	FDSA	PAIR60_V4_DMOVIELENS1M_MFDSA_P049_C1_S1	experiments/run/artifacts/results/baseline_2/movielens1m_FDSA_pair60_v4_dmovielens1m_mfdsa_p049_c1_s1_20260415_085230_922466_pid1176589.json
0.959697	0.316700	KuaiRecLargeStrictPosV2_0.2	SASRec	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MSASREC_P021_C1_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_SASRec_pair60_v4_dkuaireclargestrictposv2_0_2_msasrec_p021_c1_s1_20260415_062307_175051_pid1155948.json
0.960606	0.317000	KuaiRecLargeStrictPosV2_0.2	FEARec	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MFEAREC_P026_C2_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FEARec_pair60_v4_dkuaireclargestrictposv2_0_2_mfearec_p026_c2_s1_20260415_065952_613634_pid1159708.json
0.964848	0.318400	KuaiRecLargeStrictPosV2_0.2	FEARec	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MFEAREC_P026_C1_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FEARec_pair60_v4_dkuaireclargestrictposv2_0_2_mfearec_p026_c1_s1_20260415_065905_383121_pid1159601.json
0.965979	0.360600	retail_rocket	DIFSR	PAIR60_V4_REVISED_DRETAIL_ROCKET_MDIFSR_P017_C2_S1_REV1	experiments/run/artifacts/results/baseline_2/retail_rocket_DIFSR_pair60_v4_revised_dretail_rocket_mdifsr_p017_c2_s1_rev1_20260415_133200_230845_pid1206152.json
0.967051	0.361000	retail_rocket	FeaturedMoE_N3	PAIR60_V4_DRETAIL_ROCKET_MFEATURED_MOE_N3_P020_C2_S1	experiments/run/artifacts/results/baseline_2/retail_rocket_FeaturedMoE_N3_pair60_v4_dretail_rocket_mfeatured_moe_n3_p020_c2_s1_20260415_061520_965705_pid1155099.json
0.968122	0.361400	retail_rocket	FeaturedMoE_N3	PAIR60_V4_DRETAIL_ROCKET_MFEATURED_MOE_N3_P020_C1_S1	experiments/run/artifacts/results/baseline_2/retail_rocket_FeaturedMoE_N3_pair60_v4_dretail_rocket_mfeatured_moe_n3_p020_c1_s1_20260415_061459_927450_pid1154998.json
0.969662	0.166200	foursquare	FDSA	PAIR60_V4_DFOURSQUARE_MFDSA_P039_C2_S1	experiments/run/artifacts/results/baseline_2/foursquare_FDSA_pair60_v4_dfoursquare_mfdsa_p039_c2_s1_20260415_074121_813201_pid1164930.json
0.970828	0.166400	foursquare	FeaturedMoE_N3	PAIR60_V4_DFOURSQUARE_MFEATURED_MOE_N3_P040_C2_S1	experiments/run/artifacts/results/baseline_2/foursquare_FeaturedMoE_N3_pair60_v4_dfoursquare_mfeatured_moe_n3_p040_c2_s1_20260415_074217_577325_pid1165053.json
0.977246	0.167500	foursquare	SASRec	PAIR60_V4_DFOURSQUARE_MSASREC_P031_C1_S1	experiments/run/artifacts/results/baseline_2/foursquare_SASRec_pair60_v4_dfoursquare_msasrec_p031_c1_s1_20260415_071248_935966_pid1160730.json
0.978537	0.300900	lastfm0.03	SASRec	PAIR60_V4_DLASTFM0_03_MSASREC_P051_C2_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_SASRec_pair60_v4_dlastfm0_03_msasrec_p051_c2_s1_20260415_092514_720089_pid1176710.json
0.979373	0.365600	retail_rocket	DIFSR	PAIR60_V4_REVISED_DRETAIL_ROCKET_MDIFSR_P017_C2_S1_REV1	experiments/run/artifacts/results/baseline_2/retail_rocket_DIFSR_pair60_v4_revised_dretail_rocket_mdifsr_p017_c2_s1_rev1_20260415_114752_387463_pid1190484.json
0.979512	0.301200	lastfm0.03	TiSASRec	PAIR60_V4_DLASTFM0_03_MTISASREC_P053_C2_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_TiSASRec_pair60_v4_dlastfm0_03_mtisasrec_p053_c2_s1_20260415_093919_285121_pid1176794.json
0.980163	0.168000	foursquare	SASRec	PAIR60_V4_DFOURSQUARE_MSASREC_P031_C2_S1	experiments/run/artifacts/results/baseline_2/foursquare_SASRec_pair60_v4_dfoursquare_msasrec_p031_c2_s1_20260415_071411_055616_pid1160812.json
0.982114	0.302000	lastfm0.03	DIFSR	PAIR60_V4_DLASTFM0_03_MDIFSR_P057_C1_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_DIFSR_pair60_v4_dlastfm0_03_mdifsr_p057_c1_s1_20260415_101024_612560_pid1177286.json
0.983659	0.367200	retail_rocket	SASRec	PAIR60_V4_DRETAIL_ROCKET_MSASREC_P011_C2_S1	experiments/run/artifacts/results/baseline_2/retail_rocket_SASRec_pair60_v4_dretail_rocket_msasrec_p011_c2_s1_20260415_051415_922978_pid1146589.json
0.983927	0.367300	retail_rocket	SASRec	PAIR60_V4_DRETAIL_ROCKET_MSASREC_P011_C1_S1	experiments/run/artifacts/results/baseline_2/retail_rocket_SASRec_pair60_v4_dretail_rocket_msasrec_p011_c1_s1_20260415_051352_253514_pid1146508.json
0.984065	0.302600	lastfm0.03	TiSASRec	PAIR60_V4_REVISED_DLASTFM0_03_MTISASREC_P053_C2_S1_REV1	experiments/run/artifacts/results/baseline_2/lastfm0.03_TiSASRec_pair60_v4_revised_dlastfm0_03_mtisasrec_p053_c2_s1_rev1_20260415_114752_244405_pid1190477.json
0.984390	0.302700	lastfm0.03	TiSASRec	PAIR60_V4_DLASTFM0_03_MTISASREC_P053_C1_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_TiSASRec_pair60_v4_dlastfm0_03_mtisasrec_p053_c1_s1_20260415_093803_230486_pid1176758.json
0.985366	0.303000	lastfm0.03	FeaturedMoE_N3	PAIR60_V4_DLASTFM0_03_MFEATURED_MOE_N3_P060_C2_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_FeaturedMoE_N3_pair60_v4_dlastfm0_03_mfeatured_moe_n3_p060_c2_s1_20260415_104212_340700_pid1181678.json
0.986016	0.303200	lastfm0.03	FeaturedMoE_N3	PAIR60_V4_DLASTFM0_03_MFEATURED_MOE_N3_P060_C1_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_FeaturedMoE_N3_pair60_v4_dlastfm0_03_mfeatured_moe_n3_p060_c1_s1_20260415_103823_066516_pid1181367.json
0.986900	0.067800	movielens1m	BSARec	PAIR60_V4_DMOVIELENS1M_MBSAREC_P045_C2_S1	experiments/run/artifacts/results/baseline_2/movielens1m_BSARec_pair60_v4_dmovielens1m_mbsarec_p045_c2_s1_20260415_080346_716525_pid1168030.json
0.987142	0.368500	retail_rocket	FAME	PAIR60_V4_DRETAIL_ROCKET_MFAME_P018_C1_S1	experiments/run/artifacts/results/baseline_2/retail_rocket_FAME_pair60_v4_dretail_rocket_mfame_p018_c1_s1_20260415_055101_444808_pid1151887.json
0.995714	0.371700	retail_rocket	BSARec	PAIR60_V4_DRETAIL_ROCKET_MBSAREC_P015_C2_S1	experiments/run/artifacts/results/baseline_2/retail_rocket_BSARec_pair60_v4_dretail_rocket_mbsarec_p015_c2_s1_20260415_053335_879812_pid1149174.json
0.998393	0.372700	retail_rocket	DIFSR	PAIR60_V4_REVISED_DRETAIL_ROCKET_MDIFSR_P017_C1_S1_REV1	experiments/run/artifacts/results/baseline_2/retail_rocket_DIFSR_pair60_v4_revised_dretail_rocket_mdifsr_p017_c1_s1_rev1_20260415_133200_529828_pid1206150.json
1.000000	0.068700	movielens1m	FAME	PAIR60_V4_DMOVIELENS1M_MFAME_P048_C2_S1	experiments/run/artifacts/results/baseline_2/movielens1m_FAME_pair60_v4_dmovielens1m_mfame_p048_c2_s1_20260415_084958_454771_pid1176569.json
1.000000	0.076600	beauty	FDSA	PAIR60_V4_DBEAUTY_MFDSA_P009_C2_S1	experiments/run/artifacts/results/baseline_2/beauty_FDSA_pair60_v4_dbeauty_mfdsa_p009_c2_s1_20260415_051255_746068_pid1146148.json
1.000000	0.171400	foursquare	FDSA	PAIR60_V4_DFOURSQUARE_MFDSA_P039_C1_S1	experiments/run/artifacts/results/baseline_2/foursquare_FDSA_pair60_v4_dfoursquare_mfdsa_p039_c1_s1_20260415_074108_358556_pid1164818.json
1.000000	0.307500	lastfm0.03	SASRec	PAIR60_V4_DLASTFM0_03_MSASREC_P051_C1_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_SASRec_pair60_v4_dlastfm0_03_msasrec_p051_c1_s1_20260415_091313_756039_pid1176676.json
1.000000	0.330000	KuaiRecLargeStrictPosV2_0.2	BSARec	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MBSAREC_P025_C1_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_BSARec_pair60_v4_dkuaireclargestrictposv2_0_2_mbsarec_p025_c1_s1_20260415_065542_164727_pid1159083.json
1.000000	0.373300	retail_rocket	FAME	PAIR60_V4_DRETAIL_ROCKET_MFAME_P018_C2_S1	experiments/run/artifacts/results/baseline_2/retail_rocket_FAME_pair60_v4_dretail_rocket_mfame_p018_c2_s1_20260415_055957_024733_pid1152967.json
