stage,model,best_candidate_id,best_valid_mrr20,best_test_mrr20,cum_best_valid_mrr20,cum_best_test_mrr20,last_update_utc
A,gru4rec,A009_L04,0.3157,0.3125,0.3157,0.3125,2026-04-14T12:50:27.782985+00:00
A,gru4rec,A009_L04,0.3157,0.3125,0.3157,0.3125,2026-04-14T13:36:55.345811+00:00
A,sasrec,A013_L02,0.3704,0.3696,0.3704,0.3696,2026-04-14T12:50:27.783427+00:00
A,sasrec,A013_L02,0.3704,0.3696,0.3704,0.3696,2026-04-14T13:36:55.346232+00:00
A,tisasrec,A007_L03,0.3371,0.3326,0.3371,0.3326,2026-04-14T12:50:27.784060+00:00
A,tisasrec,A007_L03,0.3371,0.3326,0.3371,0.3326,2026-04-14T13:36:55.346626+00:00
