early_stopped,epochs_run,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.n_eff,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.stage_delta_norm,macro_1.top1_max_frac,micro_1.condition_norm,micro_1.cv_usage,micro_1.dead_expert_frac,micro_1.entropy_mean,micro_1.expert_similarity_max,micro_1.expert_similarity_mean,micro_1.n_eff,micro_1.route_jitter_adjacent,micro_1.route_jitter_session,micro_1.stage_delta_norm,micro_1.top1_max_frac,mid_1.condition_norm,mid_1.cv_usage,mid_1.dead_expert_frac,mid_1.entropy_mean,mid_1.expert_similarity_max,mid_1.expert_similarity_mean,mid_1.n_eff,mid_1.route_jitter_adjacent,mid_1.route_jitter_session,mid_1.stage_delta_norm,mid_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0797,ok,0.1887,0.162,1
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0658,ok,0.15,0.1421,2
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0657,ok,0.1496,0.1414,3
True,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,ok,0.1889,0.1607,4
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0799,ok,0.1861,0.1605,5
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0658,ok,0.15,0.1423,6
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0797,ok,0.1853,0.1602,7
True,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0798,ok,0.1884,0.1606,8
True,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0798,ok,0.1878,0.1617,9
True,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0796,ok,0.1841,0.1599,10
True,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1869,0.161,11
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0798,ok,0.1883,0.1617,12
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0657,ok,0.1498,0.1416,13
True,42,0.0,0.6796286946645768,0.0,1.2441190789550038,0.8062757253646851,0.4445267617702484,8.208521754265773,0.0,0.0,2.3620510521596962,0.2673351723952775,0.0,0.8471313325841029,0.0,1.007558579373589,0.7325344085693359,0.11055750399827957,6.986366516758975,0.4634233397303475,0.31081019239894064,2.7930043751400904,0.25862535712927354,0.0,1.1846836750303604,0.0,1.2323075432057904,0.8753311634063721,0.11918710172176361,4.992769549765237,0.0,0.0,2.8130983190001846,0.4418514118491969,0.0802,ok,0.1894,0.1605,14
True,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793,ok,0.1855,0.1604,15
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1875,0.161,16
True,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0797,ok,0.1893,0.1615,17
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1872,0.1616,18
True,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0797,ok,0.1889,0.162,19
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,ok,0.1848,0.1603,20
