avg_epoch_time_sec,early_stopped,epochs_run,mrr@20,status,test_hr@10,test_inference_time_sec,test_mrr@20,trial
0.27879377206166583,True,30,0.002,ok,0.0029,0.020147085189819336,0.0011,1
0.273799991607666,True,20,0.002,ok,0.0029,0.019342422485351562,0.0011,2
0.2557828426361084,True,21,0.0021,ok,0.0,0.02120184898376465,0.0,3
0.2706587219238281,True,25,0.002,ok,0.0029,0.021148681640625,0.0011,4
0.26598862445715704,True,33,0.0025,ok,0.0,0.020206212997436523,0.0,5
0.25160190154766215,True,29,0.001,ok,0.0029,0.01910710334777832,0.0011,6
0.2566707134246826,True,18,0.002,ok,0.0029,0.019357681274414062,0.0011,7
0.26630230744679767,True,18,0.002,ok,0.0029,0.019644498825073242,0.0011,8
0.2539967183143862,True,31,0.0023,ok,0.0,0.019328594207763672,0.0,9
0.2609861472557331,True,29,0.002,ok,0.0029,0.018614530563354492,0.0011,10
