early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2189,ok,0.2742,0.2183,1
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2248,ok,0.2811,0.2276,2
False,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2225,ok,0.2914,0.2261,3
False,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2251,ok,0.2914,0.2275,4
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2232,ok,0.2813,0.2186,5
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2208,ok,0.2728,0.2222,6
True,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2314,ok,0.2883,0.2339,7
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2217,ok,0.2782,0.224,8
False,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2248,ok,0.2909,0.2273,9
True,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233,ok,0.2899,0.2337,10
True,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2324,ok,0.2888,0.2341,11
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2182,ok,0.2721,0.2187,12
False,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2154,ok,0.2936,0.2204,13
True,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2334,ok,0.2859,0.2348,14
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2244,ok,0.2798,0.2282,15
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2177,ok,0.2675,0.2204,16
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232,ok,0.2888,0.234,17
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2314,ok,0.2877,0.232,18
True,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2331,ok,0.2864,0.2353,19
True,41,1.0,1.0,0.0,0.1268629869307355,0.0,2.1193246013299762,0.5873168110847473,0.25279390811920166,0.0,0.11284301371638744,1.038618804743151,2.962279667064322,0.5078657972324445,4.77270877624236,8.857444728464106,4.77270877624236,0.0,1.0,0.011870376866705836,0.9882428680977475,0.02280670741818986,0.9774513996192994,0.01280442318192765,0.9872772046739434,0.004284635934619361,0.9957245300223244,0.0021730242485974295,0.9978312818417682,0.006484325407921808,0.993536652463138,0.0,0.0,7.048226979803348,4.77270877624236,0.343921492672219,0.234,ok,0.2864,0.2345,20
