dataset,model,condition,group,valid_mrr20,test_mrr20,valid_hr1,test_hr1,valid_hr10,test_hr10,valid_ndcg1,test_ndcg1,valid_ndcg10,test_ndcg10,elapsed_sec,status,log_path,result_path,timestamp_utc
foursquare,featured_moe_n3,both_zero,train_perturb,0.2049,0.1687,0.1302,0.1083,0.3606,0.3082,0.1302,0.1083,0.2395,0.1989,126.3,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/foursquare_both_zero.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p1-cue_20260511_174103_606698_pid868099.json,2026-05-11T17:43:05Z
foursquare,featured_moe_n3,feature_only,train_perturb,0.2049,0.1687,0.1302,0.1083,0.3606,0.3082,0.1302,0.1083,0.2395,0.1989,126.6,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/foursquare_feature_only.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p1-cue_20260511_174103_596129_pid868098.json,2026-05-11T17:43:06Z
foursquare,featured_moe_n3,hidden_only,train_perturb,0.2049,0.1687,0.1302,0.1083,0.3606,0.3082,0.1302,0.1083,0.2395,0.1989,130.3,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/foursquare_hidden_only.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p1-cue_20260511_174104_260975_pid868097.json,2026-05-11T17:43:10Z
foursquare,featured_moe_n3,train_zero,train_perturb,0.2049,0.1687,0.1302,0.1083,0.3606,0.3082,0.1302,0.1083,0.2395,0.1989,130.6,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/foursquare_train_zero.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p1-cue_20260511_174104_035322_pid868100.json,2026-05-11T17:43:10Z
foursquare,featured_moe_n3,train_shuffle,train_perturb,0.2049,0.1687,0.1302,0.1083,0.3606,0.3082,0.1302,0.1083,0.2395,0.1989,126.7,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/foursquare_train_shuffle.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p1-cue_20260511_174309_739551_pid868175.json,2026-05-11T17:45:12Z
KuaiRec,featured_moe_n3,train_zero,train_perturb,0.0161,0.3161,0.0103,0.2871,0.0309,0.3679,0.0103,0.2871,0.0186,0.3278,3629.8,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/KuaiRec_train_zero.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/KuaiRec_FeaturedMoE_N3_p1-cue_20260511_174314_049228_pid868200.json,2026-05-11T18:43:40Z
KuaiRec,featured_moe_n3,hidden_only,train_perturb,0.0161,0.3161,0.0103,0.2871,0.0309,0.3679,0.0103,0.2871,0.0186,0.3278,3698.4,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/KuaiRec_hidden_only.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/KuaiRec_FeaturedMoE_N3_p1-cue_20260511_174309_907447_pid868176.json,2026-05-11T18:44:44Z
KuaiRec,featured_moe_n3,feature_only,train_perturb,0.0161,0.3161,0.0103,0.2871,0.0309,0.3679,0.0103,0.2871,0.0186,0.3278,3711.7,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/KuaiRec_feature_only.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/KuaiRec_FeaturedMoE_N3_p1-cue_20260511_174313_771431_pid868199.json,2026-05-11T18:45:01Z
KuaiRec,featured_moe_n3,both_zero,train_perturb,0.0161,0.3161,0.0103,0.2871,0.0309,0.3679,0.0103,0.2871,0.0186,0.3278,3637.4,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/KuaiRec_both_zero.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/KuaiRec_FeaturedMoE_N3_p1-cue_20260511_174516_329944_pid868230.json,2026-05-11T18:45:50Z
KuaiRec,featured_moe_n3,train_shuffle,train_perturb,0.0161,0.3161,0.0103,0.2871,0.0309,0.3679,0.0103,0.2871,0.0186,0.3278,3825.5,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/KuaiRec_train_shuffle.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/KuaiRec_FeaturedMoE_N3_p1-cue_20260511_184344_519374_pid868277.json,2026-05-11T19:47:25Z
foursquare,FeaturedMoE_N3_A12,hidden_only,p0_summary_rank1,train_perturb,0.2043,0.1718,0.1264,0.1079,0.3618,0.3197,0.1264,0.1079,0.239,0.2041,0.00035105089938522775,224,224,369.8,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/foursquare_hidden_only_p0_summary_rank1.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p1-cue_20260512_021713_746097_pid873881.json,2026-05-12T02:23:19Z
foursquare,FeaturedMoE_N3_A12,hidden_only,p0_summary_rank2,train_perturb,0.2055,0.17,0.1302,0.1043,0.3648,0.3205,0.1302,0.1043,0.2407,0.2028,0.00038866395864867555,224,224,370.5,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/foursquare_hidden_only_p0_summary_rank2.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p1-cue_20260512_021713_544994_pid873882.json,2026-05-12T02:23:20Z
foursquare,FeaturedMoE_N3_A12,feature_only,p0_summary_rank2,train_perturb,0.2051,0.1666,0.1294,0.0979,0.3678,0.3137,0.1294,0.0979,0.2411,0.1983,0.00038866395864867555,224,224,415.0,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/foursquare_feature_only_p0_summary_rank2.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p1-cue_20260512_021714_068324_pid873884.json,2026-05-12T02:24:04Z
foursquare,FeaturedMoE_N3_A12,hidden_only,p0_summary_rank1,train_perturb,0.2043,0.1718,0.1264,0.1079,0.3618,0.3197,0.1264,0.1079,0.239,0.2041,0.00035105089938522775,224,224,325.3,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/foursquare_hidden_only_p0_summary_rank1.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p1-cue_20260512_035905_947235_pid882787.json,2026-05-12T04:04:27Z
foursquare,FeaturedMoE_N3_A12,hidden_only,p0_summary_rank2,train_perturb,0.2055,0.17,0.1302,0.1043,0.3648,0.3205,0.1302,0.1043,0.2407,0.2028,0.00038866395864867555,224,224,375.9,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/foursquare_hidden_only_p0_summary_rank2.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p1-cue_20260512_035906_412211_pid882786.json,2026-05-12T04:05:17Z
foursquare,FeaturedMoE_N3_A12,feature_only,p0_summary_rank2,train_perturb,0.2051,0.1666,0.1294,0.0979,0.3678,0.3137,0.1294,0.0979,0.2411,0.1983,0.00038866395864867555,224,224,381.2,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/foursquare_feature_only_p0_summary_rank2.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p1-cue_20260512_035905_983129_pid882789.json,2026-05-12T04:05:23Z
foursquare,FeaturedMoE_N3_A12,feature_only,p0_summary_rank1,train_perturb,0.2044,0.1674,0.1309,0.1007,0.3636,0.3133,0.1309,0.1007,0.2394,0.1991,0.00035105089938522775,224,224,415.7,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/foursquare_feature_only_p0_summary_rank1.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p1-cue_20260512_035905_977265_pid882788.json,2026-05-12T04:05:57Z
foursquare,FeaturedMoE_N3_A12,train_zero,p0_summary_rank1,train_perturb,0.202,0.1632,0.1276,0.0939,0.3655,0.3102,0.1276,0.0939,0.238,0.195,0.00035105089938522775,224,224,384.9,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/foursquare_train_zero_p0_summary_rank1.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p1-cue_20260512_040431_339455_pid883206.json,2026-05-12T04:10:52Z
foursquare,FeaturedMoE_N3_A12,both_zero,p0_summary_rank1,train_perturb,0.2016,0.1635,0.1272,0.0947,0.3651,0.3102,0.1272,0.0947,0.2375,0.1952,0.00035105089938522775,224,224,379.7,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/foursquare_both_zero_p0_summary_rank1.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p1-cue_20260512_040527_822610_pid883323.json,2026-05-12T04:11:42Z
foursquare,FeaturedMoE_N3_A12,both_zero,p0_summary_rank2,train_perturb,0.2002,0.1626,0.1279,0.0959,0.3599,0.3074,0.1279,0.0959,0.235,0.1938,0.00038866395864867555,224,224,385.1,ok,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/train/foursquare_both_zero_p0_summary_rank2.log,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p1-cue_20260512_040601_764439_pid883411.json,2026-05-12T04:12:22Z
