dataset,model,candidate_rank,p0_rank,test_mrr20,test_hr10,test_ndcg10,valid_mrr20,valid_hr10,lr,wd,hidden_size,d_expert_hidden,d_router_hidden,checkpoint_path,result_path,log_path,elapsed_sec,status,timestamp_utc
foursquare,FeaturedMoE_N3_A12,2,4,0.1662,0.3257,0.2014,0.2009,0.3707,0.0006431060332990528,6e-07,224,224,112,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p0-a12_20260512_020852_701756_pid873138_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p0-a12_20260512_020852_701756_pid873138.json,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/eval/p0_foursquare_rank04.log,287.1,ok,2026-05-12T02:13:35Z
foursquare,FeaturedMoE_N3_A12,1,1,0.1624,0.3129,0.1955,0.1968,0.3707,0.0008756956759231885,6e-07,224,224,112,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p0-a12_20260512_020851_905146_pid873135_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p0-a12_20260512_020851_905146_pid873135.json,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/eval/p0_foursquare_rank01.log,295.4,ok,2026-05-12T02:13:43Z
foursquare,FeaturedMoE_N3_A12,3,3,0.1663,0.3253,0.2015,0.2034,0.3756,0.00035105089938522775,6e-07,224,224,112,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p0-a12_20260512_020852_099892_pid873137_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p0-a12_20260512_020852_099892_pid873137.json,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/eval/p0_foursquare_rank03.log,377.5,ok,2026-05-12T02:15:05Z
foursquare,FeaturedMoE_N3_A12,5,2,0.1663,0.3201,0.1999,0.2044,0.3711,0.00038866395864867555,6e-07,224,224,112,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p0-a12_20260512_020852_195451_pid873136_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p0-a12_20260512_020852_195451_pid873136.json,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/eval/p0_foursquare_rank02.log,380.4,ok,2026-05-12T02:15:08Z
foursquare,FeaturedMoE_N3_A12,2,4,0.1662,0.3257,0.2014,0.2009,0.3707,0.0006431060332990528,6e-07,224,224,112,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p0-a12_20260512_035042_580410_pid881830_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p0-a12_20260512_035042_580410_pid881830.json,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/eval/p0_foursquare_rank04.log,272.1,ok,2026-05-12T03:55:10Z
foursquare,FeaturedMoE_N3_A12,1,1,0.1624,0.3129,0.1955,0.1968,0.3707,0.0008756956759231885,6e-07,224,224,112,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p0-a12_20260512_035042_301614_pid881827_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p0-a12_20260512_035042_301614_pid881827.json,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/eval/p0_foursquare_rank01.log,273.8,ok,2026-05-12T03:55:12Z
foursquare,FeaturedMoE_N3_A12,3,3,0.1663,0.3253,0.2015,0.2034,0.3756,0.00035105089938522775,6e-07,224,224,112,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p0-a12_20260512_035042_577349_pid881829_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p0-a12_20260512_035042_577349_pid881829.json,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/eval/p0_foursquare_rank03.log,367.1,ok,2026-05-12T03:56:45Z
foursquare,FeaturedMoE_N3_A12,5,2,0.1663,0.3201,0.1999,0.2044,0.3711,0.00038866395864867555,6e-07,224,224,112,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p0-a12_20260512_035042_844665_pid881828_best_model_state.pth,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/artifacts/results/cikm/foursquare_FeaturedMoE_N3_p0-a12_20260512_035042_844665_pid881828.json,/workspace/FeaturedMoE/experiments/run/CIKM/exp_cue_perturb/logs/eval/p0_foursquare_rank02.log,371.3,ok,2026-05-12T03:56:49Z
