model,global_best_valid_mrr20,global_best_test_mrr20,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,result_path,timestamp_utc
GRU4Rec,0.089400,0.061300,0.089400,0.061300,0.089400,0.061300,P14_FAD_D03_M02_GRU4REC_H2_S1,FAD_FOURSQUARE_GRU4REC_H2_S1,foursquare,H2,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/foursquare/GRU4Rec/foursquare_GRU4Rec_p14_fad_d03_m02_gru4rec_h2_s1_20260328_081503_480583_pid334500.json,2026-03-28T08:20:12.717214Z
GRU4Rec,0.089800,0.061300,0.089800,0.061300,0.089800,0.060100,P14_FAD_D03_M02_GRU4REC_H3_S1,FAD_FOURSQUARE_GRU4REC_H3_S1,foursquare,H3,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/foursquare/GRU4Rec/foursquare_GRU4Rec_p14_fad_d03_m02_gru4rec_h3_s1_20260328_081503_472716_pid334499.json,2026-03-28T08:21:55.894992Z
SASRec,0.129500,0.103700,0.129500,0.103700,0.129500,0.103700,P14_FAD_D03_M01_SASREC_H2_S1,FAD_FOURSQUARE_SASREC_H2_S1,foursquare,H2,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/foursquare/SASRec/foursquare_SASRec_p14_fad_d03_m01_sasrec_h2_s1_20260328_081503_369701_pid334497.json,2026-03-28T08:32:05.604381Z
SASRec,0.131200,0.104300,0.131200,0.104300,0.131200,0.104300,P14_FAD_D03_M01_SASREC_H3_S1,FAD_FOURSQUARE_SASREC_H3_S1,foursquare,H3,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/foursquare/SASRec/foursquare_SASRec_p14_fad_d03_m01_sasrec_h3_s1_20260328_081503_497464_pid334498.json,2026-03-28T08:44:36.433783Z
TiSASRec,0.131200,0.104300,0.123000,0.086300,0.123000,0.086300,P14_FAD_D03_M03_TISASREC_H2_S1,FAD_FOURSQUARE_TISASREC_H2_S1,foursquare,H2,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/foursquare/TiSASRec/foursquare_TiSASRec_p14_fad_d03_m03_tisasrec_h2_s1_20260328_082201_237635_pid335068.json,2026-03-28T08:56:49.257572Z
DuoRec,0.131200,0.104300,0.115400,0.092300,0.115400,0.092300,P14_FAD_D03_M04_DUOREC_H1_S1,FAD_FOURSQUARE_DUOREC_H1_S1,foursquare,H1,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/foursquare/DuoRec/foursquare_DuoRec_p14_fad_d03_m04_duorec_h1_s1_20260328_083210_603707_pid336378.json,2026-03-28T09:03:33.743332Z
TiSASRec,0.131200,0.104300,0.127300,0.096200,0.127300,0.096200,P14_FAD_D03_M03_TISASREC_H3_S1,FAD_FOURSQUARE_TISASREC_H3_S1,foursquare,H3,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/foursquare/TiSASRec/foursquare_TiSASRec_p14_fad_d03_m03_tisasrec_h3_s1_20260328_082017_648533_pid334952.json,2026-03-28T09:13:45.437348Z
BSARec,0.131200,0.104300,0.108700,0.085400,0.108700,0.085400,P14_FAD_D03_M06_BSAREC_H4_S1,FAD_FOURSQUARE_BSAREC_H4_S1,foursquare,H4,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/foursquare/BSARec/foursquare_BSARec_p14_fad_d03_m06_bsarec_h4_s1_20260328_091350_445887_pid339071.json,2026-03-28T09:38:06.986753Z
DuoRec,0.131200,0.104300,0.120000,0.094100,0.120000,0.094100,P14_FAD_D03_M04_DUOREC_H2_S1,FAD_FOURSQUARE_DUOREC_H2_S1,foursquare,H2,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/foursquare/DuoRec/foursquare_DuoRec_p14_fad_d03_m04_duorec_h2_s1_20260328_084441_517178_pid337471.json,2026-03-28T09:47:36.652966Z
SIGMA,0.131200,0.104300,0.056600,0.043700,0.056600,0.043700,P14_FAD_D03_M05_SIGMA_H4_S1,FAD_FOURSQUARE_SIGMA_H4_S1,foursquare,H4,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/final_all_datasets/P14/foursquare/SIGMA/foursquare_SIGMA_p14_fad_d03_m05_sigma_h4_s1_20260328_085654_285372_pid338084.json,2026-03-28T10:04:56.790502Z
