dataset,split,tier,group,selected_session_rows,selected_unique_sessions,full_sessions,session_pct_of_split,selection_score_mean,selection_score_median,selection_score_min,selection_score_max,core_score_mean,balance_score_mean,balanced_quota_before_cap,effective_quota_after_cap
KuaiRecLargeStrictPosV2_0.2,test,permissive,exposure_minus,113,113,3669,0.030798582720087217,0.6007805802753351,0.596412832815,0.5840326562623335,0.65879731315,0.6225474593427581,0.483541185135493,113,113
KuaiRecLargeStrictPosV2_0.2,test,permissive,exposure_plus,113,113,3669,0.030798582720087217,0.6174257978177995,0.6149018155533332,0.6017742415806667,0.6581584601024333,0.6290656110106195,0.5583372078280416,113,113
KuaiRecLargeStrictPosV2_0.2,test,permissive,focus_minus,113,113,3669,0.030798582720087217,0.804978608872209,0.8048907480230001,0.8022684912935999,0.813333333337,0.9393455781948675,0.04356578271047784,113,113
KuaiRecLargeStrictPosV2_0.2,test,permissive,focus_plus,113,113,3669,0.030798582720087217,0.5057483951285106,0.50537679787,0.473466641323,0.572686556568,0.49044639036584065,0.6002176498911092,113,113
KuaiRecLargeStrictPosV2_0.2,test,permissive,memory_minus,113,113,3669,0.030798582720087217,0.9382287937403204,0.9342940521274,0.8576940214437999,0.993172525729,0.9938494217440885,0.6230452350523008,113,113
KuaiRecLargeStrictPosV2_0.2,test,permissive,memory_plus,113,113,3669,0.030798582720087217,0.49932341085628035,0.49567166225,0.4790405848546999,0.562957141238,0.5128131641327788,0.4716533610776612,113,113
KuaiRecLargeStrictPosV2_0.2,test,permissive,tempo_minus,113,113,3669,0.030798582720087217,0.7288645658616021,0.7247803177183332,0.7008889725346666,0.7759092636616666,0.7763118288699115,0.46277491763083767,113,113
KuaiRecLargeStrictPosV2_0.2,test,permissive,tempo_plus,113,113,3669,0.030798582720087217,0.7261625828812059,0.7210614011705451,0.6989470066008833,0.7744016912263667,0.7444134851129071,0.6344004087513156,113,113
KuaiRecLargeStrictPosV2_0.2,test,pure,exposure_minus,80,80,3669,0.021804306350504225,0.7033788379191674,0.6985728124265091,0.6846175988671666,0.7617430505631667,0.7548534788276375,0.42503402504460874,80,80
KuaiRecLargeStrictPosV2_0.2,test,pure,exposure_plus,80,80,3669,0.021804306350504225,0.6678061943426306,0.6599586358695,0.6460631060223333,0.7505420952049999,0.6883813817775417,0.5773426969493924,80,80
