dataset,split,tier,selected_entries,selected_unique_sessions,full_sessions,session_pct_of_split,selection_score_mean,selection_score_median,selection_score_min,selection_score_max,core_score_mean,balance_score_mean,effective_quota_after_cap
KuaiRecLargeStrictPosV2_0.2,test,permissive,904,709,3669,0.19324066503134368,0.6776890919291578,0.6788721598754417,0.473466641323,0.993172525729,0.7135991173467214,0.4846919685096546,113
KuaiRecLargeStrictPosV2_0.2,test,pure,640,594,3669,0.16189697465249386,0.7907437272462194,0.828,0.5495585986651,0.9943829872582,0.8433392818507397,0.5026656896690034,80
KuaiRecLargeStrictPosV2_0.2,valid,permissive,496,449,3669,0.12237666939220496,0.6120363418673522,0.59996137906,0.166,0.9907029101323,0.6651852142953696,0.31500101399065317,62
KuaiRecLargeStrictPosV2_0.2,valid,pure,752,655,3669,0.17852275824475333,0.7252805035935256,0.74103320682885,0.182497979395,0.99439040889,0.8063910952474691,0.2893913647758298,94
beauty,test,permissive,168,150,637,0.23547880690737832,0.592456837746167,0.5811531506190142,0.0468124360677927,0.9712523373310596,0.6677095472400577,0.1660248172807856,24
beauty,test,pure,272,228,637,0.3579277864992151,0.67266782427966,0.6989603300724808,0.1458769887440481,0.9768000811906704,0.7498551049785991,0.23527323365233804,34
beauty,valid,permissive,161,145,636,0.2279874213836478,0.5937051033021327,0.5813420746352431,0.0480849394264453,0.984621077009186,0.6685367751094553,0.16965896306063777,23
beauty,valid,pure,208,195,636,0.30660377358490565,0.6885683543851168,0.6989603300724808,0.1636324393663132,0.9841887390326244,0.7654936902103451,0.25265811804215704,26
foursquare,test,permissive,1024,770,3806,0.2023121387283237,0.7072153187412219,0.7616193608266666,0.275650889385,0.965312359691,0.7657661951974724,0.38642191417884497,128
foursquare,test,pure,1608,1383,3806,0.36337362059905415,0.7689330495078369,0.8225,0.4181480265589999,0.9847165807621,0.8416196219546868,0.3741249863447464,201
foursquare,valid,permissive,1024,746,3805,0.19605781865965835,0.7017160977202238,0.7373286091225,0.2743890561381,0.967215541683,0.762787593821159,0.3704943251801176,128
foursquare,valid,pure,1608,1358,3805,0.3568988173455979,0.7665315609868304,0.8225,0.4176470847309999,0.9790642144541,0.8389870240447758,0.37561156605100277,201
lastfm0.03,test,permissive,104,98,3764,0.026036131774707757,0.7235748664289154,0.7658453757581667,0.35033542701,0.9890687259949,0.7324116998890404,0.687096418786913,13
lastfm0.03,test,pure,1024,882,3764,0.23432518597236981,0.8099629502400076,0.8229238333769999,0.5772093023427001,0.99433352254,0.87916776176333,0.458927736073357,128
lastfm0.03,valid,permissive,104,96,3763,0.025511559925591284,0.7204616566363994,0.7670925909098666,0.30209316009,0.9888092875031,0.7271741870469123,0.6991359634204769,13
lastfm0.03,valid,pure,1128,952,3763,0.2529896359287802,0.8065437836686776,0.8225,0.558571428569,0.99358389766,0.87278917539416,0.4737065039216255,141
movielens1m,test,permissive,1024,823,2181,0.37734983952315454,0.607587132524489,0.6122370895562,0.1247529256933999,0.8614465185341,0.6914694592015618,0.13489356569947392,128
movielens1m,test,pure,3952,2010,2181,0.921595598349381,0.6583976349637601,0.6891582382298667,0.1121596798031,0.9941769746441,0.7338595513380697,0.23080257760215897,494
movielens1m,valid,permissive,1024,852,2181,0.390646492434663,0.5881284083346108,0.6384636263376999,0.1300827026917,0.8815335292441,0.6646041211205671,0.15539680687168228,128
movielens1m,valid,pure,2904,1809,2181,0.8294360385144429,0.6665636276749248,0.7123342679830333,0.1272429083478999,0.9950169773881,0.7426985394221315,0.23514325548167128,363
retail_rocket,test,permissive,1024,817,22964,0.035577425535620974,0.7174469680747098,0.6827884615215833,0.51789011151,0.94787554471,0.7594410701883835,0.5072051471524154,128
retail_rocket,test,pure,10936,8812,22964,0.38373105730708934,0.7814634956111214,0.795,0.560001228991,0.99858101441,0.8844809170240688,0.21349661662588965,1367
retail_rocket,valid,permissive,1024,802,22964,0.03492422922835743,0.7163640321083042,0.6797257505615666,0.5109429513578,0.94900262527,0.7586447422633926,0.5007892836123997,128
retail_rocket,valid,pure,10728,8692,22964,0.378505486848981,0.7811335271392837,0.7945452381601666,0.5433778238968999,0.99737041578,0.8842271973609269,0.21234161442604965,1341
