dataset,split,subset_rows,subset_sessions,full_rows,full_sessions,row_pct_of_split,session_pct_of_split
KuaiRecLargeStrictPosV2_0.2,valid,12318,979,33853,3669,0.36386730865802147,0.26683019896429544
KuaiRecLargeStrictPosV2_0.2,test,6956,1133,14614,3669,0.4759819351306966,0.3088034886890161
lastfm0.03,valid,19801,991,55816,3763,0.3547549089866705,0.26335370714855166
lastfm0.03,test,16476,932,49241,3764,0.33459921610040416,0.24760892667375134
beauty,valid,2043,283,4252,636,0.48047977422389465,0.4449685534591195
beauty,test,1894,324,3468,637,0.5461361014994233,0.5086342229199372
foursquare,valid,8853,1663,15638,3805,0.5661209873385343,0.4370565045992116
foursquare,test,8778,1726,15223,3806,0.5766274715890429,0.4534944823962165
movielens1m,valid,76643,1924,89000,2181,0.8611573033707866,0.8821641448876663
movielens1m,test,74744,2081,79524,2181,0.9398923595392585,0.9541494727189362
retail_rocket,valid,49080,8769,105278,22964,0.46619426660840824,0.3818585612262672
retail_rocket,test,47377,8917,99387,22964,0.47669212271222594,0.38830343145793417
