run_phase,combo,anchor,mode,expert_top_k,dims,layout,merge,group_mode,best_mrr20,best_lr,best_wd,epochs_run,early_stopped,n_completed,max_evals,track_note
R0HGRv4_distill4_C01_L15_D0_weak,C01,-,distill,1,128/16/160/64,15,serial,hybrid,0.095600,1.10e-03,-,34,yes,3,10,L15 serial hybrid
R0HGRv4_distill4_C03_L15_D0_strong,C03,-,distill,1,128/16/160/64,15,serial,hybrid,0.094900,2.80e-03,-,38,yes,9,10,L15 serial hybrid
R0HGRv4_distill4_C01_L15_D0_weak,C01,-,distill,1,128/16/160/64,15,serial,hybrid,0.094600,5.00e-04,-,40,yes,9,10,L15 serial hybrid
R0HGRv4_distill4_C02_L15_D0_main,C02,-,distill,1,128/16/160/64,15,serial,hybrid,0.094500,1.20e-03,-,28,yes,9,10,L15 serial hybrid
R0HGRv4_distill4_C00_L15_D0_off,C00,-,off,1,128/16/160/64,15,serial,hybrid,0.094200,7.00e-04,-,38,yes,10,10,L15 serial hybrid
R0HGRv4_distill4_C03_L15_D0_strong,C03,-,distill,1,128/16/160/64,15,serial,hybrid,0.094200,1.70e-03,-,28,yes,4,10,L15 serial hybrid
R0HGRv4_distill4_C02_L15_D0_main,C02,-,distill,1,128/16/160/64,15,serial,hybrid,0.094100,2.20e-03,-,34,yes,3,10,L15 serial hybrid
R0HGRv4_distill4_C00_L15_D0_off,C00,-,off,1,128/16/160/64,15,serial,hybrid,0.093900,7.00e-04,-,40,no,3,10,L15 serial hybrid
