early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1869,0.161,1
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0259,ok,0.0605,0.0319,2
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.186,0.1605,3
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.188,0.1614,4
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793,ok,0.1864,0.1606,5
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1859,0.1609,6
True,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.188,0.1613,7
True,16,1.0,1.0,0.0,0.3623225729965397,0.0,0.7792714781306562,0.0687113031744957,-0.08027493208646774,0.0,0.0,6.043583659565376e-09,1.0,1.0,2.669416190634724,2.651868953174101,2.669416190634724,0.0,1.0,0.0,1.0,-1.4145761041148699e-11,1.0000000000141458,0.0010201817455123758,0.9989803384629671,0.0010201817643736102,0.9989803384441251,0.0,0.0,7.253777655450662,2.669416190634724,0.6014045779666061,0.08,ok,0.1842,0.1592,8
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1875,0.1613,9
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0795,ok,0.187,0.1612,10
True,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0796,ok,0.1869,0.1613,11
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1889,0.1615,12
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1861,0.161,13
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0795,ok,0.1869,0.1612,14
True,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1857,0.1606,15
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1872,0.1608,16
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1859,0.1609,17
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0789,ok,0.1858,0.1607,18
True,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0795,ok,0.1869,0.1613,19
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793,ok,0.188,0.161,20
