anchor_best_valid_mrr20,anchor_diag_top1_max_frac,anchor_setting_key,anchor_test_mrr20,best_run_phase,best_setting_key,best_test_minus_anchor,best_test_mrr20,best_valid_minus_anchor,best_valid_mrr20,concentration_tag,diag_high_concentration_frac_main,diag_missing_count,main_min_completed,mean_cold_main,mean_diag_cv_main,mean_diag_n_eff_main,mean_diag_top1_main,mean_long_session_main,mean_test_main,mean_valid_main,n_rows_dedup,n_rows_main,phase_title,setting_group,source_phase,special_missing_count,std_test_main,std_valid_main
0.0813,0.1658198479977269,P10-00_FULL,0.1618,P10_18_NO_CATEGORY_S1,P10-18_NO_CATEGORY,-0.003599999999999992,0.1582,0.0007000000000000062,0.082,stable_or_mixed,0.0,0,20,0.11690075911543668,0.6657276978147839,6.2250810031481985,0.5017518071803959,0.16955773966190368,0.1598,0.08145,2,2,Feature Portability / Compactness,availability,P10,0,0.0022627416997969383,0.000777817459305205
0.0813,0.1658198479977269,P10-00_FULL,0.1618,P10_15_TOP2_PER_GROUP_S1,P10-15_TOP2_PER_GROUP,-0.0010000000000000009,0.1608,-0.00010000000000000286,0.0812,stable_or_mixed,0.3333333333333333,0,20,0.1163004362879093,0.9553748801231827,7.224518472301786,0.6380083242536175,0.17043031619728632,0.16063333333333332,0.08093333333333333,3,3,Feature Portability / Compactness,compactness,P10,0,0.0015567059238447449,0.0004618802153516978
0.0813,0.1658198479977269,P10-00_FULL,0.1618,P10_14_FOCUS_MEMORY_EXPOSURE_S1,P10-14_Focus_Memory_Exposure,-0.0030999999999999917,0.1587,0.0011000000000000038,0.0824,stable_or_mixed,0.0,0,20,0.11775407224143826,0.3668958248186467,5.3624516619278095,0.4615031236459664,0.170297193202273,0.16074666666666668,0.0803,15,15,Feature Portability / Compactness,group_subset,P10,0,0.0011012114541116367,0.0008026741021645794
0.0813,0.1658198479977269,P10-00_FULL,0.1618,P10_21_FEATURE_DROPOUT_S1,P10-21_FEATURE_DROPOUT,0.0002999999999999947,0.1621,-0.00019999999999999185,0.0811,stable_or_mixed,0.0,0,20,0.12196968428017396,0.10078024183571536,11.876559426628233,0.21415339387471558,0.17115822196108862,0.16215000000000002,0.081,2,2,Feature Portability / Compactness,stochastic,P10,0,7.071067811866659e-05,0.00014142135623731355
0.0829,1.0,P11-00_MACRO_MID_MICRO,0.1573,P11_A00_H1_S1,P11-00_MACRO_MID_MICRO,0.0,0.1573,0.0,0.0829,stable_or_mixed,0.14285714285714285,0,20,0.11847751486838705,0.6128139012884839,9.284461884917741,0.4041631069599577,0.17034938252247644,0.16074285714285713,0.08009999999999999,7,7,Stage Semantics / Necessity / Granularity,base_ablation,P11,0,0.0015914952537966127,0.0013916417163432086
0.0829,1.0,P11-00_MACRO_MID_MICRO,0.1573,P11_A23_H1_S1,P11-23_LAYER2_MACRO_MID_MICRO,0.004599999999999993,0.1619,-0.0013999999999999985,0.0815,stable_or_mixed,0.0,1,20,0.1167764430849425,0.14505330220182552,11.752717653998058,0.24750373070047677,0.17013011470267025,0.1607,0.0799,2,2,Stage Semantics / Necessity / Granularity,extra_alignment,P11,0,0.0016970562748477038,0.002262741699796958
0.0829,1.0,P11-00_MACRO_MID_MICRO,0.1573,P11_A17_H1_S1,P11-17_MICRO_MACRO_MID,0.0020000000000000018,0.1593,0.0002999999999999947,0.0832,stable_or_mixed,0.2,0,20,0.11863536924880717,0.5033318591670299,9.593222136128167,0.396980537713075,0.170864278318185,0.1612,0.08212,5,5,Stage Semantics / Necessity / Granularity,order_permutation,P11,0,0.0012288205727444493,0.0007120393247567136
0.0829,1.0,P11-00_MACRO_MID_MICRO,0.1573,P11_A07_H1_S1,P11-07_LAYER_MACRO_MID_MICRO,0.004500000000000004,0.1618,-0.001799999999999996,0.0811,stable_or_mixed,0.0,0,20,0.11983100331480909,0.3477351235544737,10.481382615493198,0.328852977001498,0.17044770881838173,0.16117142857142855,0.08009999999999999,7,7,Stage Semantics / Necessity / Granularity,prepend_layer,P11,0,0.0006499084184567516,0.0008602325267042629
0.0829,1.0,P11-00_MACRO_MID_MICRO,0.1573,P11_A20_H1_S1,P11-20_SESSION_TOKEN_TOKEN,0.0030000000000000027,0.1603,-0.0010000000000000009,0.0819,stable_or_mixed,0.0,0,20,0.12048021106794655,0.29280359902275827,10.737090381779998,0.20705107983363424,0.17060943548177346,0.16113333333333332,0.0815,3,3,Stage Semantics / Necessity / Granularity,routing_granularity,P11,0,0.0007371114795832023,0.0003605551275464016
0.0802,0.18300903646130476,P12-00_ATTN_ONESHOT,0.1615,P12_A21_H1_S1,P12-21_BUNDLE_ALL_LEARNED,-0.0022000000000000075,0.1593,-0.0029,0.0773,stable_or_mixed,0.0,0,20,0.12291909301978814,0.2661775244673419,11.173892659155479,0.1968385436359582,0.16908430666021826,0.15913333333333335,0.07703333333333333,3,3,Layout Composition / Attention Placement,bundle_all,P12,0,0.0002081665999466059,0.0003785938897200163
0.0802,0.18300903646130476,P12-00_ATTN_ONESHOT,0.1615,P12_A29_H1_S1,P12-29_BUNDLE_MACROMICRO_THEN_MIDMICRO_SUM,-0.003599999999999992,0.1579,-0.001999999999999988,0.0782,stable_or_mixed,0.0,0,20,0.12092608391119408,0.4041922265445136,10.278920631744198,0.20389676419064495,0.1693574827699736,0.1590625,0.0776375,8,8,Layout Composition / Attention Placement,bundle_chain,P12,0,0.0008501050355271189,0.00032486260832191035
0.0802,0.18300903646130476,P12-00_ATTN_ONESHOT,0.1615,P12_A18_H1_S1,P12-18_BUNDLE_MACROMICRO_LEARNED,9.999999999998899e-05,0.1616,0.0006000000000000033,0.0808,stable_or_mixed,0.0,0,20,0.12236057621560698,0.3092105586951902,10.791892691831807,0.22300279190385172,0.17086928934034062,0.16134444444444443,0.08031111111111111,9,9,Layout Composition / Attention Placement,bundle_pair_then_follow,P12,0,0.0006287112037953323,0.0002666666666666652
0.0802,0.18300903646130476,P12-00_ATTN_ONESHOT,0.1615,P12_A24_H1_S1,P12-24_BUNDLE_MACROMID_ROUTER_CONDITIONED,-0.00040000000000001146,0.1611,0.0003000000000000086,0.0805,stable_or_mixed,0.0,0,20,0.12013898859711578,0.40215308194774874,9.95485958335572,0.25229267485071605,0.16959709608280693,0.15955,0.0786,2,2,Layout Composition / Attention Placement,bundle_router,P12,0,0.0021920310216782916,0.002687005768508879
