alpha_effective,alpha_value,best_valid_mrr20,condition_norm,cv_usage,dataset,dead_expert_frac,entropy_mean,expert_count,expert_similarity_max,expert_similarity_mean,family_count,hparam_id,mode,moe_delta_norm,n_eff,n_slots,residual_delta_norm,route_consistency_feature_group_knn_exposure_js,route_consistency_feature_group_knn_exposure_score,route_consistency_feature_group_knn_focus_js,route_consistency_feature_group_knn_focus_score,route_consistency_feature_group_knn_mean_js,route_consistency_feature_group_knn_mean_score,route_consistency_feature_group_knn_memory_js,route_consistency_feature_group_knn_memory_score,route_consistency_feature_group_knn_tempo_js,route_consistency_feature_group_knn_tempo_score,route_consistency_group_knn_js,route_consistency_group_knn_score,route_consistency_knn_js,route_consistency_knn_score,route_jitter_adjacent,route_jitter_session,run_phase,seed_id,setting_group,setting_key,setting_short,setting_uid,shared_delta_norm,source_axis,source_phase,split,stage_delta_norm,stage_name,test_mrr20,top1_max_frac,usage_share_entropy,usage_share_gini,usage_share_max,usage_share_mean,usage_share_min,usage_share_std
1.0,1.0,0.0806,0.0,0.20453639396077306,KuaiRecLargeStrictPosV2_0.2,0.0,2.2574646869903146,12,0.3199075162410736,0.08948769420385361,4,H1,moe,3.698350046641791,11.51813789869634,12.0,3.698350046641791,0.02096009746105081,0.9792580386719059,0.023217054316467024,0.9770503877518639,0.021182208968820868,0.9790454715901019,0.02441623209523825,0.9758794328699913,0.016135452002527393,0.9839940270666466,0.002541100549443878,0.9974621253135647,0.008086608058635108,0.9919460005992989,0.0,0.0,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,6.870526116930805,phase10_feature_portability_v1,P10,verification,3.698350046641791,macro@1,0.1613,0.41486284222325137,2.46652137072315,0.0880199449020107,0.13570325076580048,0.08333333022892475,0.07072146981954575,0.017802605083236233
1.0,1.0,0.0809,0.0,0.21346176524574265,KuaiRecLargeStrictPosV2_0.2,0.0,2.294398158518973,12,0.29373404383659363,0.09107500314712524,4,H1,moe,3.5008353701347503,11.477039034564754,12.0,3.5008353701347503,0.015064497624235272,0.9850484042723134,0.01844868635579281,0.9817204489531629,0.01656986053693735,0.9835710748699433,0.02025624728832785,0.9799475322331817,0.012510010879393475,0.9875679140211152,0.002149327898646676,0.9978529802526072,0.00621846061574967,0.9938008339954885,0.0,0.0,P10_13_2_AP10_00_H1_S2,2,group_subset,P10-00_FULL,FULL,P10_00,6.8564569008425185,phase10_feature_portability_v1,P10,verification,3.5008353701347503,macro@1,0.1614,0.44558994288168924,2.4650378999306284,0.09067785350953383,0.1384739875793457,0.08333333519597848,0.07098355144262314,0.018579462568210036
1.0,1.0,0.0809,0.0,0.21186922604235334,KuaiRecLargeStrictPosV2_0.2,0.0,2.297604657474713,12,0.29435354471206665,0.09203094244003296,4,H1,moe,3.4834376524510837,11.484479005517297,12.0,3.4834376524510837,0.01455314752516267,0.9855522376780819,0.018081205529091787,0.982081278690278,0.016204787912666028,0.9839302238129126,0.019943695205166197,0.980253864745709,0.012241103391243457,0.9878335141375818,0.002113318155350159,0.9978889133292402,0.006072107846899995,0.9939462901429241,0.0,0.0,P10_13_2_AP10_00_H1_S3,3,group_subset,P10-00_FULL,FULL,P10_00,6.855764463899583,phase10_feature_portability_v1,P10,verification,3.4834376524510837,macro@1,0.1614,0.4454758404982918,2.4652999293071103,0.09058581913510966,0.13799050450325012,0.08333333333333333,0.07106728106737137,0.018440850527116567
1.0,1.0,0.0807,0.0,0.21124320194206214,KuaiRecLargeStrictPosV2_0.2,0.0,2.2732149015964827,12,0.30520468950271606,0.08899954706430435,4,H1,moe,3.615873165642635,11.487386512850737,12.0,3.615873165642635,0.01863971857272411,0.9815329266313653,0.021070320302817296,0.9791501080163818,0.019147800598257193,0.981038767309935,0.022378480005010283,0.9778700607383534,0.01450268351247709,0.9856019738536393,0.0024072688237366234,0.9975956263242591,0.007275559329941305,0.9927508434812972,0.0,0.0,P10_13_2_AP10_00_H1_S4,4,group_subset,P10-00_FULL,FULL,P10_00,6.8626668309292755,phase10_feature_portability_v1,P10,verification,3.615873165642635,macro@1,0.1613,0.4281434647300584,2.46541918746714,0.08927067054515048,0.1377529501914978,0.08333334264655907,0.07068076729774475,0.01838636250658137
1.0,1.0,0.0814,0.0,0.12981948242129437,KuaiRecLargeStrictPosV2_0.2,0.0,2.2288494242863566,12,0.3075515925884247,0.08366383612155914,4,H3,moe,3.736352774692131,11.801115049278975,12.0,3.736352774692131,0.02303332758379865,0.9772299145186861,0.030233937346930872,0.9702185366476105,0.02503160768706778,0.975294254453331,0.0300680824136138,0.9703794655233643,0.0167910834039278,0.9833491011236631,0.004347373209361267,0.995662062938445,0.009532377618154226,0.990512911474888,0.0,0.0,P10_13_2_AP10_00_H3_S1,1,group_subset,P10-00_FULL,FULL,P10_00,7.5090915645931124,phase10_feature_portability_v1,P10,verification,3.736352774692131,macro@1,0.1618,0.21615018558417065,2.4766864628055894,0.07032098372777318,0.10622455924749374,0.08333333333333333,0.07137172669172287,0.011299335832383059
1.0,1.0,0.0814,0.0,0.12882177892858448,KuaiRecLargeStrictPosV2_0.2,0.0,2.2192052646643936,12,0.2880757451057434,0.09685619175434113,4,H3,moe,3.785319599276146,11.804109327849163,12.0,3.785319599276146,0.02351917689136171,0.9767552433600514,0.030988296598115868,0.9694869193046691,0.025802552753482887,0.9745441936078802,0.03144753295518597,0.9690417978794144,0.017255204569268004,0.9828928138873859,0.004935084978152627,0.9950770725460243,0.00967099994655199,0.9903756137852738,0.0,0.0,P10_13_2_AP10_00_H3_S2,2,group_subset,P10-00_FULL,FULL,P10_00,7.487974431893097,phase10_feature_portability_v1,P10,verification,3.785319599276146,macro@1,0.1617,0.15540520888566717,2.4766610189034894,0.07224163429575725,0.09961830824613571,0.08333333457509677,0.06672907620668411,0.011212496847615942
1.0,1.0,0.0813,0.0,0.1318544743402459,KuaiRecLargeStrictPosV2_0.2,0.0,2.2066459228603565,12,0.293867290019989,0.09471099823713303,4,H3,moe,3.8115142183297293,11.794937212997745,12.0,3.8115142183297293,0.02511323870790702,0.9751994754470515,0.03271866790303122,0.9678107975337397,0.02723051821290865,0.9731552322153605,0.03297365006625442,0.9675640545018667,0.018116516174441946,0.9820466013787839,0.0051199186389553515,0.9948931658045265,0.010230344695183843,0.9898218072853476,0.0,0.0,P10_13_2_AP10_00_H3_S3,3,group_subset,P10-00_FULL,FULL,P10_00,7.487377668305997,phase10_feature_portability_v1,P10,verification,3.8115142183297293,macro@1,0.1615,0.1594189280192945,2.4762661612805354,0.07353079983702715,0.09953922778367996,0.08333333705862363,0.0662120133638382,0.011476459336955019
1.0,1.0,0.0813,0.0,0.1538608922403785,KuaiRecLargeStrictPosV2_0.2,0.0,2.211495287263937,12,0.3266150951385498,0.09333693236112595,4,H3,moe,3.9141122423164654,11.722493095603694,12.0,3.9141122423164654,0.02446722080232121,0.9758296753079881,0.0319287485352335,0.9685755920503083,0.02658335032527705,0.9737835330072104,0.0319851419165079,0.9685209723377624,0.017952290047045582,0.9822078923327829,0.004792930896156077,0.9952185368684151,0.010219915840773006,0.9898321300466957,0.0,0.0,P10_13_2_AP10_00_H3_S4,4,group_subset,P10-00_FULL,FULL,P10_00,7.492475673751384,phase10_feature_portability_v1,P10,verification,3.9141122423164654,macro@1,0.1615,0.17510464978398851,2.473197285608913,0.08692996843539014,0.10571947693824768,0.08333332898716132,0.06456287950277328,0.013391871906629422
1.0,1.0,0.08,0.0,0.13247490279451302,KuaiRecLargeStrictPosV2_0.2,0.0,1.7155939102467297,6,0.31042757630348206,0.1195070818066597,4,H1,moe,3.3066838984461526,5.896518262733831,6.0,3.3066838984461526,,,0.0,1.0,0.0008411309895249624,0.9991595761152492,,,0.001682261979049925,0.9983191522304984,0.0005343495922421587,0.9994657931470758,0.0010747149438145329,0.9989258623554614,0.0,0.0,P10_13_2_AP10_06_H1_S1,1,group_subset,P10-06_Tempo_Memory,Tempo_Memory,P10_06,6.344732341220136,phase10_feature_portability_v1,P10,verification,3.3066838984461526,macro@1,0.1618,0.39715012517702647,1.782834778923916,0.0730337677488595,0.19614608585834503,0.1666666716337204,0.13562187552452087,0.024186498525508814
1.0,1.0,0.08,0.0,0.13297415128427292,KuaiRecLargeStrictPosV2_0.2,0.0,1.7125228204766796,6,0.3163318336009979,0.1206529438495636,4,H1,moe,3.3201401787715574,5.895750542363762,6.0,3.3201401787715574,,,0.0,1.0,0.0009069713847834967,0.9990938507151534,,,0.0018139427695669935,0.9981877014303069,0.0005505545331320112,0.9994495969942057,0.0011298133693071592,0.9988708246295217,0.0,0.0,P10_13_2_AP10_06_H1_S2,2,group_subset,P10-06_Tempo_Memory,Tempo_Memory,P10_06,6.346623723531196,phase10_feature_portability_v1,P10,verification,3.3201401787715574,macro@1,0.1618,0.39313640604339917,1.7827620744131194,0.07315249244372035,0.19602234661579132,0.16666666666666666,0.1356004774570465,0.024277648249421076
