dataset,model,job_id,gpu_id,status,valid_mrr20,test_mrr20,valid_hr10,test_hr10,valid_ndcg10,test_ndcg10,result_path,log_path,elapsed_sec,error,timestamp_utc
KuaiRec,gru4rec,KuaiRec_gru4rec,1,ok,0.0118,0.1467,0.0262,0.1818,0.0141,0.154,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_GRU4Rec_p0_20260508_082941_359348_pid651360.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_gru4rec.log,4599.6,,2026-05-08T09:46:16Z
KuaiRec,tisasrec,KuaiRec_tisasrec,2,ok,0.0157,0.2711,0.0305,0.3326,0.0181,0.2847,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_TiSASRec_p0_20260508_082940_631204_pid651361.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_tisasrec.log,5170.1,,2026-05-08T09:55:47Z
KuaiRec,sasrec,KuaiRec_sasrec,0,ok,0.0151,0.2629,0.0303,0.3234,0.0177,0.2758,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_SASRec_p0_20260508_082940_874486_pid651359.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_sasrec.log,18218.0,,2026-05-08T13:33:15Z
KuaiRec,gru4rec,KuaiRec_gru4rec,1,ok,0.0118,0.1467,0.0262,0.1818,0.0141,0.154,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_GRU4Rec_p0_20260508_124137_811806_pid665793.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_gru4rec.log,7807.7,,2026-05-08T14:51:41Z
KuaiRec,tisasrec,KuaiRec_tisasrec,2,ok,0.0157,0.2711,0.0305,0.3326,0.0181,0.2847,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_TiSASRec_p0_20260508_124137_580504_pid665794.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_tisasrec.log,10405.2,,2026-05-08T15:34:58Z
KuaiRec,duorec,KuaiRec_duorec,1,ok,0.0164,0.3529,0.0297,0.3811,0.0185,0.359,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_DuoRec_p0_20260508_094620_977959_pid656692.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_duorec.log,30890.3,,2026-05-08T18:21:06Z
KuaiRec,bsarec,KuaiRec_bsarec,2,ok,0.0131,0.3296,0.0276,0.3625,0.0154,0.3366,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_BSARec_p0_20260508_095551_353543_pid657122.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_bsarec.log,32537.1,,2026-05-08T18:58:04Z
KuaiRec,sasrec,KuaiRec_sasrec,0,ok,0.0151,0.2629,0.0303,0.3234,0.0177,0.2758,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_SASRec_p0_20260508_124137_950805_pid665792.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_sasrec.log,28613.1,,2026-05-08T20:38:26Z
KuaiRec,difsr,KuaiRec_difsr,1,ok,0.0145,0.2611,0.0313,0.316,0.0174,0.2731,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_DIFSR_p0_20260508_182111_016813_pid682217.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_difsr.log,10330.2,,2026-05-08T21:13:17Z
KuaiRec,fdsa,KuaiRec_fdsa,1,completed,0.0,0.0,0.0,0.0,0.0,0.0,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_FDSA_p0_20260508_211321_316730_pid687647.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_fdsa.log,130.1,,2026-05-08T21:15:27Z
KuaiRec,duorec,KuaiRec_duorec,1,ok,0.0164,0.3529,0.0297,0.3811,0.0185,0.359,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_DuoRec_p0_20260508_145145_681189_pid673027.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_duorec.log,35324.8,,2026-05-09T00:40:25Z
KuaiRec,difsr,KuaiRec_difsr,1,ok,0.0145,0.2611,0.0313,0.316,0.0174,0.2731,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_DIFSR_p0_20260509_004030_234561_pid695145.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_difsr.log,10190.0,,2026-05-09T03:30:15Z
KuaiRec,bsarec,KuaiRec_bsarec,2,ok,0.0131,0.3296,0.0276,0.3625,0.0154,0.3366,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_BSARec_p0_20260508_153503_001352_pid675018.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_bsarec.log,44153.2,,2026-05-09T03:50:51Z
KuaiRec,fdsa,KuaiRec_fdsa,2,completed,0.0,0.0,0.0,0.0,0.0,0.0,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_FDSA_p0_20260509_035055_753230_pid701649.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_fdsa.log,130.1,,2026-05-09T03:53:01Z
KuaiRec,fearec,KuaiRec_fearec,0,ok,0.0155,0.2777,0.0285,0.3308,0.0177,0.2895,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_FEARec_p0_20260508_133320_079630_pid668896.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_fearec.log,59473.3,,2026-05-09T06:04:28Z
lastfm,gru4rec,lastfm_gru4rec,0,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_gru4rec.log,405.4,rc=-9,2026-05-09T06:11:13Z
lastfm,tisasrec,lastfm_tisasrec,0,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_tisasrec.log,390.4,rc=-9,2026-05-09T06:17:44Z
lastfm,duorec,lastfm_duorec,0,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_duorec.log,375.4,rc=-9,2026-05-09T06:23:59Z
KuaiRec,fame,KuaiRec_fame,2,ok,0.0152,0.3458,0.0301,0.3783,0.0177,0.3529,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_FAME_p0_20260508_185808_098610_pid683386.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/KuaiRec_fame.log,41455.7,,2026-05-09T06:28:59Z
lastfm,bsarec,lastfm_bsarec,0,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_bsarec.log,431.0,rc=-9,2026-05-09T06:31:10Z
lastfm,fearec,lastfm_fearec,2,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_fearec.log,484.4,rc=-9,2026-05-09T06:37:04Z
lastfm,difsr,lastfm_difsr,0,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_difsr.log,573.5,rc=-9,2026-05-09T06:40:44Z
lastfm,fame,lastfm_fame,2,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_fame.log,425.2,rc=-9,2026-05-09T06:44:09Z
lastfm,fdsa,lastfm_fdsa,0,completed,0.0,0.0,0.0,0.0,0.0,0.0,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/lastfm_FDSA_p0_20260509_064053_736929_pid707014.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_main_baselines/lastfm_fdsa.log,751.0,,2026-05-09T06:53:15Z
