dataset,model,job_id,gpu_id,status,valid_mrr20,test_mrr20,valid_hr10,test_hr10,valid_ndcg10,test_ndcg10,result_path,log_path,elapsed_sec,error,timestamp_utc
lastfm,gru4rec,lastfm_gru4rec,2,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_resume_safe_parallel/lastfm_gru4rec.log,424.0,rc=-9,2026-05-09T15:42:10Z
lastfm,sasrec,lastfm_sasrec,1,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_resume_safe_parallel/lastfm_sasrec.log,533.0,rc=-9,2026-05-09T15:43:59Z
lastfm,tisasrec,lastfm_tisasrec,3,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_resume_safe_parallel/lastfm_tisasrec.log,533.0,rc=-9,2026-05-09T15:43:59Z
KuaiRec,fdsa,KuaiRec_fdsa,0,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_resume_safe_parallel/KuaiRec_fdsa.log,773.9,rc=-9,2026-05-09T15:48:00Z
lastfm,bsarec,lastfm_bsarec,1,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_resume_safe_parallel/lastfm_bsarec.log,240.9,rc=-9,2026-05-09T15:48:00Z
lastfm,duorec,lastfm_duorec,2,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_resume_safe_parallel/lastfm_duorec.log,350.0,rc=-9,2026-05-09T15:48:00Z
lastfm,fearec,lastfm_fearec,3,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_resume_safe_parallel/lastfm_fearec.log,240.9,rc=-9,2026-05-09T15:48:00Z
lastfm,fame,lastfm_fame,1,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_resume_safe_parallel/lastfm_fame.log,400.7,rc=-9,2026-05-09T15:54:41Z
lastfm,fdsa,lastfm_fdsa,2,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_resume_safe_parallel/lastfm_fdsa.log,559.4,rc=-9,2026-05-09T15:57:20Z
lastfm,featured_moe_n3,lastfm_featured_moe_n3,3,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_resume_safe_parallel/lastfm_featured_moe_n3.log,850.0,rc=-9,2026-05-09T16:02:10Z
lastfm,difsr,lastfm_difsr,0,error,,,,,,,,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_resume_safe_parallel/lastfm_difsr.log,28018.6,rc=-9,2026-05-09T23:34:59Z
KuaiRec,fdsa,KuaiRec_fdsa,0,ok,0.0147,0.2992,0.0301,0.3469,0.0172,0.3096,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_FDSA_p0_resume_20260510_020225_599914_pid762411.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_resume_safe_parallel/KuaiRec_fdsa.log,2432.4,,2026-05-10T02:42:54Z
lastfm,gru4rec,lastfm_gru4rec,2,ok,0.377,0.3788,0.4468,0.4485,0.392,0.3938,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/lastfm_GRU4Rec_p0_resume_20260510_020225_568862_pid762413.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_resume_safe_parallel/lastfm_gru4rec.log,8893.8,,2026-05-10T04:30:35Z
lastfm,sasrec,lastfm_sasrec,1,ok,0.4247,0.4267,0.5016,0.5039,0.4413,0.4434,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/lastfm_SASRec_p0_resume_20260510_020225_745902_pid762412.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_resume_safe_parallel/lastfm_sasrec.log,14229.1,,2026-05-10T05:59:30Z
lastfm,tisasrec,lastfm_tisasrec,3,ok,0.4193,0.4222,0.4969,0.4994,0.4361,0.4389,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/lastfm_TiSASRec_p0_resume_20260510_020226_185496_pid762414.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_resume_safe_parallel/lastfm_tisasrec.log,19959.5,,2026-05-10T07:35:01Z
lastfm,duorec,lastfm_duorec,0,ok,0.4411,0.4441,0.5268,0.5276,0.4596,0.4621,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/lastfm_DuoRec_p0_resume_20260510_024258_045159_pid764176.json,/workspace/FeaturedMoE/experiments/run/CIKM/logs/cikm_resume_safe_parallel/lastfm_duorec.log,26260.6,,2026-05-10T10:00:34Z
