dataset,model,rank,enabled,tag,result_json,notes,config_rank,seed_count,mean_valid_score,mean_test_score,routing_mode,rank_total,rank_topk,rank_dense,use_for_default,use_for_topk_ablation,source_run_phase
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,true,kuaireclargestrictposv2_0_2_top01_rfmoe,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,auto top1 by test_mean from rfmoe orig_model=FeaturedMoE_N3 test_mrr20=0.342300,1,1,0.026737916365,0.353445793798,dense,1,,1,true,false,S2_KUAIRECLARGESTRICTPOSV2_0_2_FEATURED_MOE_N3_R13
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,true,kuaireclargestrictposv2_0_2_top02_rfmoe,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,auto top2 by test_mean from rfmoe orig_model=FeaturedMoE_N3 test_mrr20=0.342200,2,1,0.025380050339,0.352400000000,dense,2,,2,true,false,S1_KUAIRECLARGESTRICTPOSV2_0_2_FEATURED_MOE_N3_R19
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,true,kuaireclargestrictposv2_0_2_top03_rfmoe,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json,auto top3 by test_mean from rfmoe orig_model=FeaturedMoE_N3 test_mrr20=0.343400,3,1,0.026628984467,0.351966666667,dense,3,,3,true,false,S1_KUAIRECLARGESTRICTPOSV2_0_2_FEATURED_MOE_N3_R05
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,4,true,kuaireclargestrictposv2_0_2_top04_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s3_kuaireclargestrictposv2_0_2_topk_g4k2_c2_seed1_20260419_121502_896905_pid395277.json,auto top4 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.342300,4,1,0.025866666667,0.351692223865,topk,4,1,,true,true,S3_KUAIRECLARGESTRICTPOSV2_0_2_TOPK_G4K2_C2_SEED1
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,5,true,kuaireclargestrictposv2_0_2_top05_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s3_kuaireclargestrictposv2_0_2_topk_g4k2_c2_seed3_20260419_121532_071633_pid395659.json,auto top5 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.342300,5,1,0.025866666667,0.351692223865,topk,5,2,,true,true,S3_KUAIRECLARGESTRICTPOSV2_0_2_TOPK_G4K2_C2_SEED3
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,6,true,kuaireclargestrictposv2_0_2_top06_rfmoe,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r24_20260418_101241_775972_pid115122.json,auto top6 by test_mean from rfmoe orig_model=FeaturedMoE_N3 test_mrr20=0.341900,6,1,0.027700000000,0.351611111111,dense,6,,4,true,false,S1_KUAIRECLARGESTRICTPOSV2_0_2_FEATURED_MOE_N3_R24
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,7,true,kuaireclargestrictposv2_0_2_top07_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s3_kuaireclargestrictposv2_0_2_topk_g4k2_c2_seed2_20260419_121529_503289_pid395586.json,auto top7 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.342300,7,1,0.025900000000,0.351511111111,topk,7,3,,true,true,S3_KUAIRECLARGESTRICTPOSV2_0_2_TOPK_G4K2_C2_SEED2
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,8,true,kuaireclargestrictposv2_0_2_top08_rfmoe,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r16_20260418_090610_526723_pid103806.json,auto top8 by test_mean from rfmoe orig_model=FeaturedMoE_N3 test_mrr20=0.340600,8,1,0.027566666667,0.350877777778,dense,8,,5,true,false,S1_KUAIRECLARGESTRICTPOSV2_0_2_FEATURED_MOE_N3_R16
beauty,featured_moe_n3,1,true,beauty_top01_rfmoe,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json,auto top1 by test_mean from rfmoe orig_model=FeaturedMoE_N3 test_mrr20=0.080100,1,1,0.107522222222,0.111622222222,dense,1,,1,true,false,S1_BEAUTY_FEATURED_MOE_N3_R04
beauty,featured_moe_n3,2,true,beauty_top02_rfmoe,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r23_20260418_045819_003908_pid58490.json,auto top2 by test_mean from rfmoe orig_model=FeaturedMoE_N3 test_mrr20=0.079000,2,1,0.125640130380,0.107400391636,dense,2,,2,true,false,S1_BEAUTY_FEATURED_MOE_N3_R23
