dataset,model,rank,enabled,tag,result_json,notes,config_rank,seed_count,mean_valid_score,mean_test_score,routing_mode,rank_total,rank_topk,rank_dense,use_for_default,use_for_topk_ablation,source_run_phase
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,true,kuaireclargestrictposv2_0_2_top04_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s3_kuaireclargestrictposv2_0_2_topk_g4k2_c2_seed1_20260419_121502_896905_pid395277.json,auto top4 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.342300,1,1,0.025866666667,0.351692223865,topk,4,1,,true,true,S3_KUAIRECLARGESTRICTPOSV2_0_2_TOPK_G4K2_C2_SEED1
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,true,kuaireclargestrictposv2_0_2_top05_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s3_kuaireclargestrictposv2_0_2_topk_g4k2_c2_seed3_20260419_121532_071633_pid395659.json,auto top5 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.342300,2,1,0.025866666667,0.351692223865,topk,5,2,,true,true,S3_KUAIRECLARGESTRICTPOSV2_0_2_TOPK_G4K2_C2_SEED3
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,true,kuaireclargestrictposv2_0_2_top07_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s3_kuaireclargestrictposv2_0_2_topk_g4k2_c2_seed2_20260419_121529_503289_pid395586.json,auto top7 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.342300,3,1,0.025900000000,0.351511111111,topk,7,3,,true,true,S3_KUAIRECLARGESTRICTPOSV2_0_2_TOPK_G4K2_C2_SEED2
foursquare,featured_moe_n3,1,true,foursquare_top04_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/foursquare_FeaturedMoE_N3_s2_foursquare_topk_g4k2_20260419_111743_434154_pid377519.json,auto top4 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.167700,1,1,0.268420044851,0.226376934507,topk,4,1,,true,true,S2_FOURSQUARE_TOPK_G4K2
foursquare,featured_moe_n3,2,true,foursquare_top05_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/foursquare_FeaturedMoE_N3_s2_foursquare_topk_g4k2_20260419_112103_871284_pid378910.json,auto top5 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.167700,2,1,0.268420044851,0.226376934507,topk,5,2,,true,true,S2_FOURSQUARE_TOPK_G4K2
foursquare,featured_moe_n3,3,true,foursquare_top06_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/foursquare_FeaturedMoE_N3_s3_foursquare_topk_g4k2_c1_seed1_20260419_120939_867765_pid392614.json,auto top6 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.167700,3,1,0.267882166372,0.226325334439,topk,6,3,,true,true,S3_FOURSQUARE_TOPK_G4K2_C1_SEED1
foursquare,featured_moe_n3,4,true,foursquare_top07_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/foursquare_FeaturedMoE_N3_s3_foursquare_topk_g4k2_c1_seed2_20260419_120944_187298_pid392699.json,auto top7 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.167700,4,1,0.267882166372,0.226325334439,topk,7,4,,true,true,S3_FOURSQUARE_TOPK_G4K2_C1_SEED2
foursquare,featured_moe_n3,5,true,foursquare_top08_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/foursquare_FeaturedMoE_N3_s3_foursquare_topk_g4k2_c1_seed3_20260419_121150_512754_pid393508.json,auto top8 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.167700,5,1,0.267882166372,0.226325334439,topk,8,5,,true,true,S3_FOURSQUARE_TOPK_G4K2_C1_SEED3
lastfm0.03,featured_moe_n3,1,true,lastfm0_03_top04_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/lastfm0.03_FeaturedMoE_N3_s3_lastfm0_03_topk_g3k2_c2_seed1_20260419_121747_135983_pid396501.json,auto top4 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.309900,1,1,0.339217446567,0.344245828604,topk,4,1,,true,true,S3_LASTFM0_03_TOPK_G3K2_C2_SEED1
lastfm0.03,featured_moe_n3,2,true,lastfm0_03_top05_23090_results,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_topk/lastfm0.03_FeaturedMoE_N3_s3_lastfm0_03_topk_g3k2_c2_seed1_20260419_121855_834263_pid397244.json,auto top5 by test_mean from 23090_results orig_model=FeaturedMoE_N3 test_mrr20=0.309900,2,1,0.339217446567,0.344245828604,topk,5,2,,true,true,S3_LASTFM0_03_TOPK_G3K2_C2_SEED1
