dataset,model,rank,enabled,tag,result_json,notes,config_rank,seed_count,mean_valid_score,mean_test_score,routing_mode,rank_total,rank_topk,rank_dense,use_for_default,use_for_topk_ablation,source_run_phase
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,true,kuaireclargestrictposv2_0_2_top01_rfmoe,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,auto top1 by test_mean from rfmoe orig_model=FeaturedMoE_N3 test_mrr20=0.342300,1,1,0.026737916365,0.353445793798,dense,1,,1,true,false,S2_KUAIRECLARGESTRICTPOSV2_0_2_FEATURED_MOE_N3_R13
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,2,true,kuaireclargestrictposv2_0_2_top02_rfmoe,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,auto top2 by test_mean from rfmoe orig_model=FeaturedMoE_N3 test_mrr20=0.342200,2,1,0.025380050339,0.352400000000,dense,2,,2,true,false,S1_KUAIRECLARGESTRICTPOSV2_0_2_FEATURED_MOE_N3_R19
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,3,true,kuaireclargestrictposv2_0_2_top03_rfmoe,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json,auto top3 by test_mean from rfmoe orig_model=FeaturedMoE_N3 test_mrr20=0.343400,3,1,0.026628984467,0.351966666667,dense,3,,3,true,false,S1_KUAIRECLARGESTRICTPOSV2_0_2_FEATURED_MOE_N3_R05
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,4,true,kuaireclargestrictposv2_0_2_top06_rfmoe,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r24_20260418_101241_775972_pid115122.json,auto top6 by test_mean from rfmoe orig_model=FeaturedMoE_N3 test_mrr20=0.341900,4,1,0.027700000000,0.351611111111,dense,6,,4,true,false,S1_KUAIRECLARGESTRICTPOSV2_0_2_FEATURED_MOE_N3_R24
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,5,true,kuaireclargestrictposv2_0_2_top08_rfmoe,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r16_20260418_090610_526723_pid103806.json,auto top8 by test_mean from rfmoe orig_model=FeaturedMoE_N3 test_mrr20=0.340600,5,1,0.027566666667,0.350877777778,dense,8,,5,true,false,S1_KUAIRECLARGESTRICTPOSV2_0_2_FEATURED_MOE_N3_R16
amazon_beauty,featured_moe_n3,1,true,amazon_beauty_top01_fmoe_n4,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/amazon_beauty_FeaturedMoE_N3_p4xd_xd_amazon_beauty_a15_t06_midaux_h3_s1_20260416_004005_211275_pid196547.json,auto top1 by test_mean from fmoe_n4 orig_model=FeaturedMoE_N3 test_mrr20=0.078900,1,1,0.096055555556,0.078947368421,dense,1,,1,true,false,P4XD_XD_AMAZON_BEAUTY_A15_T06_MIDAUX_H3_S1
amazon_beauty,featured_moe_n3,2,true,amazon_beauty_top02_fmoe_n4,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/amazon_beauty_FeaturedMoE_N3_p4xd_xd_amazon_beauty_a16_t16_widerexpert_h7_s1_20260416_004005_175176_pid196548.json,auto top2 by test_mean from fmoe_n4 orig_model=FeaturedMoE_N3 test_mrr20=0.002700,2,1,0.077652181162,0.015561820180,dense,2,,2,true,false,P4XD_XD_AMAZON_BEAUTY_A16_T16_WIDEREXPERT_H7_S1
amazon_beauty,featured_moe_n3,3,true,amazon_beauty_top03_fmoe_n4,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/amazon_beauty_FeaturedMoE_N3_p4xd_xd_amazon_beauty_a14_t15_depthcap_h11_s1_20260416_004005_211896_pid196546.json,auto top3 by test_mean from fmoe_n4 orig_model=FeaturedMoE_N3 test_mrr20=0.000700,3,1,0.083522951030,0.004063786019,dense,3,,3,true,false,P4XD_XD_AMAZON_BEAUTY_A14_T15_DEPTHCAP_H11_S1
beauty,featured_moe_n3,1,true,beauty_top01_rfmoe,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json,auto top1 by test_mean from rfmoe orig_model=FeaturedMoE_N3 test_mrr20=0.080100,1,1,0.107522222222,0.111622222222,dense,1,,1,true,false,S1_BEAUTY_FEATURED_MOE_N3_R04
beauty,featured_moe_n3,2,true,beauty_top02_rfmoe,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r23_20260418_045819_003908_pid58490.json,auto top2 by test_mean from rfmoe orig_model=FeaturedMoE_N3 test_mrr20=0.079000,2,1,0.125640130380,0.107400391636,dense,2,,2,true,false,S1_BEAUTY_FEATURED_MOE_N3_R23
