global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,phase_id,axis_id,axis_desc,setting_id,setting_key,setting_desc,setting_group,setting_detail,hparam_id,run_id
0.075600,0.075600,P13_A03_H1_S1,P13-03_EVAL_ALL_SHUFFLE | eval_perturb | Eval-only shuffle all families,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,3,running,0.153100,,,,,,2026-03-24T10:44:58.812139Z,P13,A,feature_sanity,03,P13-03_EVAL_ALL_SHUFFLE,EVAL_ALL_SHUFFLE,eval_perturb,Eval-only shuffle all families,1,A03_H1_S1
0.081000,0.081000,P13_A00_H1_S1,P13-00_FULL_DATA | data_condition | Clean full feature setup,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,0,running,0.161700,,,,,,2026-03-24T10:53:29.416664Z,P13,A,feature_sanity,00,P13-00_FULL_DATA,FULL_DATA,data_condition,Clean full feature setup,1,A00_H1_S1
0.081100,0.081100,P13_A00_H1_S1,P13-00_FULL_DATA | data_condition | Clean full feature setup,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,0,running,0.161900,,,,,,2026-03-24T11:00:38.935940Z,P13,A,feature_sanity,00,P13-00_FULL_DATA,FULL_DATA,data_condition,Clean full feature setup,1,A00_H1_S1
0.081200,0.081200,P13_A00_H1_S1,P13-00_FULL_DATA | data_condition | Clean full feature setup,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,0,running,0.161500,,,,,,2026-03-24T11:12:21.786820Z,P13,A,feature_sanity,00,P13-00_FULL_DATA,FULL_DATA,data_condition,Clean full feature setup,1,A00_H1_S1
0.081200,0.079500,P13_A07_H1_S1,P13-07_EVAL_SHUFFLE_EXPOSURE | eval_perturb | Eval-only shuffle Exposure family,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,7,run_complete,0.161000,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p13_a07_h1_s1_20260324_104132_380729_pid32321.json,2026-03-24T11:56:10.398259Z,P13,A,feature_sanity,07,P13-07_EVAL_SHUFFLE_EXPOSURE,EVAL_SHUFFLE_EXPOSURE,eval_perturb,Eval-only shuffle Exposure family,1,A07_H1_S1
0.081200,0.079900,P13_A06_H1_S1,P13-06_EVAL_SHUFFLE_MEMORY | eval_perturb | Eval-only shuffle Memory family,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,6,run_complete,0.158500,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p13_a06_h1_s1_20260324_104132_420931_pid32320.json,2026-03-24T12:12:57.533312Z,P13,A,feature_sanity,06,P13-06_EVAL_SHUFFLE_MEMORY,EVAL_SHUFFLE_MEMORY,eval_perturb,Eval-only shuffle Memory family,1,A06_H1_S1
0.081200,0.077600,P13_A02_H1_S1,P13-02_EVAL_ALL_ZERO | eval_perturb | Eval-only zero all families,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,run_complete,0.159800,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p13_a02_h1_s1_20260324_104132_368179_pid32316.json,2026-03-24T12:16:01.224573Z,P13,A,feature_sanity,02,P13-02_EVAL_ALL_ZERO,EVAL_ALL_ZERO,eval_perturb,Eval-only zero all families,1,A02_H1_S1
0.081300,0.077000,P13_A03_H1_S1,P13-03_EVAL_ALL_SHUFFLE | eval_perturb | Eval-only shuffle all families,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,run_complete,0.155600,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p13_a03_h1_s1_20260324_104132_399041_pid32317.json,2026-03-24T12:25:35.369433Z,P13,A,feature_sanity,03,P13-03_EVAL_ALL_SHUFFLE,EVAL_ALL_SHUFFLE,eval_perturb,Eval-only shuffle all families,1,A03_H1_S1
0.081300,0.081200,P13_A00_H1_S1,P13-00_FULL_DATA | data_condition | Clean full feature setup,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,run_complete,0.161500,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p13_a00_h1_s1_20260324_104132_366789_pid32314.json,2026-03-24T12:25:53.841821Z,P13,A,feature_sanity,00,P13-00_FULL_DATA,FULL_DATA,data_condition,Clean full feature setup,1,A00_H1_S1
0.081300,0.080500,P13_A04_H1_S1,P13-04_EVAL_SHUFFLE_TEMPO | eval_perturb | Eval-only shuffle Tempo family,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.161400,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p13_a04_h1_s1_20260324_104132_380844_pid32318.json,2026-03-24T12:26:15.405460Z,P13,A,feature_sanity,04,P13-04_EVAL_SHUFFLE_TEMPO,EVAL_SHUFFLE_TEMPO,eval_perturb,Eval-only shuffle Tempo family,1,A04_H1_S1
0.081300,0.080700,P13_A05_H1_S1,P13-05_EVAL_SHUFFLE_FOCUS | eval_perturb | Eval-only shuffle Focus family,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,5,run_complete,0.161600,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p13_a05_h1_s1_20260324_104132_456903_pid32319.json,2026-03-24T12:32:49.350441Z,P13,A,feature_sanity,05,P13-05_EVAL_SHUFFLE_FOCUS,EVAL_SHUFFLE_FOCUS,eval_perturb,Eval-only shuffle Focus family,1,A05_H1_S1
0.081400,0.081000,P13_A15_H1_S1,P13-15_STAGE_MISMATCH_ASSIGN | semantic_mismatch | Stage mismatch assignment,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,7,run_complete,0.161700,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p13_a15_h1_s1_20260324_115617_963829_pid35337.json,2026-03-24T13:33:39.275328Z,P13,A,feature_sanity,15,P13-15_STAGE_MISMATCH_ASSIGN,STAGE_MISMATCH_ASSIGN,semantic_mismatch,Stage mismatch assignment,1,A15_H1_S1
0.081400,0.079000,P13_A08_H1_S1,P13-08_TRAIN_GLOBAL_PERMUTE_ALL | train_corruption | Train-only global permutation,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,run_complete,0.160500,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p13_a08_h1_s1_20260324_122600_862146_pid36654.json,2026-03-24T13:52:41.091125Z,P13,A,feature_sanity,08,P13-08_TRAIN_GLOBAL_PERMUTE_ALL,TRAIN_GLOBAL_PERMUTE_ALL,train_corruption,Train-only global permutation,1,A08_H1_S1
0.081400,0.081100,P13_A10_H1_S1,P13-10_TRAIN_PERMUTE_TEMPO | train_corruption | Train-only family permutation Tempo,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,run_complete,0.162000,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p13_a10_h1_s1_20260324_121608_457208_pid36199.json,2026-03-24T13:54:47.736631Z,P13,A,feature_sanity,10,P13-10_TRAIN_PERMUTE_TEMPO,TRAIN_PERMUTE_TEMPO,train_corruption,Train-only family permutation Tempo,1,A10_H1_S1
0.081400,0.081100,P13_A11_H1_S1,P13-11_TRAIN_PERMUTE_FOCUS | train_corruption | Train-only family permutation Focus,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,run_complete,0.161900,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p13_a11_h1_s1_20260324_122542_268646_pid36582.json,2026-03-24T14:01:12.685384Z,P13,A,feature_sanity,11,P13-11_TRAIN_PERMUTE_FOCUS,TRAIN_PERMUTE_FOCUS,train_corruption,Train-only family permutation Focus,1,A11_H1_S1
0.081400,0.080600,P13_A13_H1_S1,P13-13_TRAIN_PERMUTE_EXPOSURE | train_corruption | Train-only family permutation Exposure,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,5,run_complete,0.161800,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p13_a13_h1_s1_20260324_123256_544047_pid37235.json,2026-03-24T14:03:13.309656Z,P13,A,feature_sanity,13,P13-13_TRAIN_PERMUTE_EXPOSURE,TRAIN_PERMUTE_EXPOSURE,train_corruption,Train-only family permutation Exposure,1,A13_H1_S1
0.081400,0.081000,P13_A12_H1_S1,P13-12_TRAIN_PERMUTE_MEMORY | train_corruption | Train-only family permutation Memory,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.161700,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p13_a12_h1_s1_20260324_122622_553184_pid36767.json,2026-03-24T14:09:14.757697Z,P13,A,feature_sanity,12,P13-12_TRAIN_PERMUTE_MEMORY,TRAIN_PERMUTE_MEMORY,train_corruption,Train-only family permutation Memory,1,A12_H1_S1
0.081400,0.078600,P13_A20_H1_S1,P13-20_EVAL_ZERO_EXPOSURE | eval_perturb_extra | Eval-only zero Exposure family,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.160200,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p13_a20_h1_s1_20260325_010957_117280_pid62327.json,2026-03-25T02:33:05.823711Z,P13,A,feature_sanity,20,P13-20_EVAL_ZERO_EXPOSURE,EVAL_ZERO_EXPOSURE,eval_perturb_extra,Eval-only zero Exposure family,1,A20_H1_S1
0.081400,0.080900,P13_A22_H1_S1,P13-22_TRAIN_POSITION_SHIFT_PLUS2 | train_shift_extra | Train-only position shift +2,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,6,run_complete,0.161400,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p13_a22_h1_s1_20260325_010957_209692_pid62329.json,2026-03-25T02:36:12.542430Z,P13,A,feature_sanity,22,P13-22_TRAIN_POSITION_SHIFT_PLUS2,TRAIN_POSITION_SHIFT_PLUS2,train_shift_extra,Train-only position shift +2,1,A22_H1_S1
