avg_epoch_time_sec,early_stopped,epochs_run,mrr@20,status,test_hr@10,test_inference_time_sec,test_mrr@20,trial
29.76460372550147,True,56,0.086,ok,0.1445,0.18903398513793945,0.0575,1
27.668359508514403,True,25,0.0893,ok,0.1431,0.20009994506835938,0.0552,2
36.06545377629144,True,28,0.0866,ok,0.1417,0.21956157684326172,0.0521,3
27.101474404335022,True,28,0.0852,ok,0.1375,0.21402907371520996,0.0548,4
27.028737938681314,True,43,0.0875,ok,0.1343,0.1790318489074707,0.055,5
26.94241284132004,True,40,0.0863,ok,0.131,0.201369047164917,0.0504,6
30.710981669249357,True,54,0.0867,ok,0.1389,0.19076085090637207,0.0502,7
28.574640295084784,True,34,0.0858,ok,0.1515,0.17940616607666016,0.0604,8
28.161513137817384,True,45,0.086,ok,0.1273,0.18795251846313477,0.0483,9
29.878473449260632,True,47,0.0834,ok,0.1431,0.1827085018157959,0.0548,10
