early_stopped,epochs_run,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.n_eff,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.stage_delta_norm,macro_1.top1_max_frac,micro_1.condition_norm,micro_1.cv_usage,micro_1.dead_expert_frac,micro_1.entropy_mean,micro_1.expert_similarity_max,micro_1.expert_similarity_mean,micro_1.n_eff,micro_1.route_jitter_adjacent,micro_1.route_jitter_session,micro_1.stage_delta_norm,micro_1.top1_max_frac,mid_1.condition_norm,mid_1.cv_usage,mid_1.dead_expert_frac,mid_1.entropy_mean,mid_1.expert_similarity_max,mid_1.expert_similarity_mean,mid_1.n_eff,mid_1.route_jitter_adjacent,mid_1.route_jitter_session,mid_1.stage_delta_norm,mid_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0659,ok,0.15,0.1424,1
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0658,ok,0.1491,0.1392,2
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0658,ok,0.1499,0.1422,3
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0796,ok,0.1862,0.1609,4
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0796,ok,0.1864,0.1609,5
True,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0797,ok,0.1886,0.1618,6
True,34,0.0,0.365443390147585,0.0,1.6239261891642727,0.6050648093223572,0.3530346155166626,10.586221588780402,0.0,0.0,2.5756294169611307,0.23804665668830138,0.0,0.5524710252144627,0.0,1.5497704091549265,0.7000011205673218,0.12625254690647125,9.19382377206055,0.558637802686746,0.39084223435285814,2.8247056148970255,0.2351135542444968,0.0,0.7971688388090634,0.0,1.5937169517338527,0.711550235748291,0.09381277859210968,7.337304357105246,0.0,0.0,3.1478588039264808,0.3958905243563843,0.0801,ok,0.1888,0.1609,7
True,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0799,ok,0.1859,0.1603,8
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1858,0.161,9
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1875,0.1616,10
True,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0799,ok,0.189,0.1619,11
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1853,0.1603,12
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1855,0.1603,13
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0796,ok,0.189,0.1618,14
True,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0799,ok,0.1901,0.1621,15
True,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0798,ok,0.1857,0.1603,16
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0798,ok,0.1875,0.1605,17
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,ok,0.1876,0.1616,18
True,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,ok,0.1896,0.1622,19
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,ok,0.1847,0.1604,20
