architecture_id,hparam_id,n_runs,valid_mrr20_mean,test_mrr20_mean,valid_hr10_mean,test_hr10_mean
A1,H1,4,0.167375,0.16655,0.17385,0.17415
A1,H3,4,0.17047500000000002,0.168875,0.176975,0.17485
A1,H4,4,0.16185,0.16255,0.17174999999999999,0.17452499999999999
A2,H1,4,0.16747499999999998,0.16649999999999998,0.17404999999999998,0.174
A2,H3,4,0.1704,0.168875,0.176975,0.17485
A2,H4,4,0.16185,0.16205,0.171975,0.17404999999999998
A3,H1,4,0.1671,0.167375,0.1746,0.172675
A3,H3,4,0.169175,0.168175,0.17602500000000001,0.174825
A3,H4,4,0.163325,0.16494999999999999,0.1724,0.1743
A4,H1,4,0.1663,0.16595,0.172675,0.17395
A4,H3,4,0.169875,0.169175,0.177325,0.17545
A4,H4,4,0.162925,0.16235,0.17295,0.174425
A5,H1,4,0.164425,0.16547499999999998,0.17457499999999998,0.172775
A5,H3,4,0.165375,0.16670000000000001,0.1717,0.1749
A5,H4,4,0.156875,0.15839999999999999,0.1737,0.174625
A6,H1,4,0.1676,0.16647499999999998,0.174925,0.174725
A6,H3,4,0.17047500000000002,0.16885,0.17725,0.174625
A6,H4,4,0.161725,0.16175,0.1717,0.1739
