global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,pass_tag,setting_id,setting_key,setting_desc,wrapper_combo,bias_mode,source_profile,topk_profile,trigger,dataset,seed_id,gpu_id,test_mrr20,best_valid_hr10,test_hr10,n_completed,interrupted,result_path,timestamp_utc
0.082600,0.080600,P8_SCR_B_ALL_W2_BIAS_OFF_S1,"B:all_w2__bias_off | w=all_w2, b=bias_off, s=default, k=dense",B,SCR,B_ALL_W2_BIAS_OFF,all_w2__bias_off,bias_aug::all_w2::bias_off,all_w2,bias_off,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,0.161000,0.112700,0.187100,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_all_w2_bias_off_s1_20260320_131400_019047_pid178809.json,2026-03-20T14:35:50.262134Z
0.082600,0.082600,P8_SCR_B_ALL_W2_BIAS_RULE_S1,"B:all_w2__bias_rule | w=all_w2, b=bias_rule, s=default, k=dense",B,SCR,B_ALL_W2_BIAS_RULE,all_w2__bias_rule,bias_aug::all_w2::bias_rule,all_w2,bias_rule,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,0.159600,0.116300,0.184600,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_all_w2_bias_rule_s1_20260320_131359_973249_pid178812.json,2026-03-20T14:36:35.532505Z
0.082600,0.080700,P8_SCR_B_ALL_W2_BIAS_GROUP_FEAT_S1,"B:all_w2__bias_group_feat | w=all_w2, b=bias_group_feat, s=default, k=dense",B,SCR,B_ALL_W2_BIAS_GROUP_FEAT,all_w2__bias_group_feat,bias_aug::all_w2::bias_group_feat,all_w2,bias_group_feat,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,0.161200,0.113700,0.187700,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_all_w2_bias_group_feat_s1_20260320_131400_016970_pid178811.json,2026-03-20T14:41:42.126546Z
0.082600,0.081700,P8_SCR_B_ALL_W2_BIAS_GROUP_FEAT_RULE_S1,"B:all_w2__bias_group_feat_rule | w=all_w2, b=bias_group_feat_rule, s=default, k=dense",B,SCR,B_ALL_W2_BIAS_GROUP_FEAT_RULE,all_w2__bias_group_feat_rule,bias_aug::all_w2::bias_group_feat_rule,all_w2,bias_group_feat_rule,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,5,0.160500,0.113600,0.186000,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_all_w2_bias_group_feat_rule_s1_20260320_131359_975143_pid178814.json,2026-03-20T14:45:24.624112Z
0.082600,0.081600,P8_SCR_B_ALL_W5_BIAS_FEAT_S1,"B:all_w5__bias_feat | w=all_w5, b=bias_feat, s=default, k=dense",B,SCR,B_ALL_W5_BIAS_FEAT,all_w5__bias_feat,bias_aug::all_w5::bias_feat,all_w5,bias_feat,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,7,0.160400,0.113800,0.185900,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_all_w5_bias_feat_s1_20260320_131359_908601_pid178816.json,2026-03-20T14:52:43.378991Z
0.082600,0.081200,P8_SCR_B_ALL_W2_BIAS_BOTH_S1,"B:all_w2__bias_both | w=all_w2, b=bias_both, s=default, k=dense",B,SCR,B_ALL_W2_BIAS_BOTH,all_w2__bias_both,bias_aug::all_w2::bias_both,all_w2,bias_both,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,0.160700,0.112300,0.186000,6,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_all_w2_bias_both_s1_20260320_124902_673084_pid177008.json,2026-03-20T14:54:10.718950Z
0.082600,0.081300,P8_SCR_B_ALL_W5_BIAS_OFF_S1,"B:all_w5__bias_off | w=all_w5, b=bias_off, s=default, k=dense",B,SCR,B_ALL_W5_BIAS_OFF,all_w5__bias_off,bias_aug::all_w5::bias_off,all_w5,bias_off,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,6,0.160600,0.115000,0.185400,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_all_w5_bias_off_s1_20260320_131359_981207_pid178815.json,2026-03-20T14:55:59.079702Z
0.082600,0.081300,P8_SCR_B_ALL_W2_BIAS_FEAT_S1,"B:all_w2__bias_feat | w=all_w2, b=bias_feat, s=default, k=dense",B,SCR,B_ALL_W2_BIAS_FEAT,all_w2__bias_feat,bias_aug::all_w2::bias_feat,all_w2,bias_feat,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,1,0.161400,0.114700,0.187500,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_all_w2_bias_feat_s1_20260320_131359_912434_pid178810.json,2026-03-20T15:02:47.774435Z
0.082600,0.080700,P8_SCR_B_ALL_W5_BIAS_GROUP_FEAT_RULE_S1,"B:all_w5__bias_group_feat_rule | w=all_w5, b=bias_group_feat_rule, s=default, k=dense",B,SCR,B_ALL_W5_BIAS_GROUP_FEAT_RULE,all_w5__bias_group_feat_rule,bias_aug::all_w5::bias_group_feat_rule,all_w5,bias_group_feat_rule,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,0.161700,0.113500,0.188800,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_all_w5_bias_group_feat_rule_s1_20260320_143642_348297_pid184551.json,2026-03-20T16:03:22.489314Z
0.082600,0.080900,P8_SCR_B_ALL_W5_BIAS_BOTH_S1,"B:all_w5__bias_both | w=all_w5, b=bias_both, s=default, k=dense",B,SCR,B_ALL_W5_BIAS_BOTH,all_w5__bias_both,bias_aug::all_w5::bias_both,all_w5,bias_both,default,dense,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,0.160100,0.112100,0.184800,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_all_w5_bias_both_s1_20260320_144149_034404_pid184767.json,2026-03-20T16:05:01.867457Z
