best_mrr20_seen,best_run_result_file,combo_id,dataset,early_valid.overall.count,early_valid.overall.hit@20,early_valid.overall.mrr@20,early_valid.overall.ndcg@20,latest_best_mrr20,latest_result_file,latest_special_log_file,latest_special_result_file,latest_test_mrr20,model,run_count,test.overall.count,test.overall.hit@20,test.overall.mrr@20,test.overall.ndcg@20,valid.overall.count,valid.overall.hit@20,valid.overall.mrr@20,valid.overall.ndcg@20
0.0801,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c70_20260313_195248_130558_pid233112.json,C70,KuaiRecLargeStrictPosV2_0.2,37922,0.10642898581298454,0.05815012115696539,0.0686814208144591,0.0801,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c70_20260313_195248_130558_pid233112.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/core_ablation_v2/C70/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c70_20260313_195248_130558_pid233112_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/core_ablation_v2/C70/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c70_20260313_195248_130558_pid233112_special_metrics.json,0.1614,FeaturedMoE_N3,1,37939,0.21634729434091568,0.16141674184533528,0.17316264172352128,37922,0.14624756078265913,0.08011078335555802,0.09429851693274269
0.0781,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c71_20260313_194805_593440_pid233075.json,C71,KuaiRecLargeStrictPosV2_0.2,37922,0.08390907652549971,0.03813748895608403,0.04799003539830218,0.0781,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c71_20260313_194805_593440_pid233075.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/core_ablation_v2/C71/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c71_20260313_194805_593440_pid233075_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/core_ablation_v2/C71/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c71_20260313_194805_593440_pid233075_special_metrics.json,0.1576,FeaturedMoE_N3,1,37939,0.21234086296423205,0.15760404394229666,0.16932101663544835,37922,0.1421338536996994,0.07810266331202854,0.0917937916093823
0.0781,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c72_20260313_195229_979768_pid233097.json,C72,KuaiRecLargeStrictPosV2_0.2,37922,0.0810083856336691,0.03656832536381984,0.04617528981836113,0.0781,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c72_20260313_195229_979768_pid233097.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/core_ablation_v2/C72/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c72_20260313_195229_979768_pid233097_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/core_ablation_v2/C72/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c72_20260313_195229_979768_pid233097_special_metrics.json,0.1577,FeaturedMoE_N3,1,37939,0.21228814676190727,0.15766258152593213,0.1693825075486957,37922,0.14070987817098254,0.0780799889585458,0.09150197828037944
0.078,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d10_20260313_164019_802104_pid232390.json,D10,KuaiRecLargeStrictPosV2_0.2,37922,0.08971045830916091,0.04106189866957109,0.05162122503868431,0.078,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d10_20260313_164019_802104_pid232390.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/core_ablation_v2/D10/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d10_20260313_164019_802104_pid232390_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/core_ablation_v2/D10/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d10_20260313_164019_802104_pid232390_special_metrics.json,0.1592,FeaturedMoE_N3,1,37939,0.2143177205514115,0.1592288060148302,0.1710256878404921,37922,0.1411317968461579,0.07796414986069673,0.0915004931789908
0.0779,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d11_20260313_164019_834049_pid232391.json,D11,KuaiRecLargeStrictPosV2_0.2,37922,0.07212172353778809,0.03394280126113318,0.042305758793195224,0.0779,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d11_20260313_164019_834049_pid232391.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/core_ablation_v2/D11/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d11_20260313_164019_834049_pid232391_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/core_ablation_v2/D11/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d11_20260313_164019_834049_pid232391_special_metrics.json,0.1574,FeaturedMoE_N3,1,37939,0.2136060518200269,0.1573502445913237,0.1694197262016722,37922,0.14044617899899794,0.07785428255526482,0.09127766853933703
0.0781,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d12_20260313_170706_622943_pid232552.json,D12,KuaiRecLargeStrictPosV2_0.2,37922,0.08591319023258268,0.04108441069148087,0.050816448066963386,0.0781,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d12_20260313_170706_622943_pid232552.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/core_ablation_v2/D12/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d12_20260313_170706_622943_pid232552_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/core_ablation_v2/D12/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d12_20260313_170706_622943_pid232552_special_metrics.json,0.1588,FeaturedMoE_N3,1,37939,0.21234086296423205,0.15882877097232506,0.1702518185138696,37922,0.1403406993302041,0.07805584378143252,0.09138735677159088
0.0784,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d13_20260313_170724_455219_pid232568.json,D13,KuaiRecLargeStrictPosV2_0.2,37922,0.04714941195084647,0.02102901935274827,0.026579099877695075,0.0784,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d13_20260313_170724_455219_pid232568.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/core_ablation_v2/D13/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d13_20260313_170724_455219_pid232568_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/core_ablation_v2/D13/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d13_20260313_170724_455219_pid232568_special_metrics.json,0.1587,FeaturedMoE_N3,1,37939,0.21452858536071062,0.15870277461556778,0.17063900121382145,37922,0.14239755287168399,0.07840424968825335,0.09208732829488887
0.0779,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d14_20260313_173046_986233_pid232640.json,D14,KuaiRecLargeStrictPosV2_0.2,37922,0.09487896208005907,0.046937800154528454,0.0573739560199063,0.0779,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d14_20260313_173046_986233_pid232640.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/core_ablation_v2/D14/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d14_20260313_173046_986233_pid232640_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/core_ablation_v2/D14/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d14_20260313_173046_986233_pid232640_special_metrics.json,0.1591,FeaturedMoE_N3,1,37939,0.21376420042700123,0.15913808072753355,0.17083427162859668,37922,0.13991878065502875,0.07786369477626355,0.09118555773914655
0.0781,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d15_20260313_172810_778836_pid232618.json,D15,KuaiRecLargeStrictPosV2_0.2,37922,0.09614471810558514,0.04210286087575426,0.05377575626469986,0.0781,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d15_20260313_172810_778836_pid232618.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/core_ablation_v2/D15/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d15_20260313_172810_778836_pid232618_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/core_ablation_v2/D15/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d15_20260313_172810_778836_pid232618_special_metrics.json,0.1588,FeaturedMoE_N3,1,37939,0.21289438308864228,0.15876459338990676,0.17037273778698034,37922,0.14092083750857023,0.07808612609856519,0.09156721071674881
0.0799,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_e40_20260313_185956_106902_pid232928.json,E40,KuaiRecLargeStrictPosV2_0.2,37922,0.046358314434892675,0.020126168325878976,0.025730017696221755,0.0799,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_e40_20260313_185956_106902_pid232928.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/core_ablation_v2/E40/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_e40_20260313_185956_106902_pid232928_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/core_ablation_v2/E40/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_e40_20260313_185956_106902_pid232928_special_metrics.json,0.161,FeaturedMoE_N3,1,37939,0.21871952344553097,0.16096111664101204,0.173288463291708,37922,0.14767153631137597,0.07988547392055509,0.09444539699923306
