best_mrr20_seen,best_run_result_file,combo_id,dataset,early_family_exposure_route_change_under_shuffle,early_family_exposure_route_change_under_zero,early_family_exposure_shuffle_delta_mrr,early_family_exposure_zero_delta_mrr,early_family_focus_route_change_under_shuffle,early_family_focus_route_change_under_zero,early_family_focus_shuffle_delta_mrr,early_family_focus_zero_delta_mrr,early_family_memory_route_change_under_shuffle,early_family_memory_route_change_under_zero,early_family_memory_shuffle_delta_mrr,early_family_memory_zero_delta_mrr,early_family_tempo_route_change_under_shuffle,early_family_tempo_route_change_under_zero,early_family_tempo_shuffle_delta_mrr,early_family_tempo_zero_delta_mrr,early_feature_shuffle_delta_mrr,early_feature_zero_delta_mrr,early_route_change_under_feature_shuffle,early_route_change_under_feature_zero,family_exposure_route_change_under_shuffle,family_exposure_route_change_under_zero,family_exposure_shuffle_delta_mrr,family_exposure_zero_delta_mrr,family_focus_route_change_under_shuffle,family_focus_route_change_under_zero,family_focus_shuffle_delta_mrr,family_focus_zero_delta_mrr,family_memory_route_change_under_shuffle,family_memory_route_change_under_zero,family_memory_shuffle_delta_mrr,family_memory_zero_delta_mrr,family_tempo_route_change_under_shuffle,family_tempo_route_change_under_zero,family_tempo_shuffle_delta_mrr,family_tempo_zero_delta_mrr,feature_shuffle_delta_mrr,feature_zero_delta_mrr,latest_best_mrr20,latest_result_file,latest_test_mrr20,model,route_change_under_feature_shuffle,route_change_under_feature_zero,run_count
0.0801,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c70_20260313_195248_130558_pid233112.json,C70,KuaiRecLargeStrictPosV2_0.2,0.03928158975987043,0.2282243111055898,-9.999999999999593e-05,-0.0012999999999999956,0.058376008208299406,0.2593528142412154,0.0008000000000000021,0.0004000000000000045,0.040337534105391995,0.21075406849144893,0.0040000000000000036,0.003700000000000002,0.02696453959446217,0.12754841470316233,-9.999999999999593e-05,-0.0011999999999999997,0.004200000000000002,0.0004000000000000045,0.09539962547333454,0.41116379330177005,0.10250021855057258,0.4301006252846909,0.0011000000000000038,0.003700000000000009,0.08500927114534303,0.4159132423242738,0.0,0.0006000000000000033,0.0842569970691218,0.3933392687067787,0.0015000000000000013,0.002600000000000005,0.05021717025319659,0.21092315761867297,0.0003000000000000086,0.0006000000000000033,0.0030000000000000027,0.003799999999999998,0.0801,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c70_20260313_195248_130558_pid233112.json,0.1614,FeaturedMoE_N3,0.11860624548520526,0.6136301940268979,1
0.0781,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c71_20260313_194805_593440_pid233075.json,C71,KuaiRecLargeStrictPosV2_0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0781,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c71_20260313_194805_593440_pid233075.json,0.1576,FeaturedMoE_N3,0.0,0.0,1
0.0781,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c72_20260313_195229_979768_pid233097.json,C72,KuaiRecLargeStrictPosV2_0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0781,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_c72_20260313_195229_979768_pid233097.json,0.1577,FeaturedMoE_N3,0.0,0.0,1
0.078,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d10_20260313_164019_802104_pid232390.json,D10,KuaiRecLargeStrictPosV2_0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d10_20260313_164019_802104_pid232390.json,0.1592,FeaturedMoE_N3,0.0,0.0,1
0.0779,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d11_20260313_164019_834049_pid232391.json,D11,KuaiRecLargeStrictPosV2_0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d11_20260313_164019_834049_pid232391.json,0.1574,FeaturedMoE_N3,0.0,0.0,1
0.0781,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d12_20260313_170706_622943_pid232552.json,D12,KuaiRecLargeStrictPosV2_0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0781,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d12_20260313_170706_622943_pid232552.json,0.1588,FeaturedMoE_N3,0.0,0.0,1
0.0784,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d13_20260313_170724_455219_pid232568.json,D13,KuaiRecLargeStrictPosV2_0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d13_20260313_170724_455219_pid232568.json,0.1587,FeaturedMoE_N3,0.0,0.0,1
0.0779,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d14_20260313_173046_986233_pid232640.json,D14,KuaiRecLargeStrictPosV2_0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d14_20260313_173046_986233_pid232640.json,0.1591,FeaturedMoE_N3,0.0,0.0,1
0.0781,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d15_20260313_172810_778836_pid232618.json,D15,KuaiRecLargeStrictPosV2_0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0781,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_d15_20260313_172810_778836_pid232618.json,0.1588,FeaturedMoE_N3,0.0,0.0,1
0.0799,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_e40_20260313_185956_106902_pid232928.json,E40,KuaiRecLargeStrictPosV2_0.2,0.020232031692133542,0.09822697972310791,0.0,0.0,0.030922605490910582,0.1568848031434474,0.0,-9.99999999999994e-05,0.020720894815060183,0.09538812281161858,0.0,-9.99999999999994e-05,0.020261938612594965,0.10359067088124192,0.0,-9.99999999999994e-05,0.0,-0.0001999999999999988,0.04408855209095385,0.2007283485398522,0.06815902199769026,0.29779355942965197,0.0007999999999999952,0.001899999999999999,0.029070676954647306,0.16799522409485554,0.00010000000000000286,0.0005000000000000004,0.052974358266502854,0.3156295866863592,0.001799999999999996,0.002799999999999997,0.04697456991547846,0.197592722956092,0.00020000000000000573,0.0003999999999999976,0.0030000000000000027,0.0032999999999999974,0.0799,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_e40_20260313_185956_106902_pid232928.json,0.161,FeaturedMoE_N3,0.1293589336572483,0.68494784693178,1
