run_phase,run_id,dataset,base_id,base_ref,concept_id,concept_name,combo_id,main_aux,support_aux,n_active_aux,wrapper_combo,bias_mode,source_profile,seed_id,gpu_id,status,run_best_valid_mrr20,test_mrr20,n_completed,interrupted,result_path,timestamp_utc
P9_B1_C3_F3_S1,B1_C3_F3_S1,KuaiRecLargeStrictPosV2_0.2,B1,P8_SCR_B_ALL_W2_BIAS_RULE_S1,C3,FeatureAlignment,F3,group_prior_align,none,1,all_w2,bias_rule,src_base,1,0,completed,0.080600,0.161100,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b1_c3_f3_s1_20260322_073245_299510_pid259252.json,2026-03-22T09:14:59.156618Z
P9_B1_C3_F4_S1,B1_C3_F4_S1,KuaiRecLargeStrictPosV2_0.2,B1,P8_SCR_B_ALL_W2_BIAS_RULE_S1,C3,FeatureAlignment,F4,wrapper_group_feature_align,group_prior_align,2,all_w2,bias_rule,src_base,1,1,completed,0.080700,0.161200,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b1_c3_f4_s1_20260322_073245_119031_pid259253.json,2026-03-22T09:14:59.156651Z
P9_B2_C3_F3_S1,B2_C3_F3_S1,KuaiRecLargeStrictPosV2_0.2,B2,P8_SCR_B_MIXED_2_BIAS_GROUP_FEAT_S1,C3,FeatureAlignment,F3,group_prior_align,none,1,mixed_2,bias_group_feat,src_base,1,2,completed,0.080200,0.160700,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b2_c3_f3_s1_20260322_073245_178449_pid259254.json,2026-03-22T09:14:59.156671Z
P9_B2_C3_F4_S1,B2_C3_F4_S1,KuaiRecLargeStrictPosV2_0.2,B2,P8_SCR_B_MIXED_2_BIAS_GROUP_FEAT_S1,C3,FeatureAlignment,F4,wrapper_group_feature_align,group_prior_align,2,mixed_2,bias_group_feat,src_base,1,3,completed,0.081700,0.160100,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b2_c3_f4_s1_20260322_073245_367427_pid259255.json,2026-03-22T09:14:59.156689Z
P9_B3_C3_F3_S1,B3_C3_F3_S1,KuaiRecLargeStrictPosV2_0.2,B3,P8_SCR_B_MIXED_2_BIAS_BOTH_S1,C3,FeatureAlignment,F3,group_prior_align,none,1,mixed_2,bias_both,src_base,1,4,completed,0.081000,0.160800,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b3_c3_f3_s1_20260322_073245_204398_pid259256.json,2026-03-22T09:14:59.156707Z
P9_B3_C3_F4_S1,B3_C3_F4_S1,KuaiRecLargeStrictPosV2_0.2,B3,P8_SCR_B_MIXED_2_BIAS_BOTH_S1,C3,FeatureAlignment,F4,wrapper_group_feature_align,group_prior_align,2,mixed_2,bias_both,src_base,1,5,completed,0.080300,0.160700,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b3_c3_f4_s1_20260322_073245_331675_pid259257.json,2026-03-22T09:14:59.156724Z
P9_B4_C3_F3_S1,B4_C3_F3_S1,KuaiRecLargeStrictPosV2_0.2,B4,P8_SCR_C_MIXED_2_BIAS_BOTH_SRC_ABC_FEATURE_S1,C3,FeatureAlignment,F3,group_prior_align,none,1,mixed_2,bias_both,src_abc_feature,1,6,completed,0.060100,0.122800,1,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b4_c3_f3_s1_20260322_071903_028937_pid257201.json,2026-03-22T09:14:59.156742Z
P9_B4_C3_F4_S1,B4_C3_F4_S1,KuaiRecLargeStrictPosV2_0.2,B4,P8_SCR_C_MIXED_2_BIAS_BOTH_SRC_ABC_FEATURE_S1,C3,FeatureAlignment,F4,wrapper_group_feature_align,group_prior_align,2,mixed_2,bias_both,src_abc_feature,1,7,completed,0.080800,0.161300,20,False,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b4_c3_f4_s1_20260322_073245_273130_pid259258.json,2026-03-22T09:14:59.156759Z
