avg_epoch_time_sec,early_stopped,epochs_run,mrr@20,status,test_hr@10,test_inference_time_sec,test_mrr@20,trial
4.663940227031707,True,40,0.0168,ok,0.1109,0.08530855178833008,0.0558,1
4.674469593799476,True,33,0.016,ok,0.103,0.08341336250305176,0.0506,2
4.672344248870323,True,29,0.0172,ok,0.1041,0.08552336692810059,0.0613,3
4.646263368924459,True,30,0.0157,ok,0.0773,0.07962560653686523,0.0398,4
4.629079659779866,True,30,0.0154,ok,0.075,0.0810236930847168,0.0389,5
4.585906521479289,True,30,0.0159,ok,0.0784,0.0784444808959961,0.042,6
4.54450139132413,True,44,0.016,ok,0.0941,0.11042380332946777,0.0438,7
4.6389662226041155,True,48,0.0166,ok,0.0952,0.08617925643920898,0.0521,8
4.549213806788127,True,30,0.0159,ok,0.0739,0.08277320861816406,0.0381,9
4.632521507067558,True,39,0.0174,ok,0.103,0.07958173751831055,0.053,10
