avg_epoch_time_sec,early_stopped,epochs_run,mrr@20,status,test_hr@10,test_inference_time_sec,test_mrr@20,trial
1.8805425906181334,False,100,0.1279,ok,0.1607,0.12375307083129883,0.1118,1
1.8775585579872132,False,100,0.1504,ok,0.189,0.10789823532104492,0.1286,2
1.8644999909400939,False,100,0.2017,ok,0.2866,0.10796070098876953,0.1846,3
1.8838534259796142,False,100,0.1476,ok,0.1855,0.11348652839660645,0.1262,4
1.854811863899231,False,100,0.1954,ok,0.2774,0.10824871063232422,0.1781,5
1.8563196754455566,False,100,0.1994,ok,0.2858,0.10980367660522461,0.1775,6
1.8823677062988282,False,100,0.148,ok,0.1839,0.10899019241333008,0.1255,7
1.869063696861267,False,100,0.1709,ok,0.225,0.1093285083770752,0.1492,8
1.876465482711792,False,100,0.1542,ok,0.193,0.10933613777160645,0.1314,9
1.8716201543807984,False,100,0.1802,ok,0.2498,0.15322089195251465,0.1587,10
