best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0573,1,1,0.0015383578606113155,0,362.80314779281616,1,0.0573
0.078,3,1,0.0015355711417792677,0,302.5727119445801,1,0.078
0.0803,7,1,0.001521693608101393,0,265.63834142684937,1,0.0803
0.0803,10,1,0.0015041348114460688,3,252.78115797042847,1,0.0791
0.0803,17,1,0.0014403716356790547,10,231.25687980651855,1,0.078
0.0668,1,1,0.0024279674117929986,0,355.43843507766724,2,0.0668
0.0784,3,1,0.002423569174761627,0,289.8664469718933,2,0.0784
0.08,6,1,0.0024087686922577094,0,263.24706649780273,2,0.08
0.08,10,1,0.0023739536805065806,4,244.89120388031006,2,0.0778
0.08,16,1,0.0022906560528464107,10,224.278422832489,2,0.0772
0.0645,1,1,0.0008239304617555648,0,370.50809955596924,3,0.0645
0.0738,3,1,0.000822437920525165,0,324.4011130332947,3,0.0738
0.08,10,1,0.0008056009082599953,1,269.01525831222534,3,0.0799
0.0802,13,1,0.0007930057630793633,0,258.93854093551636,3,0.0802
0.0802,23,1,0.0007296477969671078,10,236.66991329193115,3,0.0787
0.0351,1,1,0.0003745387789768538,0,381.64828395843506,4,0.0351
0.0667,3,1,0.00037386030597949006,0,351.4562578201294,4,0.0667
0.0781,10,1,0.0003662066090862129,0,298.2922296524048,4,0.0781
0.0801,18,1,0.0003478620705997894,0,273.1596508026123,4,0.0801
0.0801,28,1,0.000312341983069658,10,256.7668790817261,4,0.0797
0.0348,1,1,0.00036794907298406374,0,381.9102339744568,5,0.0348
0.0669,3,1,0.00036728253716871595,0,351.7804102897644,5,0.0669
0.0781,10,1,0.0003597635008636492,0,298.99057245254517,5,0.0781
0.0801,18,1,0.00034174171965092957,0,273.8397173881531,5,0.0801
0.0801,28,1,0.00030684657924723763,10,257.3973455429077,5,0.0798
0.0688,1,1,0.003044874723864551,0,352.2202658653259,6,0.0688
0.0786,3,1,0.00303935896582705,0,285.7635455131531,6,0.0786
0.0796,4,1,0.0030345387524292233,0,274.54861402511597,6,0.0796
0.0796,10,1,0.0029771369756819376,6,242.85077381134033,6,0.0781
0.0796,14,1,0.00291252513523003,10,228.67421770095825,6,0.0772
0.0369,1,1,0.00042270108191382104,0,379.8506326675415,7,0.0369
0.0657,3,1,0.00042193536341914766,1,348.8124761581421,7,0.0657
0.0788,10,1,0.00041329747025821374,0,293.50102710723877,7,0.0788
0.0803,18,1,0.0003925939898693375,0,268.6308364868164,7,0.0803
0.0803,28,1,0.0003525063400145596,10,252.4800672531128,7,0.0796
0.0641,1,1,0.0022185380098540645,0,357.01126432418823,8,0.0641
0.0784,3,1,0.00221451915194722,0,292.0553255081177,8,0.0784
0.08,5,1,0.0022064976186558904,0,270.84319162368774,8,0.08
0.08,10,1,0.002169183345812479,5,246.1633276939392,8,0.0779
0.08,15,1,0.002108035345628795,10,228.95403289794922,8,0.0775
0.0259,1,1,0.00024074908402257195,0,387.7961893081665,9,0.0259
0.0649,3,1,0.00024031296962850153,0,357.40558433532715,9,0.0649
0.075,10,1,0.00023539326406029186,0,315.2687358856201,9,0.075
0.0801,28,1,0.00020076972144574887,0,273.27084732055664,9,0.0801
0.0801,38,1,0.00017111477720631882,10,262.64392614364624,9,0.0799
0.0283,1,1,0.0002817097169478011,0,385.7225646972656,10,0.0283
0.0664,3,1,0.00028119940280472034,0,355.53403520584106,10,0.0664
0.0764,10,1,0.00027544266703679975,0,309.28699827194214,10,0.0764
0.0801,24,1,0.0002467435554954077,0,272.77770805358887,10,0.0801
0.0801,34,1,0.00021485852965335265,10,260.3549370765686,10,0.0798
