global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,architecture_id,architecture_name,tuning_stage,family_id,family_group,variant_id,capacity_anchor,selected_from_stage,selection_score,search_algo,source_family_id,stage_group,template_count,combo_band,main_eval_target_mode,history_input_mode,history_eval_policy,aux_route_consistency_lambda,aux_z_loss_lambda
0.073500,0.073500,FH1_FH_BEAUTY_B05_FH_H8_CTX_LOWLR_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,trial_new_best,beauty,1,4,running,0.028000,,,,,,2026-04-16T11:55:53.131944Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,B05_fh_h8_ctx_lowlr,full_history_combo,full_history_conservative,H8,B25_lr_h8_seen_anchor,best H8 line adjusted for longer context with milder lr ceiling and slightly longer crop,tpe,B25_lr_h8_seen_anchor,full_history,8,full_history_conservative,seen_target,full_history_session_targets,strict_train_prefix,0.0008,0.0002
0.085300,0.085300,FH1_FH_BEAUTY_B01_H8_SEEN_ANCHOR_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,trial_new_best,beauty,1,0,running,0.068300,,,,,,2026-04-16T11:56:02.144324Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,B01_h8_seen_anchor,full_history_combo,prior_strong,H8,B25_lr_h8_seen_anchor,best current beauty line by both valid and test,tpe,B25_lr_h8_seen_anchor,full_history,8,prior_strong,seen_target,full_history_session_targets,strict_train_prefix,0.0008,0.0002
0.090700,0.090700,FH1_FH_BEAUTY_B01_H8_SEEN_ANCHOR_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,trial_new_best,beauty,1,0,running,0.065400,,,,,,2026-04-16T11:56:53.211919Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,B01_h8_seen_anchor,full_history_combo,prior_strong,H8,B25_lr_h8_seen_anchor,best current beauty line by both valid and test,tpe,B25_lr_h8_seen_anchor,full_history,8,prior_strong,seen_target,full_history_session_targets,strict_train_prefix,0.0008,0.0002
0.092000,0.092000,FH1_FH_BEAUTY_B05_FH_H8_CTX_LOWLR_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,trial_new_best,beauty,1,4,running,0.069600,,,,,,2026-04-16T11:59:50.441405Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,B05_fh_h8_ctx_lowlr,full_history_combo,full_history_conservative,H8,B25_lr_h8_seen_anchor,best H8 line adjusted for longer context with milder lr ceiling and slightly longer crop,tpe,B25_lr_h8_seen_anchor,full_history,8,full_history_conservative,seen_target,full_history_session_targets,strict_train_prefix,0.0008,0.0002
0.092000,0.082300,FH1_FH_BEAUTY_B02_H8_COMPACT_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,run_complete,beauty,1,1,run_complete_no_result,0.048000,,,False,False,,2026-04-16T12:00:24.010731Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,B02_h8_compact,full_history_combo,prior_strong,H8,B06_xfer_compact_h8,compact H8 transfer line with stable valid and strong test,tpe,B06_xfer_compact_h8,full_history,8,prior_strong,seen_target,full_history_session_targets,strict_train_prefix,0.0008,0.0002
0.092000,0.090700,FH1_FH_BEAUTY_B01_H8_SEEN_ANCHOR_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,run_complete,beauty,1,0,run_complete_no_result,0.065400,,,False,False,,2026-04-16T12:01:27.595740Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,B01_h8_seen_anchor,full_history_combo,prior_strong,H8,B25_lr_h8_seen_anchor,best current beauty line by both valid and test,tpe,B25_lr_h8_seen_anchor,full_history,8,prior_strong,seen_target,full_history_session_targets,strict_train_prefix,0.0008,0.0002
0.092000,0.092000,FH1_FH_BEAUTY_B05_FH_H8_CTX_LOWLR_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,run_complete,beauty,1,4,run_complete_no_result,0.069600,,,False,False,,2026-04-16T12:02:07.262405Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,B05_fh_h8_ctx_lowlr,full_history_combo,full_history_conservative,H8,B25_lr_h8_seen_anchor,best H8 line adjusted for longer context with milder lr ceiling and slightly longer crop,tpe,B25_lr_h8_seen_anchor,full_history,8,full_history_conservative,seen_target,full_history_session_targets,strict_train_prefix,0.0008,0.0002
0.092000,0.076800,FH1_FH_BEAUTY_B08_FH_H6_DIMWIDE_ATTACK_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,run_complete,beauty,1,7,run_complete_no_result,0.052700,,,False,False,,2026-04-16T12:02:31.945214Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,B08_fh_h6_dimwide_attack,full_history_combo,full_history_aggressive,H6,B09_aggr_dimwide_h6,dimension-lifted H6 probe under longer context,tpe,B09_aggr_dimwide_h6,full_history,8,full_history_aggressive,seen_target,full_history_session_targets,strict_train_prefix,0.0005,0.0001
0.092000,0.061700,FH1_FH_BEAUTY_B03_H3_MIDAUX_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,run_complete,beauty,1,2,run_complete_no_result,0.060700,,,False,False,,2026-04-16T12:05:35.877829Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,B03_h3_midaux,full_history_combo,prior_strong,H3,B17_hyp_midaux_lowaux_h3,H3 mid-cap line that held valid while lifting test close to the best band,tpe,B17_hyp_midaux_lowaux_h3,full_history,8,prior_strong,seen_target,full_history_session_targets,strict_train_prefix,0.00025,5e-05
0.092000,0.067700,FH1_FH_BEAUTY_B04_H7_WIDEREXPERT_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,run_complete,beauty,1,3,run_complete_no_result,0.055400,,,False,False,,2026-04-16T12:06:42.672792Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,B04_h7_widerexpert,full_history_combo,prior_strong,H7,B13_aggr_widerexpert_h7,wider-expert H7 line with acceptable valid and strong test carry-over,tpe,B13_aggr_widerexpert_h7,full_history,8,prior_strong,seen_target,full_history_session_targets,strict_train_prefix,0.0005,0.0001
0.092000,0.064600,FH1_FH_BEAUTY_B06_FH_H3_CTX_REGULARIZED_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,run_complete,beauty,1,5,run_complete_no_result,0.068900,,,False,False,,2026-04-16T12:09:34.574807Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,B06_fh_h3_ctx_regularized,full_history_combo,full_history_conservative,H3,B17_hyp_midaux_lowaux_h3,H3 full-history retune with more context and slightly stronger regularization,tpe,B17_hyp_midaux_lowaux_h3,full_history,8,full_history_conservative,seen_target,full_history_session_targets,strict_train_prefix,0.00025,5e-05
0.092000,0.086000,FH1_FH_BEAUTY_B07_FH_H10_LONGCTX_ATTACK_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,run_complete,beauty,1,6,run_complete_no_result,0.046800,,,False,False,,2026-04-16T12:14:02.621375Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,B07_fh_h10_longctx_attack,full_history_combo,full_history_aggressive,H10,B12_aggr_longctx_h10,explicit long-context attack once full-history is enabled,tpe,B12_aggr_longctx_h10,full_history,8,full_history_aggressive,seen_target,full_history_session_targets,strict_train_prefix,0.0005,0.0001
