file,phase,run_id,best_valid_mrr20,best_valid_hr10,best_valid_test_mrr20,best_valid_test_hr10,n_trials
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_c_s1_20260317_194731_518128_pid289680.json,P6,p6_cand_c_s1_20260317_194731_518128_pid289680,0.0818,0.1032,0.1586,0.1818,15
experiments/run/artifacts/results/fmoe_n3/normal/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_c_s1_20260317_194731_518128_pid289680.json,P6,p6_cand_c_s1_20260317_194731_518128_pid289680,0.0818,0.1032,0.1586,0.1818,15
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top6_c1_20260316_234315_436611_pid12829.json,P1,k_12e_top6_c1_20260316_234315_436611_pid12829,0.0814,0.1161,0.1621,0.1888,7
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/R/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r_base_c1_20260316_134012_582620_pid5335.json,P4,r_base_c1_20260316_134012_582620_pid5335,0.0814,0.1169,0.1617,0.1888,10
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/R/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r_base_c2_20260316_134012_394651_pid5336.json,P4,r_base_c2_20260316_134012_394651_pid5336,0.0814,0.1162,0.1622,0.1885,10
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/K/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top6_c1_20260316_234315_436611_pid12829.json,P4,k_12e_top6_c1_20260316_234315_436611_pid12829,0.0814,0.1161,0.1621,0.1888,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s1_05_20260316_040932_600847_pid489221.json,P3,p3s1_05_20260316_040932_600847_pid489221,0.0813,0.1143,0.1602,0.1857,15
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_dense_c4_20260316_224819_059569_pid12529.json,P1,k_12e_dense_c4_20260316_224819_059569_pid12529,0.0813,0.1155,0.1617,0.189,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top3_c2_20260316_225631_095943_pid12581.json,P1,k_12e_top3_c2_20260316_225631_095943_pid12581,0.0813,0.1161,0.1617,0.1883,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top3_c1_20260316_230522_765295_pid12612.json,P1,k_12e_top3_c1_20260316_230522_765295_pid12612,0.0813,0.1159,0.1618,0.1891,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top3_c4_20260316_231735_247564_pid12733.json,P1,k_12e_top3_c4_20260316_231735_247564_pid12733,0.0813,0.1164,0.1618,0.1887,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_dense_c3_20260316_232416_592861_pid12761.json,P1,k_12e_dense_c3_20260316_232416_592861_pid12761,0.0813,0.1162,0.1618,0.1885,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top6_c2_20260316_232927_834638_pid12788.json,P1,k_12e_top6_c2_20260316_232927_834638_pid12788,0.0813,0.1159,0.1617,0.1881,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top3_c3_20260317_000520_098390_pid12949.json,P1,k_12e_top3_c3_20260317_000520_098390_pid12949,0.0813,0.1167,0.1615,0.1884,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f_feat_full_c1_20260317_024302_639648_pid55543.json,P1,f_feat_full_c1_20260317_024302_639648_pid55543,0.0813,0.1162,0.1622,0.189,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b6_20260317_214951_258693_pid289983.json,P6,p6_base_b6_20260317_214951_258693_pid289983,0.0813,0.1155,0.1619,0.1891,5
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m3_20260318_000741_770063_pid290538.json,P6,p6_spec_a_m3_20260318_000741_770063_pid290538,0.0813,0.1172,0.1619,0.1888,5
experiments/run/artifacts/results/fmoe_n3/normal/phase3_focus_v1/P3S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p3s1_05_20260316_040932_600847_pid489221.json,P3,p3s1_05_20260316_040932_600847_pid489221,0.0813,0.1143,0.1602,0.1857,15
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/K/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_dense_c4_20260316_224819_059569_pid12529.json,P4,k_12e_dense_c4_20260316_224819_059569_pid12529,0.0813,0.1155,0.1617,0.189,7
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/K/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top3_c2_20260316_225631_095943_pid12581.json,P4,k_12e_top3_c2_20260316_225631_095943_pid12581,0.0813,0.1161,0.1617,0.1883,7
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/K/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top3_c1_20260316_230522_765295_pid12612.json,P4,k_12e_top3_c1_20260316_230522_765295_pid12612,0.0813,0.1159,0.1618,0.1891,7
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/K/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top3_c4_20260316_231735_247564_pid12733.json,P4,k_12e_top3_c4_20260316_231735_247564_pid12733,0.0813,0.1164,0.1618,0.1887,7
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/K/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_dense_c3_20260316_232416_592861_pid12761.json,P4,k_12e_dense_c3_20260316_232416_592861_pid12761,0.0813,0.1162,0.1618,0.1885,7
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/K/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top6_c2_20260316_232927_834638_pid12788.json,P4,k_12e_top6_c2_20260316_232927_834638_pid12788,0.0813,0.1159,0.1617,0.1881,7
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/K/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top3_c3_20260317_000520_098390_pid12949.json,P4,k_12e_top3_c3_20260317_000520_098390_pid12949,0.0813,0.1167,0.1615,0.1884,7
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/F/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f_feat_full_c1_20260317_024302_639648_pid55543.json,P4,f_feat_full_c1_20260317_024302_639648_pid55543,0.0813,0.1162,0.1622,0.189,7
experiments/run/artifacts/results/fmoe_n3/normal/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b6_20260317_214951_258693_pid289983.json,P6,p6_base_b6_20260317_214951_258693_pid289983,0.0813,0.1155,0.1619,0.1891,5
experiments/run/artifacts/results/fmoe_n3/normal/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m3_20260318_000741_770063_pid290538.json,P6,p6_spec_a_m3_20260318_000741_770063_pid290538,0.0813,0.1172,0.1619,0.1888,5
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r_base_c1_20260316_164842_064195_pid10180.json,P1,r_base_c1_20260316_164842_064195_pid10180,0.0812,0.1155,0.1622,0.1897,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_dense_c2_20260316_221733_016709_pid12411.json,P1,k_12e_dense_c2_20260316_221733_016709_pid12411,0.0812,0.1158,0.162,0.1892,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_top6_c3_20260317_004017_076083_pid13107.json,P1,k_12e_top6_c3_20260317_004017_076083_pid13107,0.0812,0.1158,0.1619,0.1885,7
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s3_20260317_175227_353265_pid289468.json,P6,p6_cand_a_s3_20260317_175227_353265_pid289468,0.0812,0.1165,0.1621,0.1883,15
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s1_20260317_175227_351911_pid289466.json,P6,p6_cand_a_s1_20260317_175227_351911_pid289466,0.0812,0.1161,0.1619,0.1885,15
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_rxi_x1_sta_gat_20260317_215921_810654_pid290011.json,P6,p6_rxi_x1_sta_gat_20260317_215921_810654_pid290011,0.0812,0.1159,0.162,0.188,5
experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_spec_a_m0_20260317_224806_746454_pid290200.json,P6,p6_spec_a_m0_20260317_224806_746454_pid290200,0.0812,0.1161,0.1622,0.1893,5
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/R/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_r_base_c1_20260316_164842_064195_pid10180.json,P4,r_base_c1_20260316_164842_064195_pid10180,0.0812,0.1155,0.1622,0.1897,7
experiments/run/artifacts/results/fmoe_n3/normal/phase4_residual_topk_v2/K/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_12e_dense_c2_20260316_221733_016709_pid12411.json,P4,k_12e_dense_c2_20260316_221733_016709_pid12411,0.0812,0.1158,0.162,0.1892,7
