question,dataset_scope,dataset,model_name,model,row_type,run_phase,setting_key,setting_label,selection_tag,benchmark_epochs,lr_scan_values,hidden_size,embedding_size,inner_size,group_top_k,expert_top_k,moe_top_k,topk_scope_mode,status,error,build_sec,train_sec,avg_train_epoch_sec,infer_sec,total_params,active_params,best_valid_score,best_valid_mrr20,best_valid_ndcg10,best_valid_hit10,test_mrr20,test_ndcg10,test_hit10,chosen_lr,lr_probe_count,timestamp_utc,train_time_ratio,infer_time_ratio,active_param_ratio_vs_sasrec,total_param_ratio_vs_sasrec
q4,primary,KuaiRecLargeStrictPosV2_0.2,SASRec,SASRec,reference,screen,sasrec_width_matched,SASRec (width-matched),baseline,8,"0.0008,0.001",256,256,256,0,0,0,,planned,,,,,,,,,,,,,,,,2,2026-04-21T00:40:52.663033Z,,,,
q4,primary,KuaiRecLargeStrictPosV2_0.2,RouteRec-dense,FeaturedMoE_N3,reference,screen,routerec_dense_base,RouteRec dense reference,dense_reference,8,"0.000579504,0.00072438",256,256,256,0,0,0,,planned,,,,,,,,,,,,,,,,2,2026-04-21T00:40:52.663060Z,,,,
q4,primary,KuaiRecLargeStrictPosV2_0.2,RouteRec-sparse-final,FeaturedMoE_N3,reference,screen,routerec_sparse_base,RouteRec sparse final,final_sparse,8,"0.000579504,0.00072438",256,256,256,3,2,0,per_group,planned,,,,,,,,,,,,,,,,2,2026-04-21T00:40:52.663076Z,,,,
q4,primary,KuaiRecLargeStrictPosV2_0.2,FAME,FAME,reference,screen,fame_width_matched,FAME (width-matched),baseline,8,"0.0008,0.001",256,256,256,0,0,0,,planned,,,,,,,,,,,,,,,,2,2026-04-21T00:40:52.663089Z,,,,
q4,primary,KuaiRecLargeStrictPosV2_0.2,RouteRec-scan-g1e1,FeaturedMoE_N3,screen,screen,route_screen_w128_g1e1,RouteRec sparse w=128 g1e1,,8,"0.000579504,0.00072438",128,128,128,1,1,0,per_group,planned,,,,,,,,,,,,,,,,2,2026-04-21T00:40:52.663102Z,,,,
q4,primary,KuaiRecLargeStrictPosV2_0.2,RouteRec-scan-g1e1,FeaturedMoE_N3,screen,screen,route_screen_w256_g1e1,RouteRec sparse w=256 g1e1,,8,"0.000579504,0.00072438",256,256,256,1,1,0,per_group,planned,,,,,,,,,,,,,,,,2,2026-04-21T00:40:52.663115Z,,,,
q4,primary,KuaiRecLargeStrictPosV2_0.2,RouteRec-scan-g4e2,FeaturedMoE_N3,screen,screen,route_screen_w320_g4e2,RouteRec sparse w=320 g4e2,,8,"0.000579504,0.00072438",320,320,320,4,2,0,per_group,planned,,,,,,,,,,,,,,,,2,2026-04-21T00:40:52.663127Z,,,,
