global_best_valid_mrr20,global_best_test_mrr20,model,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,profile_id,concept_id,detail_id,lr_band_id,lr_lo,lr_hi,lr_center,stage_id,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,result_path,timestamp_utc
0.099100,0.078900,SASRec,0.099100,0.078900,0.099100,0.078900,B1,STRUCT,B1,"LR3,LR2",4.533333e-04,2.203200e-03,9.993918e-04,B,P17_SB_D00_M01_SASREC_B1_S1,SB_AMAZON_BEAUTY_SASREC_B1_S1,amazon_beauty,B1,1,0,run_complete,1,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageb_structure_anchor2_core5/P17/amazon_beauty/SASRec/amazon_beauty_SASRec_p17_sb_d00_m01_sasrec_b1_s1_20260329_163137_733895_pid500324.json,2026-03-29T16:31:43.749577Z
0.099100,0.078900,SASRec,0.099100,0.078900,0.098600,0.078900,B2,STRUCT,B2,"LR3,LR2",4.800000e-04,2.880000e-03,1.175755e-03,B,P17_SB_D00_M01_SASREC_B2_S1,SB_AMAZON_BEAUTY_SASREC_B2_S1,amazon_beauty,B2,1,0,run_complete,1,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageb_structure_anchor2_core5/P17/amazon_beauty/SASRec/amazon_beauty_SASRec_p17_sb_d00_m01_sasrec_b2_s1_20260329_163148_762955_pid500370.json,2026-03-29T16:31:53.824939Z
0.100200,0.080100,SASRec,0.100200,0.080100,0.100200,0.080100,B3,STRUCT,B3,"LR3,LR2",4.581818e-04,3.326400e-03,1.234543e-03,B,P17_SB_D00_M01_SASREC_B3_S1,SB_AMAZON_BEAUTY_SASREC_B3_S1,amazon_beauty,B3,1,0,run_complete,1,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageb_structure_anchor2_core5/P17/amazon_beauty/SASRec/amazon_beauty_SASRec_p17_sb_d00_m01_sasrec_b3_s1_20260329_163158_987756_pid500392.json,2026-03-29T16:32:04.905730Z
0.100200,0.080100,SASRec,0.100200,0.080100,0.097300,0.078900,B4,STRUCT,B4,"LR3,LR2",4.560000e-04,2.736000e-03,1.116967e-03,B,P17_SB_D00_M01_SASREC_B4_S1,SB_AMAZON_BEAUTY_SASREC_B4_S1,amazon_beauty,B4,1,0,run_complete,1,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageb_structure_anchor2_core5/P17/amazon_beauty/SASRec/amazon_beauty_SASRec_p17_sb_d00_m01_sasrec_b4_s1_20260329_163209_937594_pid500415.json,2026-03-29T16:32:15.980799Z
0.113900,0.084700,SASRec,0.113900,0.084700,0.113900,0.084700,B1,STRUCT,B1,"LR3,LR2",4.533333e-04,2.203200e-03,9.993918e-04,B,P17_SB_D01_M01_SASREC_B1_S1,SB_AMAZON_BEAUTY_SASREC_B1_S1,amazon_beauty,B1,1,4,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageb_structure_anchor2_core5/P17/amazon_beauty/SASRec/amazon_beauty_SASRec_p17_sb_d01_m01_sasrec_b1_s1_20260329_215253_340979_pid520283.json,2026-03-29T21:53:39.210651Z
0.123200,0.087800,SASRec,0.123200,0.087800,0.123200,0.087800,B2,STRUCT,B2,"LR3,LR2",4.800000e-04,2.880000e-03,1.175755e-03,B,P17_SB_D01_M01_SASREC_B2_S1,SB_AMAZON_BEAUTY_SASREC_B2_S1,amazon_beauty,B2,1,5,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageb_structure_anchor2_core5/P17/amazon_beauty/SASRec/amazon_beauty_SASRec_p17_sb_d01_m01_sasrec_b2_s1_20260329_215253_363864_pid520284.json,2026-03-29T21:53:43.272650Z
0.123200,0.087800,SASRec,0.123200,0.087800,0.122400,0.086800,B3,STRUCT,B3,"LR3,LR2",4.581818e-04,3.326400e-03,1.234543e-03,B,P17_SB_D01_M01_SASREC_B3_S1,SB_AMAZON_BEAUTY_SASREC_B3_S1,amazon_beauty,B3,1,6,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageb_structure_anchor2_core5/P17/amazon_beauty/SASRec/amazon_beauty_SASRec_p17_sb_d01_m01_sasrec_b3_s1_20260329_215253_272500_pid520285.json,2026-03-29T21:53:51.346346Z
0.123200,0.087800,SASRec,0.123200,0.087800,0.120900,0.087700,B4,STRUCT,B4,"LR3,LR2",4.560000e-04,2.736000e-03,1.116967e-03,B,P17_SB_D01_M01_SASREC_B4_S1,SB_AMAZON_BEAUTY_SASREC_B4_S1,amazon_beauty,B4,1,7,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageb_structure_anchor2_core5/P17/amazon_beauty/SASRec/amazon_beauty_SASRec_p17_sb_d01_m01_sasrec_b4_s1_20260329_215253_211995_pid520286.json,2026-03-29T21:54:02.426910Z
0.123200,0.087800,GRU4Rec,0.001600,0.000000,0.001600,0.000000,B1,STRUCT,B1,"LR4,LR5",1.541333e-03,5.852250e-03,3.003376e-03,B,P17_SB_D01_M02_GRU4REC_B1_S1,SB_AMAZON_BEAUTY_GRU4REC_B1_S1,amazon_beauty,B1,1,6,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageb_structure_anchor2_core5/P17/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p17_sb_d01_m02_gru4rec_b1_s1_20260329_215356_530295_pid520427.json,2026-03-29T21:54:09.510154Z
0.123200,0.087800,GRU4Rec,0.001600,0.000000,0.001400,0.000000,B2,STRUCT,B2,"LR4,LR5",1.632000e-03,7.650000e-03,3.533384e-03,B,P17_SB_D01_M02_GRU4REC_B2_S1,SB_AMAZON_BEAUTY_GRU4REC_B2_S1,amazon_beauty,B2,1,7,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stageb_structure_anchor2_core5/P17/amazon_beauty/GRU4Rec/amazon_beauty_GRU4Rec_p17_sb_d01_m02_gru4rec_b2_s1_20260329_215407_624671_pid520454.json,2026-03-29T21:54:19.593763Z
