group,metric,spearman,n
all,n_eff_expnorm,0.701660,63
all,cv,0.466194,63
all,top1u,-0.480383,63
all,knn_js,0.149129,63
k0,n_eff_expnorm,0.798642,49
k0,cv,0.598662,49
k0,top1u,-0.704022,49
k0,knn_js,-0.023834,49
kpos,n_eff_expnorm,0.160971,14
kpos,cv,-0.160971,14
kpos,top1u,0.350608,14
kpos,knn_js,0.319737,14
