family,n,best_valid_mrr20_mean,best_valid_mrr20_median,best_valid_test_mrr20_mean,best_valid_test_mrr20_median,macro_knn_js_mean,macro_knn_js_median,macro_knn_score_mean,macro_knn_score_median,macro_n_eff_mean,macro_n_eff_median,macro_cv_usage_mean,macro_cv_usage_median,macro_top1_max_mean,macro_top1_max_median,macro_entropy_mean,macro_entropy_median,micro_n_eff_mean,micro_n_eff_median,micro_top1_max_mean,micro_top1_max_median
base,6,0.08036666666666667,0.08055,0.1615,0.1617,0.04504061612856048,0.05149468364145213,0.9562752130986293,0.949909909670295,9.590694363822266,9.776459504514978,0.4983243846507786,0.4768473956059524,0.21430888633836503,0.204492725413733,1.6154118712378374,1.5918542211484572,8.193864495240144,7.926905088453233,0.34235898101351253,0.3583810437907049
cand,9,0.0806888888888889,0.0807,0.1608777777777778,0.1619,0.028286969877778567,0.024697607513294147,0.9721563977426005,0.975604883014197,11.121479770546598,11.061271017759648,0.27484165801878835,0.29131774856832643,0.24569251073221166,0.24682806560663315,2.043864287757044,2.0693115216349867,10.651588802206621,10.495642303206113,0.2739454043711405,0.24762901959205041
feat,30,0.07965333333333333,0.0797,0.16133666666666666,0.16144999999999998,0.028660470871889894,0.028263218436435547,0.9717581273116138,0.9721324631488211,4.591636095378809,5.775397282375392,0.14786372363974812,0.13615658165250064,0.3761964529819875,0.33842431320433053,1.0846264660035492,1.2244939769917298,4.214365348778976,4.609006248783087,0.37793640246371657,0.3747759901737712
rxi,8,0.0801875,0.08005,0.159975,0.1599,0.08536385555608345,0.08445499660181513,0.9183018232593977,0.919021938770816,9.6311144280747,9.480473222056894,0.49438700950849795,0.5155189269627729,0.24632103712354603,0.2363809856208624,1.4392397254238358,1.4629404661376009,8.577677172766663,8.868492552121289,0.2463909527996474,0.23271292958988024
spec,10,0.0808,0.0808,0.16169,0.16185,0.03412215299894523,0.02575334560317233,0.9665883788607575,0.9745778490977777,9.762648442250752,11.188110026262326,0.49539915225983344,0.2685938434721874,0.3311855237634993,0.25722033170234043,1.8377365015726832,2.0713626509339615,8.982401213136782,10.23726453961769,0.26748641398581996,0.254174245525956
