group,n,avg_best_valid_mrr20,avg_test_mrr20,max_best_valid_mrr20,max_test_mrr20_at_max_valid
standard_all_gated,5,0.08106000000000001,0.16148,0.0813,0.1602
factored_group_gated,5,0.08102000000000001,0.16194,0.0811,0.1618
feature_source_routing,1,0.0809,0.1621,0.0809,0.1621
other,1,0.0804,0.1609,0.0804,0.1609
