phase,run_name,run_phase,best_valid_mrr20,best_valid_test_mrr20,topk_scope_mode,moe_top_k,group_top_k,expert_scale,expert_count,n_eff_ratio_topkaware,cv_usage_mean,top1_over_uniform_mean,knn_score_mean,group_knn_score_mean,intra_group_knn_mean_score_mean,balance_loss_lambda,z_loss_lambda,route_smoothness_lambda,route_sharpness_lambda,route_prior_lambda,route_monopoly_lambda,route_consistency_lambda,group_prior_align_lambda,factored_group_balance_lambda
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b2_20260317_212943_850563_pid289851,P6_BASE_B2,0.0793,0.1601,global_flat,1.0,0.0,3.0,12.0,8.764367811714655,0.6050924834288889,3.23643580,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b3_20260317_222450_181633_pid290098,P6_BASE_B3,0.0798,0.1616,group_dense,1.0,0.0,3.0,12.0,3.1059876720421817,0.5352634541896777,3.23464596,0.943267893845408,0.976858075696933,0.9321217670318426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b4_20260317_213853_434816_pid289891,P6_BASE_B4,0.0807,0.1617,global_flat,1.0,0.0,3.0,12.0,8.750735763093157,0.6095755003793909,3.65735278,0.978855299658019,0.99399301416981,0.9769906989988476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b5_20260318_015913_095313_pid307006,P6_BASE_B5,0.0804,0.162,group_dense,1.0,0.0,3.0,12.0,2.910823347105395,0.6118024796423125,3.94125741,0.9754280752833692,0.9893479620369221,0.9673309311827059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b6_20260317_214951_258693_pid289983,P6_BASE_B6,0.0813,0.1619,global_flat,1.0,0.0,3.0,12.0,9.018845439577776,0.5746899298623215,2.94886200,0.9456796976657993,0.9749376629023888,0.93397533758181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b7_20260317_225119_028794_pid290224,P6_BASE_B7,0.0807,0.1617,group_dense,1.0,0.0,3.0,12.0,2.5729178740485126,0.7458424871753757,3.88685518,0.9490055994666482,0.980475745564369,0.931153534835383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s1_20260317_175227_351911_pid289466,P6_CAND_A_S1,0.0812,0.1619,global_flat,0.0,0.0,3.0,12.0,0.8965596010700989,0.326929379837823,2.94003808,0.9664731712742878,0.9850447738751245,0.9794491352874941,0.002,0.0001,0.01,,0.0,,0.0,0.0,0.0
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s2_20260317_175227_263467_pid289467,P6_CAND_A_S2,0.0811,0.162,global_flat,0.0,0.0,3.0,12.0,0.8873518787941641,0.3539676749638179,3.19458931,0.9660142961105977,0.9852782288396216,0.9785742470705917,0.002,0.0001,0.01,,0.0,,0.0,0.0,0.0
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s3_20260317_175227_353265_pid289468,P6_CAND_A_S3,0.0812,0.1621,global_flat,0.0,0.0,3.0,12.0,0.8739069692194616,0.36989921734665093,2.70934543,0.9595074529114895,0.9810619562364077,0.9746125342663869,0.002,0.0001,0.01,,0.0,,0.0,0.0,0.0
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s1_20260317_175227_272959_pid289469,P6_CAND_B_S1,0.0807,0.1619,group_dense,0.0,0.0,3.0,12.0,3.517423013867351,0.3549222517872664,3.54672269,0.9783801367705037,0.990937151120742,0.9882448832007874,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s2_20260317_192506_267731_pid289626,P6_CAND_B_S2,0.0807,0.1621,group_dense,0.0,0.0,3.0,12.0,3.4086020304017652,0.4122126699248459,3.59332121,0.9749974551538074,0.9894374422805884,0.9859423796648146,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s3_20260317_193715_847967_pid289652,P6_CAND_B_S3,0.0809,0.1619,group_dense,0.0,0.0,3.0,12.0,3.550374303452642,0.34365165890823746,3.39583012,0.9770926312608436,0.9902352555360788,0.9872301873986732,0.002,0.0001,0.01,,0.0,,0.0,0.0005,0.001
P6,KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_c_s1_20260317_194731_518128_pid289680,P6_CAND_C_S1,0.0803,0.1586,group_dense,0.0,0.0,3.0,12.0,3.732051372735256,0.24802772106621251,4.48876092,0.9934318468598454,0.9961529679286081,0.9963104862226728,0.002,0.0001,0.01,,0.005,,0.01,0.0005,0.001
