run_phase,top1_activeaware_mean
P6_BASE_B2,3.23643580
P6_BASE_B3,3.23464596
P6_BASE_B4,3.65735278
P6_BASE_B5,3.94125741
P6_BASE_B6,2.94886200
P6_BASE_B7,3.88685518
P6_CAND_A_S1,2.94003808
P6_CAND_A_S2,3.19458931
P6_CAND_A_S3,2.70934543
P6_CAND_B_S1,3.54672269
P6_CAND_B_S2,3.59332121
P6_CAND_B_S3,3.39583012
P6_CAND_C_S1,4.48876092
P6_CAND_C_S2,2.97915506
P6_CAND_C_S3,2.54406254
P6_FEAT_W10_EXP,1.22710178
P6_FEAT_W10_FOC,1.59736401
P6_FEAT_W10_FOC_EXP,1.97683050
P6_FEAT_W10_MEM,1.39645432
P6_FEAT_W10_MEM,1.39645432
P6_FEAT_W10_MEM_EXP,2.40523797
P6_FEAT_W10_MEM_FOC,2.23861269
P6_FEAT_W10_TEM,1.43047473
P6_FEAT_W10_TEM,1.43047473
P6_FEAT_W10_TEM_EXP,1.86360962
P6_FEAT_W10_TEM_FOC,1.96055190
P6_FEAT_W10_TEM_FOC,1.96055190
P6_FEAT_W10_TEM_MEM,2.17501068
P6_FEAT_W10_TEM_MEM,2.17501068
P6_FEAT_W5_EXP,1.28006766
P6_FEAT_W5_EXP,1.28006766
P6_FEAT_W5_FOC,1.62799267
P6_FEAT_W5_FOC,1.62799267
P6_FEAT_W5_FOC_EXP,2.00686404
P6_FEAT_W5_MEM,1.34125562
P6_FEAT_W5_MEM_EXP,2.08215372
P6_FEAT_W5_MEM_FOC,2.07617565
P6_FEAT_W5_MEM_FOC,2.07617565
P6_FEAT_W5_TEM,1.45868711
P6_FEAT_W5_TEM,1.45868711
P6_FEAT_W5_TEM_EXP,1.73439650
P6_FEAT_W5_TEM_EXP,1.73439650
P6_FEAT_W5_TEM_FOC,2.20452517
P6_FEAT_W5_TEM_MEM,2.27739856
P6_FEAT_W5_TEM_MEM,2.27739856
P6_RXI_X1_FAC_GAT,3.01907747
P6_RXI_X1_FAC_GRO,2.77020004
P6_RXI_X1_STA_GAT,2.99667761
P6_RXI_X1_STA_GRO,3.57297966
P6_RXI_X2_FAC_GAT,3.20604429
P6_RXI_X2_FAC_GRO,2.89077270
P6_RXI_X2_STA_GAT,2.62465014
P6_RXI_X2_STA_GRO,3.10831896
P6_SPEC_A_M0,2.75589026
P6_SPEC_A_M1,2.86226052
P6_SPEC_A_M2,3.21198657
P6_SPEC_A_M3,6.70325997
P6_SPEC_A_M4,2.68625648
P6_SPEC_B_M0,3.69428616
P6_SPEC_B_M1,3.08735097
P6_SPEC_B_M2,3.71605063
P6_SPEC_B_M3,7.48805169
P6_SPEC_B_M4,3.81690818
