input,target,n,pearson,spearman
route_smoothness_lambda,macro_n_eff_scope_norm,10,0.08493012667310308,0.0
route_smoothness_lambda,macro_cv_usage,10,-0.16560523830238852,-0.02525784101413608
route_smoothness_lambda,macro_top1_over_scope_uniform,10,-0.17729808604785147,-0.08840244354947628
route_smoothness_lambda,macro_knn_js,10,0.041331340699705864,0.07577352304240824
route_smoothness_lambda,best_valid_mrr20,10,-0.08374140386270192,-0.21600475963136387
route_smoothness_lambda,test_mrr20,10,-0.25960028238226124,-0.5926573124989511
route_consistency_lambda,macro_n_eff_scope_norm,10,0.17801602762630322,0.3302891295379082
route_consistency_lambda,macro_cv_usage,10,-0.44197894383983116,-0.4954336943068623
route_consistency_lambda,macro_top1_over_scope_uniform,10,-0.07366244278579408,0.027524094128159017
route_consistency_lambda,macro_knn_js,10,-0.6191105349314419,-0.7706746355884524
route_consistency_lambda,best_valid_mrr20,10,-0.19544907152138688,-0.2353857296392273
route_consistency_lambda,test_mrr20,10,-0.45072797877866094,-0.2777777777777778
route_sharpness_lambda,macro_n_eff_scope_norm,4,-0.5967548678832932,-0.4472135954999579
route_sharpness_lambda,macro_cv_usage,4,0.9966100628778537,0.8944271909999159
route_sharpness_lambda,macro_top1_over_scope_uniform,4,0.58653694250294,0.4472135954999579
route_sharpness_lambda,macro_knn_js,4,0.664389953183435,0.4472135954999579
route_sharpness_lambda,best_valid_mrr20,4,-0.18641092980035673,0.0
route_sharpness_lambda,test_mrr20,4,-0.8320502943378614,-0.8944271909999159
route_monopoly_lambda,macro_n_eff_scope_norm,4,-0.5967548678832932,-0.4472135954999579
route_monopoly_lambda,macro_cv_usage,4,0.9966100628778537,0.8944271909999159
route_monopoly_lambda,macro_top1_over_scope_uniform,4,0.58653694250294,0.4472135954999579
route_monopoly_lambda,macro_knn_js,4,0.664389953183435,0.4472135954999579
route_monopoly_lambda,best_valid_mrr20,4,-0.18641092980035673,0.0
route_monopoly_lambda,test_mrr20,4,-0.8320502943378614,-0.8944271909999159
route_prior_lambda,macro_n_eff_scope_norm,10,0.08545355867962853,0.0
route_prior_lambda,macro_cv_usage,10,-0.21664992671213112,0.0
route_prior_lambda,macro_top1_over_scope_uniform,10,-0.2173090105887362,-0.08703882797784893
route_prior_lambda,macro_knn_js,10,-0.2659812284672598,-0.17407765595569785
route_prior_lambda,best_valid_mrr20,10,-0.2839809171235342,-0.3064991317955257
route_prior_lambda,test_mrr20,10,-0.9554989958278994,-0.7027283689263065
