run_name,phase,run_phase,best_valid_mrr20,best_valid_test_mrr20,expert_count,expert_scale,moe_top_k,group_top_k,topk_scope_mode,macro_n_eff,macro_n_eff_scope_norm,macro_cv_usage,macro_top1_max_frac,macro_top1_over_scope_uniform,macro_group_n_eff,macro_group_n_eff_expscale_norm,macro_group_top1_max_frac,macro_group_top1_over_uniform,macro_knn_js
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b2_20260317_212943_850563_pid289851,P6,P6_BASE_B2,0.0793,0.1601,12.0,3.0,1.0,0.0,global_flat,10.847305786539964,10.847305786539964,0.3259839169387842,0.1701646877733703,0.1701646877733703,3.844535820154027,1.2815119400513424,0.3738598151541389,1.1215794454624168,0.0
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b3_20260317_222450_181633_pid290098,P6,P6_BASE_B3,0.0798,0.1616,12.0,3.0,1.0,0.0,group_dense,9.66600986811024,3.2220032893700803,0.49138961681065657,0.18416572140672577,0.5524971642201773,3.8865364646224214,1.2955121548741404,0.3195426060536908,0.9586278181610723,0.06907493120934552
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b4_20260317_213853_434816_pid289891,P6,P6_BASE_B4,0.0807,0.1617,12.0,3.0,1.0,0.0,global_flat,9.886909140919716,9.886909140919716,0.46230517440124824,0.25187318079410786,0.25187318079410786,3.8283723762426733,1.2761241254142244,0.450066783453812,1.350200350361436,0.03689628539913522
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b5_20260318_015913_095313_pid307006,P6,P6_BASE_B5,0.0804,0.162,12.0,3.0,1.0,0.0,group_dense,8.533713124541421,2.8445710415138072,0.6373280570115976,0.22481972942074024,0.6744591882622207,2.959775132669502,0.986591710889834,0.6019929882966751,1.8059789648900253,0.02902643105053372
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b6_20260317_214951_258693_pid289983,P6,P6_BASE_B6,0.0813,0.1619,12.0,3.0,1.0,0.0,global_flat,10.25993090520541,10.25993090520541,0.41182349885036057,0.15021019448863115,0.15021019448863115,3.718439906589169,1.2394799688630564,0.4129767969447409,1.2389303908342226,0.06915296722857939
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_base_b7_20260317_225119_028794_pid290224,P6,P6_BASE_B7,0.0807,0.1617,12.0,3.0,1.0,0.0,group_dense,8.350297357616839,2.7834324525389462,0.6611160438920246,0.3046198041466148,0.9138594124398445,2.869434705380476,0.9564782351268253,0.4780576642123468,1.4341729926370403,0.06609308188376903
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s1_20260317_175227_351911_pid289466,P6,P6_CAND_A_S1,0.0812,0.1619,12.0,3.0,0.0,0.0,global_flat,11.391625629978934,0.9493021358315779,0.2310969279850912,0.2285135144205277,2.7421621730463324,3.9678587945759025,1.3226195981919675,0.38150467484176687,1.1445140245253005,0.03650929612088861
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s2_20260317_175227_263467_pid289467,P6,P6_CAND_A_S2,0.0811,0.162,12.0,3.0,0.0,0.0,global_flat,10.865779606168324,0.9054816338473604,0.32308601370197493,0.24682806560663315,2.9619367872795976,3.903475553859684,1.3011585179532281,0.35976705215373844,1.0793011564612154,0.03953803065305873
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_a_s3_20260317_175227_353265_pid289468,P6,P6_CAND_A_S3,0.0812,0.1621,12.0,3.0,0.0,0.0,global_flat,10.880696116923335,0.906724676410278,0.32073463288740417,0.24004009244530355,2.8804811093436427,3.9480818739322174,1.3160272913107391,0.37464063342483894,1.1239219002745169,0.04641066839357864
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s1_20260317_175227_272959_pid289469,P6,P6_CAND_B_S1,0.0807,0.1619,12.0,3.0,0.0,0.0,group_dense,11.664076894177953,3.888025631392651,0.16970500216767184,0.2590862412661337,0.7772587237984012,3.9864978341503288,1.328832611383443,0.3384164826486072,1.0152494479458216,0.02188111840342615
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s2_20260317_192506_267731_pid289626,P6,P6_CAND_B_S2,0.0807,0.1621,12.0,3.0,0.0,0.0,group_dense,11.061271017759648,3.6870903392532157,0.29131774856832643,0.2788416147053362,0.8365248441160086,3.9508110691460745,1.3169370230486914,0.32184702673799187,0.9655410802139757,0.026183744138519784
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_b_s3_20260317_193715_847967_pid289652,P6,P6_CAND_B_S3,0.0809,0.1619,12.0,3.0,0.0,0.0,group_dense,11.59946044570614,3.8664868152353797,0.18582469244901031,0.24785051245393955,0.7435515373618187,3.9965706687362714,1.3321902229120905,0.30430658191768073,0.9129197457530422,0.022877975088855546
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_c_s1_20260317_194731_518128_pid289680,P6,P6_CAND_C_S1,0.0803,0.1586,12.0,3.0,0.0,0.0,group_dense,11.397908819431972,3.7993029398106573,0.2298358032303091,0.24205366391702296,0.7261609917510689,3.8237156889636386,1.274571896321213,0.44449590238205505,1.333487707146165,0.012760735986529633
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_c_s2_20260317_195243_809834_pid289704,P6,P6_CAND_C_S2,0.0801,0.1587,12.0,3.0,0.0,0.0,group_dense,10.667772195732056,3.5559240652440187,0.3533886714759865,0.2907060252770339,0.8721180758311016,3.696846615232015,1.2322822050773383,0.45691963836256366,1.3707589150876909,0.023723552601855866
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_cand_c_s3_20260317_203219_288991_pid289792,P6,P6_CAND_C_S3,0.08,0.1587,12.0,3.0,0.0,0.0,group_dense,10.564727209041015,3.521575736347005,0.36858542970332087,0.17731286649797412,0.5319385994939223,3.619224203382379,1.2064080677941262,0.4829707786033421,1.4489123358100262,0.024697607513294147
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_exp_20260318_041026_723950_pid371841,P6,P6_FEAT_W10_EXP,0.0792,0.16,12.0,3.0,0.0,0.0,group_dense,2.9562881326215686,0.9854293775405228,0.12159781913167778,0.40657363966467325,1.2197209189940197,1.0,0.3333333333333333,1.0,3.0,0.025828242811194252
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_foc_20260318_040405_363307_pid367968,P6,P6_FEAT_W10_FOC,0.0794,0.1615,12.0,3.0,0.0,0.0,group_dense,2.9706974754442976,0.9902324918147659,0.09931669833312337,0.4239932701966812,1.2719798105900435,1.0,0.3333333333333333,1.0,3.0,0.025134258371862856
KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p6_feat_w10_foc_exp_20260318_041739_105038_pid376102,P6,P6_FEAT_W10_FOC_EXP,0.0798,0.1613,12.0,3.0,0.0,0.0,group_dense,5.866334302447302,1.955444767482434,0.15094762218154603,0.3454617454979898,1.0363852364939694,1.992443609120778,0.664147869706926,0.5199466627290158,1.5598399881870475,0.025403766301128283
