group,metric,spearman,n
all,macro_n_eff_scope_norm,0.556226,64
all,macro_group_n_eff_expscale_norm,0.674484,64
all,macro_top1_over_scope_uniform,-0.526224,64
all,macro_group_top1_over_uniform,-0.608102,64
all,macro_knn_js,0.184300,64
global_flat,macro_n_eff_scope_norm,0.556226,64
global_flat,macro_group_n_eff_expscale_norm,0.674484,64
global_flat,macro_top1_over_scope_uniform,-0.526224,64
global_flat,macro_group_top1_over_uniform,-0.608102,64
global_flat,macro_knn_js,0.184300,64
group_scope,macro_n_eff_scope_norm,,0
group_scope,macro_group_n_eff_expscale_norm,,0
group_scope,macro_top1_over_scope_uniform,,0
group_scope,macro_group_top1_over_uniform,,0
group_scope,macro_knn_js,,0
